<S> <S>+BSTag
"Hadi,	<unk>
kobaylar	kobay <n> <D_lA> <v> <t_aor> <3p>
kobaylar	kobay <n> <3p>
kobaylar	kobay <n> <pl>
kobaylar	kobay <n> <pl> <3s>
kobaylar	kobay <n> <pl> <3p>
bitti!"	bit <n> <cpl_di> <3p>
ayakkabılarını	ayakkabı <n> <p3p> <acc> <3p>
giymeyi	giy <v> <D_mA> <n> <acc> <3s>
giymeyi	giy <v> <D_mA> <n> <acc> <3p>
giymeyi	giy <v> <vn_ma> <acc>
giymeyi	giy <v> <vn_ma> <acc> <3s>
giymeyi	giy <v> <vn_ma> <acc> <3p>
giymeyi	giy <v> <vn_mak> <acc>
giymeyi	giy <v> <vn_mak> <acc> <3s>
giymeyi	giy <v> <vn_mak> <acc> <3p>
giymeyi	giy <v> <vinf> <p3s>
giymeyi	giy <v> <vinf> <acc>
bile	bile <cnjadv>
bile	bil <v> <t_opt> <3s>
bile	bil <v> <t_opt> <3p>
beklemeden.	bekleme <n> <abl> <3s>
beklemeden.	bekleme <n> <abl> <3p>
beklemeden.	bekle <v> <D_mA> <n> <abl>
beklemeden.	bekle <v> <D_mA> <n> <abl> <3s>
beklemeden.	bekle <v> <D_mA> <n> <abl> <3p>
beklemeden.	bekle <v> <neg> <cv_dan>
beklemeden.	bekle <v> <vn_ma> <abl>
beklemeden.	bekle <v> <vn_ma> <abl> <3s>
beklemeden.	bekle <v> <vn_ma> <abl> <3p>
beklemeden.	bek <n> <D_lA> <v> <D_mA> <n> <abl>
beklemeden.	bek <n> <D_lA> <v> <D_mA> <n> <abl> <3s>
beklemeden.	bek <n> <D_lA> <v> <D_mA> <n> <abl> <3p>
beklemeden.	bek <n> <D_lA> <v> <neg> <cv_dan>
beklemeden.	bek <n> <D_lA> <v> <vn_ma> <abl>
beklemeden.	bek <n> <D_lA> <v> <vn_ma> <abl> <3s>
beklemeden.	bek <n> <D_lA> <v> <vn_ma> <abl> <3p>
</S> </S>+ESTag
<S> <S>+BSTag
"ve	ve <cnjadv>
dışarıda	dışarı <n> <loc> <3s>
dışarıda	dışarı <n> <loc> <3p>
kafasını	kafa <n> <p3s> <acc> <3s>
kafasını	kafa <n> <p3s> <acc> <3p>
uçurun,"	<unk>
diye	de <v> <t_opt> <3p>
diye	diye <cnjsub>
ekledi	ekle <v> <t_past> <3p>
ekledi	ek <adj> <D_lA> <v> <t_past> <3s>
ekledi	ek <adj> <D_lA> <v> <t_past> <3p>
ekledi	ek <adj> <Djn_0> <n> <D_lA> <v> <t_past> <3s>
ekledi	ek <adj> <Djn_0> <n> <D_lA> <v> <t_past> <3p>
ekledi	ek <n> <D_lA> <v> <t_past> <3s>
ekledi	ek <n> <D_lA> <v> <t_past> <3p>
Kraliçe	kraliçe <n> <3s>
Kraliçe	kraliçe <n> <3p>
subaylardan	subay <n> <pl> <abl> <3s>
subaylardan	subay <n> <pl> <abl> <3p>
birine:	biri <n> <p2s> <dat> <3s>
birine:	biri <n> <p2s> <dat> <3p>
birine:	bir <adj> <Djn_0> <n> <p2s> <dat>
birine:	bir <adj> <Djn_0> <n> <p2s> <dat> <3s>
birine:	bir <adj> <Djn_0> <n> <p2s> <dat> <3p>
birine:	bir <adj> <Djn_0> <n> <p3s> <dat>
birine:	bir <adj> <Djn_0> <n> <p3s> <dat> <3s>
birine:	bir <adj> <Djn_0> <n> <p3s> <dat> <3p>
birine:	bir <num> <Dmn_0> <n> <p2s> <dat>
birine:	bir <num> <Dmn_0> <n> <p2s> <dat> <3s>
birine:	bir <num> <Dmn_0> <n> <p2s> <dat> <3p>
birine:	bir <num> <Dmn_0> <n> <p3s> <dat>
birine:	bir <num> <Dmn_0> <n> <p3s> <dat> <3s>
birine:	bir <num> <Dmn_0> <n> <p3s> <dat> <3p>
ama	ama <n> <3s>
ama	ama <n> <3p>
ama	ama <cnjcoo>
ama	ama <cnjadv>
subay	subay <n> <3s>
subay	subay <n> <3p>
kapıya	kapı <n> <dat> <3s>
kapıya	kapı <n> <dat> <3p>
varamadan	<unk>
Şapkacı	şapka <n> <D_CI> <adj> <Djn_0> <n>
Şapkacı	şapka <n> <D_CI> <adj> <Djn_0> <n> <3s>
Şapkacı	şapka <n> <D_CI> <adj> <Djn_0> <n> <3p>
Şapkacı	şapka <n> <D_CI> <n>
Şapkacı	şapka <n> <D_CI> <n> <3s>
Şapkacı	şapka <n> <D_CI> <n> <3p>
gözden	gözde <n> <p2s> <3s>
gözden	gözde <n> <p2s> <3p>
gözden	göz <n> <abl>
gözden	göz <n> <abl> <3s>
gözden	göz <n> <abl> <3p>
kaybolmuştu.	kaybol <v> <t_narr> <cpl_di> <3p>
kaybolmuştu.	kaybol <v> <t_narr> <3p> <cpl_di>
</S> </S>+ESTag
<S> <S>+BSTag
"Bir	bir <adj> <Djn_0> <n>
"Bir	bir <adj> <Djn_0> <n> <3s>
"Bir	bir <adj> <Djn_0> <n> <3p>
"Bir	bir <num>
"Bir	bir <num> <Dmn_0> <n>
"Bir	bir <num> <Dmn_0> <n> <3s>
"Bir	bir <num> <Dmn_0> <n> <3p>
"Bir	bir <det>
sonraki	<unk>
tanığı	tanık <n> <p3s> <3s>
tanığı	tanık <n> <p3s> <3p>
tanığı	tanık <n> <acc>
tanığı	tanık <n> <acc> <3s>
tanığı	tanık <n> <acc> <3p>
çağırın!"	<unk>
dedi	de <v> <t_past> <3p>
Kral.	kral <n> <3s>
Kral.	kral <n> <3p>
</S> </S>+ESTag
<S> <S>+BSTag
Bir	bir <adj> <Djn_0> <n>
Bir	bir <adj> <Djn_0> <n> <3s>
Bir	bir <adj> <Djn_0> <n> <3p>
Bir	bir <num>
Bir	bir <num> <Dmn_0> <n>
Bir	bir <num> <Dmn_0> <n> <3s>
Bir	bir <num> <Dmn_0> <n> <3p>
Bir	bir <det>
sonraki	<unk>
tanık	tanık <n> <3s>
tanık	tanık <n> <3p>
Düşes’in	<unk>
aşçısıydı.	aşçı <n> <p3s> <cpl_di> <3p>
aşçısıydı.	aşçı <n> <p3s> <3p> <cpl_di>
aşçısıydı.	aş <n> <D_CI> <adj> <Djn_0> <n> <p3s> <cpl_di> <3s>
aşçısıydı.	aş <n> <D_CI> <adj> <Djn_0> <n> <p3s> <cpl_di> <3p>
aşçısıydı.	aş <n> <D_CI> <adj> <Djn_0> <n> <p3s> <3p> <cpl_di>
aşçısıydı.	aş <n> <D_CI> <n> <p3s> <cpl_di> <3s>
aşçısıydı.	aş <n> <D_CI> <n> <p3s> <cpl_di> <3p>
aşçısıydı.	aş <n> <D_CI> <n> <p3s> <3p> <cpl_di>
aşçısıydı.	aş <v> <D_CI> <n> <p3s> <cpl_di> <3s>
aşçısıydı.	aş <v> <D_CI> <n> <p3s> <cpl_di> <3p>
aşçısıydı.	aş <v> <D_CI> <n> <p3s> <3p> <cpl_di>
</S> </S>+ESTag
<S> <S>+BSTag
Elinde	el <n> <p2s> <loc> <3s>
Elinde	el <n> <p2s> <loc> <3p>
Elinde	el <n> <p3s> <loc>
Elinde	el <n> <p3s> <loc> <3s>
Elinde	el <n> <p3s> <loc> <3p>
biber	biber <n> <3s>
biber	biber <n> <3p>
kutusunu	kutu <n> <p3s> <acc> <3s>
kutusunu	kutu <n> <p3s> <acc> <3p>
taşıyordu	taşı <v> <t_cont> <cpl_di> <3p>
taşıyordu	taşı <v> <t_cont> <3p> <cpl_di>
taşıyordu	taş <v> <t_cont> <cpl_di> <3s>
taşıyordu	taş <v> <t_cont> <cpl_di> <3p>
taşıyordu	taş <v> <t_cont> <3p> <cpl_di>
ve	ve <cnjadv>
Alice,	ali <n> <D_CA> <adj> <Djn_0> <n>
Alice,	ali <n> <D_CA> <adj> <Djn_0> <n> <3s>
Alice,	ali <n> <D_CA> <adj> <Djn_0> <n> <3p>
Alice,	ali <n> <D_CA> <adv>
Alice,	ali <n> <D_CA> <adv> <Dan_0> <n>
Alice,	ali <n> <D_CA> <adv> <Dan_0> <n> <3s>
Alice,	ali <n> <D_CA> <adv> <Dan_0> <n> <3p>
Alice,	ali <n> <D_CA> <n>
Alice,	ali <n> <D_CA> <n> <3s>
Alice,	ali <n> <D_CA> <n> <3p>
daha	daha <adv> <Dan_0> <n>
daha	daha <adv> <Dan_0> <n> <3s>
daha	daha <adv> <Dan_0> <n> <3p>
daha	daha <n>
daha	daha <n> <3s>
daha	daha <n> <3p>
mahkemeye	mahkeme <n> <dat> <3s>
mahkemeye	mahkeme <n> <dat> <3p>
girmeden,	gir <v> <D_mA> <n> <abl> <3s>
girmeden,	gir <v> <D_mA> <n> <abl> <3p>
girmeden,	gir <v> <neg> <cv_dan>
girmeden,	gir <v> <vn_ma> <abl>
girmeden,	gir <v> <vn_ma> <abl> <3s>
girmeden,	gir <v> <vn_ma> <abl> <3p>
kapının	kapı <n> <p2s> <gen> <3s>
kapının	kapı <n> <p2s> <gen> <3p>
kapının	kapı <n> <gen>
kapının	kapı <n> <gen> <3s>
kapının	kapı <n> <gen> <3p>
kapının	kap <n> <p2s> <gen>
kapının	kap <n> <p2s> <gen> <3s>
kapının	kap <n> <p2s> <gen> <3p>
kapının	kap <n> <p3s> <gen>
kapının	kap <n> <p3s> <gen> <3s>
kapının	kap <n> <p3s> <gen> <3p>
yakınındaki	yakın <adj> <Djn_0> <n> <p2s> <loc> <ki> <3s>
yakınındaki	yakın <adj> <Djn_0> <n> <p2s> <loc> <ki> <3p>
yakınındaki	yakın <adj> <Djn_0> <n> <p3s> <loc> <ki>
yakınındaki	yakın <adj> <Djn_0> <n> <p3s> <loc> <ki> <3s>
yakınındaki	yakın <adj> <Djn_0> <n> <p3s> <loc> <ki> <3p>
insanların	insan <n> <pl> <p2s> <3s>
insanların	insan <n> <pl> <p2s> <3p>
insanların	insan <n> <pl> <gen>
insanların	insan <n> <pl> <gen> <3s>
insanların	insan <n> <pl> <gen> <3p>
aynı	aynı <adj> <Djn_0> <n>
aynı	aynı <adj> <Djn_0> <n> <3s>
aynı	aynı <adj> <Djn_0> <n> <3p>
aynı	aynı <det>
aynı	ayn <n> <p3s>
aynı	ayn <n> <p3s> <3s>
aynı	ayn <n> <p3s> <3p>
aynı	ayn <n> <acc>
aynı	ayn <n> <acc> <3s>
aynı	ayn <n> <acc> <3p>
anda	ant <n> <dat> <3s>
anda	ant <n> <dat> <3p>
anda	an <n> <loc>
anda	an <n> <loc> <3s>
anda	an <n> <loc> <3p>
hapşırmaya	hapşır <v> <D_mA> <n> <dat> <3s>
hapşırmaya	hapşır <v> <D_mA> <n> <dat> <3p>
hapşırmaya	hapşır <v> <neg> <t_opt> <3s>
hapşırmaya	hapşır <v> <neg> <t_opt> <3p>
hapşırmaya	hapşır <v> <vn_ma> <dat>
hapşırmaya	hapşır <v> <vn_ma> <dat> <3s>
hapşırmaya	hapşır <v> <vn_ma> <dat> <3p>
hapşırmaya	hapşır <v> <vn_mak> <dat>
hapşırmaya	hapşır <v> <vn_mak> <dat> <3s>
hapşırmaya	hapşır <v> <vn_mak> <dat> <3p>
hapşırmaya	hapşır <v> <vinf> <dat>
başlamasıyla	baş <n> <D_lA> <v> <D_mA> <n> <p3s> <ins> <3s>
başlamasıyla	baş <n> <D_lA> <v> <D_mA> <n> <p3s> <ins> <3p>
başlamasıyla	baş <n> <D_lA> <v> <vn_ma> <p3s> <ins>
başlamasıyla	baş <n> <D_lA> <v> <vn_ma> <p3s> <ins> <3s>
başlamasıyla	baş <n> <D_lA> <v> <vn_ma> <p3s> <ins> <3p>
onun	onun <n> <3s>
onun	onun <n> <3p>
onun	on <n> <p2s>
onun	on <n> <p2s> <3s>
onun	on <n> <p2s> <3p>
onun	on <n> <gen>
onun	on <n> <gen> <3s>
onun	on <n> <gen> <3p>
onun	on <v> <t_imp> <2p>
onun	on <num> <Dmn_0> <n> <p2s>
onun	on <num> <Dmn_0> <n> <p2s> <3s>
onun	on <num> <Dmn_0> <n> <p2s> <3p>
onun	on <num> <Dmn_0> <n> <gen>
onun	on <num> <Dmn_0> <n> <gen> <3s>
onun	on <num> <Dmn_0> <n> <gen> <3p>
onun	o <prn> <pers> <p2s>
onun	o <prn> <pers> <p2s> <3s>
onun	o <prn> <pers> <p2s> <3p>
onun	o <prn> <pers> <gen>
onun	o <prn> <pers> <gen> <3s>
onun	o <prn> <pers> <gen> <3p>
kim	kim <prn> <qst> <3s>
kim	kim <prn> <qst> <3p>
olduğunu	ol <v> <vn_dik> <p2s> <acc> <3s>
olduğunu	ol <v> <vn_dik> <p2s> <acc> <3p>
olduğunu	ol <v> <vn_dik> <p3s> <acc>
olduğunu	ol <v> <vn_dik> <p3s> <acc> <3s>
olduğunu	ol <v> <vn_dik> <p3s> <acc> <3p>
olduğunu	ol <v> <part_dik> <p2s> <acc>
olduğunu	ol <v> <part_dik> <p2s> <acc> <3s>
olduğunu	ol <v> <part_dik> <p2s> <acc> <3p>
olduğunu	ol <v> <part_dik> <p3s> <acc>
olduğunu	ol <v> <part_dik> <p3s> <acc> <3s>
olduğunu	ol <v> <part_dik> <p3s> <acc> <3p>
olduğunu	ol <v> <cv_dik> <p3s> <acc>
tahmin	tahmin <n> <3s>
tahmin	tahmin <n> <3p>
etti.	et <n> <cpl_di> <3p>
etti.	et <n> <3p> <cpl_di>
etti.	et <v> <t_past> <3s>
etti.	et <v> <t_past> <3p>
</S> </S>+ESTag
<S> <S>+BSTag
"İfadenizi	<unk>
verin,"	veri <n> <p2s> <3s>
verin,"	veri <n> <p2s> <3p>
verin,"	ver <v> <t_imp> <2p>
dedi	de <v> <t_past> <3p>
Kral.	kral <n> <3s>
Kral.	kral <n> <3p>
</S> </S>+ESTag
<S> <S>+BSTag
"Öyle	öyle <adj> <Djn_0> <n>
"Öyle	öyle <adj> <Djn_0> <n> <3s>
"Öyle	öyle <adj> <Djn_0> <n> <3p>
"Öyle	öyle <adv>
"Öyle	öyle <adv> <Dan_0> <n>
"Öyle	öyle <adv> <Dan_0> <n> <3s>
"Öyle	öyle <adv> <Dan_0> <n> <3p>
"Öyle	öyle <ij>
değil,"	değil <not> <3p>
değil,"	değ <v> <pass> <t_imp> <2s>
değil,"	değ <v> <pass> <t_imp> <3p>
dedi	de <v> <t_past> <3p>
aşçı.	aşçı <n> <3s>
aşçı.	aşçı <n> <3p>
aşçı.	aş <n> <D_CI> <adj>
aşçı.	aş <n> <D_CI> <adj> <Djn_0> <n>
aşçı.	aş <n> <D_CI> <adj> <Djn_0> <n> <3s>
aşçı.	aş <n> <D_CI> <adj> <Djn_0> <n> <3p>
aşçı.	aş <n> <D_CI> <n>
aşçı.	aş <n> <D_CI> <n> <3s>
aşçı.	aş <n> <D_CI> <n> <3p>
aşçı.	aş <v> <D_CI> <n>
aşçı.	aş <v> <D_CI> <n> <3s>
aşçı.	aş <v> <D_CI> <n> <3p>
</S> </S>+ESTag
<S> <S>+BSTag
Kral	kral <n> <3s>
Kral	kral <n> <3p>
endişeyle	endişe <n> <ins> <3s>
endişeyle	endişe <n> <ins> <3p>
Beyaz	beyaz <n> <3s>
Beyaz	beyaz <n> <3p>
Tavşan'a	tavşan <n> <dat> <3s>
Tavşan'a	tavşan <n> <dat> <3p>
baktı,	bak <v> <t_past> <3p>
o	o <prn> <pers> <3s>
o	o <prn> <pers> <3p>
o	o <ij>
o	o <det>
da	<unk>
alçak	alçak <n> <3s>
alçak	alçak <n> <3p>
bir	bir <adj> <Djn_0> <n>
bir	bir <adj> <Djn_0> <n> <3s>
bir	bir <adj> <Djn_0> <n> <3p>
bir	bir <num>
bir	bir <num> <Dmn_0> <n>
bir	bir <num> <Dmn_0> <n> <3s>
bir	bir <num> <Dmn_0> <n> <3p>
bir	bir <det>
sesle,	sesle <v> <t_imp> <3p>
sesle,	ses <n> <D_lA> <v> <t_imp> <2s>
sesle,	ses <n> <D_lA> <v> <t_imp> <3p>
sesle,	ses <n> <ins>
sesle,	ses <n> <ins> <3s>
sesle,	ses <n> <ins> <3p>
"Majesteleri	majeste <n> <pl> <p3s> <3s>
"Majesteleri	majeste <n> <pl> <p3s> <3p>
"Majesteleri	majeste <n> <pl> <acc>
"Majesteleri	majeste <n> <pl> <acc> <3s>
"Majesteleri	majeste <n> <pl> <acc> <3p>
"Majesteleri	majeste <n> <p3p>
"Majesteleri	majeste <n> <p3p> <3s>
"Majesteleri	majeste <n> <p3p> <3p>
bu	bu <prn> <dem> <3s>
bu	bu <prn> <dem> <3p>
bu	bu <det>
tanığı	tanık <n> <p3s> <3s>
tanığı	tanık <n> <p3s> <3p>
tanığı	tanık <n> <acc>
tanığı	tanık <n> <acc> <3s>
tanığı	tanık <n> <acc> <3p>
çapraz	çapraz <n> <3s>
çapraz	çapraz <n> <3p>
sorguya	sorgu <n> <dat> <3s>
sorguya	sorgu <n> <dat> <3p>
çekmelidir,"	çekme <adj> <D_lI> <adj> <Djn_0> <n> <3p> <dir>
çekmelidir,"	çekme <adj> <D_lI> <adj> <Djn_0> <n> <dir> <3p>
çekmelidir,"	çekme <adj> <Djn_0> <n> <D_lI> <adj> <Djn_0> <n> <3s> <dir>
çekmelidir,"	çekme <adj> <Djn_0> <n> <D_lI> <adj> <Djn_0> <n> <3p> <dir>
çekmelidir,"	çekme <adj> <Djn_0> <n> <D_lI> <adj> <Djn_0> <n> <dir> <3p>
çekmelidir,"	çekme <adj> <Djn_0> <n> <D_lI> <n> <3s> <dir>
çekmelidir,"	çekme <adj> <Djn_0> <n> <D_lI> <n> <3p> <dir>
çekmelidir,"	çekme <adj> <Djn_0> <n> <D_lI> <n> <dir> <3p>
çekmelidir,"	çekme <n> <D_lI> <adj> <Djn_0> <n> <3s> <dir>
çekmelidir,"	çekme <n> <D_lI> <adj> <Djn_0> <n> <3p> <dir>
çekmelidir,"	çekme <n> <D_lI> <adj> <Djn_0> <n> <dir> <3p>
çekmelidir,"	çekme <n> <D_lI> <n> <3s> <dir>
çekmelidir,"	çekme <n> <D_lI> <n> <3p> <dir>
çekmelidir,"	çekme <n> <D_lI> <n> <dir> <3p>
çekmelidir,"	çek <v> <D_mA> <n> <D_lI> <adj> <Djn_0> <n> <3s> <dir>
çekmelidir,"	çek <v> <D_mA> <n> <D_lI> <adj> <Djn_0> <n> <3p> <dir>
çekmelidir,"	çek <v> <D_mA> <n> <D_lI> <adj> <Djn_0> <n> <dir> <3p>
çekmelidir,"	çek <v> <D_mA> <n> <D_lI> <n> <3s> <dir>
çekmelidir,"	çek <v> <D_mA> <n> <D_lI> <n> <3p> <dir>
çekmelidir,"	çek <v> <D_mA> <n> <D_lI> <n> <dir> <3p>
çekmelidir,"	çek <v> <t_obl> <3s> <dir>
çekmelidir,"	çek <v> <t_obl> <3p> <dir>
dedi.	de <v> <t_past> <3p>
</S> </S>+ESTag
<S> <S>+BSTag
"Peki,	peki <cnjadv>
"Peki,	pek <adj> <Djn_0> <n> <p3s>
"Peki,	pek <adj> <Djn_0> <n> <p3s> <3s>
"Peki,	pek <adj> <Djn_0> <n> <p3s> <3p>
"Peki,	pek <adj> <Djn_0> <n> <acc>
"Peki,	pek <adj> <Djn_0> <n> <acc> <3s>
"Peki,	pek <adj> <Djn_0> <n> <acc> <3p>
"Peki,	pek <adv> <Dan_0> <n> <p3s>
"Peki,	pek <adv> <Dan_0> <n> <p3s> <3s>
"Peki,	pek <adv> <Dan_0> <n> <p3s> <3p>
"Peki,	pek <adv> <Dan_0> <n> <acc>
"Peki,	pek <adv> <Dan_0> <n> <acc> <3s>
"Peki,	pek <adv> <Dan_0> <n> <acc> <3p>
eğer	eğer <n> <3s>
eğer	eğer <n> <3p>
eğer	eğer <cnjsub>
eğer	eğ <v> <t_aor> <3s>
eğer	eğ <v> <t_aor> <3p>
mecbursam,	<unk>
mecburum,"	mecbur <adj> <Djn_0> <n> <p1s>
mecburum,"	mecbur <adj> <Djn_0> <n> <p1s> <3s>
mecburum,"	mecbur <adj> <Djn_0> <n> <p1s> <3p>
dedi	de <v> <t_past> <3p>
Kral	kral <n> <3s>
Kral	kral <n> <3p>
hüzünlü	hüzün <n> <D_lI> <adj> <Djn_0> <n>
hüzünlü	hüzün <n> <D_lI> <adj> <Djn_0> <n> <3s>
