<S> <S>+BSTag
"O	o <prn> <pers> <3s>
"O	o <prn> <pers> <3p>
uluyordu.	ulu <v> <t_cont> <cpl_di> <3p>
uluyordu.	ulu <v> <t_cont> <3p> <cpl_di>
</S> </S>+ESTag
<S> <S>+BSTag
Mutfakta	mutfak <n> <loc> <3s>
Mutfakta	mutfak <n> <loc> <3p>
hapşırmayan	hapşır <v> <neg> <part_yan> <3s>
hapşırmayan	hapşır <v> <neg> <part_yan> <3p>
tek	<unk>
şeyler,	şey <n> <D_lA> <v> <t_aor> <3p>
şeyler,	şey <n> <3p>
şeyler,	şey <n> <pl>
şeyler,	şey <n> <pl> <3s>
şeyler,	şey <n> <pl> <3p>
aşçı	aşçı <n> <3s>
aşçı	aşçı <n> <3p>
aşçı	aş <n> <D_CI> <adj>
aşçı	aş <n> <D_CI> <adj> <Djn_0> <n>
aşçı	aş <n> <D_CI> <adj> <Djn_0> <n> <3s>
aşçı	aş <n> <D_CI> <adj> <Djn_0> <n> <3p>
aşçı	aş <n> <D_CI> <n>
aşçı	aş <n> <D_CI> <n> <3s>
aşçı	aş <n> <D_CI> <n> <3p>
aşçı	aş <v> <D_CI> <n>
aşçı	aş <v> <D_CI> <n> <3s>
aşçı	aş <v> <D_CI> <n> <3p>
ve	ve <cnjadv>
ocağın	ocak <n> <p2s> <3s>
ocağın	ocak <n> <p2s> <3p>
ocağın	ocak <n> <gen>
ocağın	ocak <n> <gen> <3s>
ocağın	ocak <n> <gen> <3p>
başında	baş <n> <p2s> <loc> <3s>
başında	baş <n> <p2s> <loc> <3p>
başında	baş <n> <p3s> <loc>
başında	baş <n> <p3s> <loc> <3s>
başında	baş <n> <p3s> <loc> <3p>
oturup	<unk>
kulaktan	kulak <n> <abl> <3s>
kulaktan	kulak <n> <abl> <3p>
kulağa	kulak <n> <dat> <3s>
kulağa	kulak <n> <dat> <3p>
sırıtan	sırıt <v> <part_yan> <3s>
sırıtan	sırıt <v> <part_yan> <3p>
büyük	büyük <adj> <Djn_0> <n>
büyük	büyük <adj> <Djn_0> <n> <3s>
büyük	büyük <adj> <Djn_0> <n> <3p>
bir	bir <adj> <Djn_0> <n>
bir	bir <adj> <Djn_0> <n> <3s>
bir	bir <adj> <Djn_0> <n> <3p>
bir	bir <num>
bir	bir <num> <Dmn_0> <n>
bir	bir <num> <Dmn_0> <n> <3s>
bir	bir <num> <Dmn_0> <n> <3p>
bir	bir <det>
kediydi.	kedi <n> <cpl_di> <3p>
kediydi.	kedi <n> <3p> <cpl_di>
</S> </S>+ESTag
<S> <S>+BSTag
"Lütfen	lütfen <adv> <Dan_0> <n>
"Lütfen	lütfen <adv> <Dan_0> <n> <3s>
"Lütfen	lütfen <adv> <Dan_0> <n> <3p>
"Lütfen	lütfen <n>
"Lütfen	lütfen <n> <3s>
"Lütfen	lütfen <n> <3p>
bana	ban <n> <dat> <3s>
bana	ban <n> <dat> <3p>
bana	ban <v> <t_opt> <3s>
bana	ban <v> <t_opt> <3p>
bana	ben <prn> <pers> <dat>
bana	ben <prn> <pers> <dat> <3s>
bana	ben <prn> <pers> <dat> <3p>
söyler	söyle <v> <t_aor> <3p>
misiniz,"	mis <n> <p2p>
misiniz,"	mis <n> <p2p> <3s>
misiniz,"	mis <n> <p2p> <3p>
misiniz,"	mis <n> <gen> <1p>
misiniz,"	mi <q> <2p>
dedi	de <v> <t_past> <3p>
Alice,	ali <n> <D_CA> <adj> <Djn_0> <n>
Alice,	ali <n> <D_CA> <adj> <Djn_0> <n> <3s>
Alice,	ali <n> <D_CA> <adj> <Djn_0> <n> <3p>
Alice,	ali <n> <D_CA> <adv>
Alice,	ali <n> <D_CA> <adv> <Dan_0> <n>
Alice,	ali <n> <D_CA> <adv> <Dan_0> <n> <3s>
Alice,	ali <n> <D_CA> <adv> <Dan_0> <n> <3p>
Alice,	ali <n> <D_CA> <n>
Alice,	ali <n> <D_CA> <n> <3s>
Alice,	ali <n> <D_CA> <n> <3p>
biraz	biraz <adj> <Djn_0> <n>
biraz	biraz <adj> <Djn_0> <n> <3s>
biraz	biraz <adj> <Djn_0> <n> <3p>
biraz	biraz <adv>
biraz	biraz <adv> <Dan_0> <n>
biraz	biraz <adv> <Dan_0> <n> <3s>
biraz	biraz <adv> <Dan_0> <n> <3p>
biraz	biraz <det>
çekinerek,	<unk>
çünkü	çünkü <cnjadv>
önce	önce <adv> <Dan_0> <n>
önce	önce <adv> <Dan_0> <n> <3s>
önce	önce <adv> <Dan_0> <n> <3p>
önce	önce <postp>
önce	ön <n> <D_CA> <adj>
önce	ön <n> <D_CA> <adj> <Djn_0> <n>
önce	ön <n> <D_CA> <adj> <Djn_0> <n> <3s>
önce	ön <n> <D_CA> <adj> <Djn_0> <n> <3p>
önce	ön <n> <D_CA> <adv>
önce	ön <n> <D_CA> <adv> <Dan_0> <n>
önce	ön <n> <D_CA> <adv> <Dan_0> <n> <3s>
önce	ön <n> <D_CA> <adv> <Dan_0> <n> <3p>
önce	ön <n> <D_CA> <n>
önce	ön <n> <D_CA> <n> <3s>
önce	ön <n> <D_CA> <n> <3p>
önce	ön <n> <ca>
konuşmanın	konuşma <adj> <Djn_0> <n> <p2s> <gen> <3s>
konuşmanın	konuşma <adj> <Djn_0> <n> <p2s> <gen> <3p>
konuşmanın	konuşma <adj> <Djn_0> <n> <gen>
konuşmanın	konuşma <adj> <Djn_0> <n> <gen> <3s>
konuşmanın	konuşma <adj> <Djn_0> <n> <gen> <3p>
konuşmanın	konuş <v> <D_mA> <n> <p2s> <gen>
konuşmanın	konuş <v> <D_mA> <n> <p2s> <gen> <3s>
konuşmanın	konuş <v> <D_mA> <n> <p2s> <gen> <3p>
konuşmanın	konuş <v> <D_mA> <n> <gen>
konuşmanın	konuş <v> <D_mA> <n> <gen> <3s>
konuşmanın	konuş <v> <D_mA> <n> <gen> <3p>
konuşmanın	konuş <v> <vn_ma> <p2s> <gen>
konuşmanın	konuş <v> <vn_ma> <p2s> <gen> <3s>
konuşmanın	konuş <v> <vn_ma> <p2s> <gen> <3p>
konuşmanın	konuş <v> <vn_ma> <gen>
konuşmanın	konuş <v> <vn_ma> <gen> <3s>
konuşmanın	konuş <v> <vn_ma> <gen> <3p>
iyi	iyi <adj> <Djn_0> <n>
iyi	iyi <adj> <Djn_0> <n> <3s>
iyi	iyi <adj> <Djn_0> <n> <3p>
iyi	iyi <adv>
iyi	iyi <adv> <Dan_0> <n>
iyi	iyi <adv> <Dan_0> <n> <3s>
iyi	iyi <adv> <Dan_0> <n> <3p>
bir	bir <adj> <Djn_0> <n>
bir	bir <adj> <Djn_0> <n> <3s>
bir	bir <adj> <Djn_0> <n> <3p>
bir	bir <num>
bir	bir <num> <Dmn_0> <n>
bir	bir <num> <Dmn_0> <n> <3s>
bir	bir <num> <Dmn_0> <n> <3p>
bir	bir <det>
görgü	görgü <n> <3s>
görgü	görgü <n> <3p>
kuralı	kural <n> <p3s> <3s>
kuralı	kural <n> <p3s> <3p>
kuralı	kural <n> <acc>
kuralı	kural <n> <acc> <3s>
kuralı	kural <n> <acc> <3p>
kuralı	kura <n> <D_lI> <adj>
kuralı	kura <n> <D_lI> <adj> <Djn_0> <n>
kuralı	kura <n> <D_lI> <adj> <Djn_0> <n> <3s>
kuralı	kura <n> <D_lI> <adj> <Djn_0> <n> <3p>
kuralı	kura <n> <D_lI> <n>
kuralı	kura <n> <D_lI> <n> <3s>
kuralı	kura <n> <D_lI> <n> <3p>
kuralı	kur <v> <cv_eli>
olup	<unk>
olmadığından	ol <v> <neg> <vn_dik> <p2s> <abl> <3s>
olmadığından	ol <v> <neg> <vn_dik> <p2s> <abl> <3p>
olmadığından	ol <v> <neg> <vn_dik> <p3s> <abl>
olmadığından	ol <v> <neg> <vn_dik> <p3s> <abl> <3s>
olmadığından	ol <v> <neg> <vn_dik> <p3s> <abl> <3p>
olmadığından	ol <v> <neg> <part_dik> <p2s> <abl>
olmadığından	ol <v> <neg> <part_dik> <p2s> <abl> <3s>
olmadığından	ol <v> <neg> <part_dik> <p2s> <abl> <3p>
olmadığından	ol <v> <neg> <part_dik> <p3s> <abl>
olmadığından	ol <v> <neg> <part_dik> <p3s> <abl> <3s>
olmadığından	ol <v> <neg> <part_dik> <p3s> <abl> <3p>
olmadığından	ol <v> <neg> <cv_dik> <p3s> <abl>
pek	pek <adj> <Djn_0> <n>
pek	pek <adj> <Djn_0> <n> <3s>
pek	pek <adj> <Djn_0> <n> <3p>
pek	pek <adv>
pek	pek <adv> <Dan_0> <n>
pek	pek <adv> <Dan_0> <n> <3s>
pek	pek <adv> <Dan_0> <n> <3p>
emin	emin <n> <3s>
emin	emin <n> <3p>
emin	em <n> <p2s>
emin	em <n> <p2s> <3s>
emin	em <n> <p2s> <3p>
emin	em <n> <gen>
emin	em <n> <gen> <3s>
emin	em <n> <gen> <3p>
emin	em <v> <t_imp> <2p>
değildi,	değil <not> <cpl_di> <3p>
değildi,	değil <not> <3p> <cpl_di>
değildi,	değ <v> <pass> <t_past> <3s>
değildi,	değ <v> <pass> <t_past> <3p>
"kediniz	kedi <n> <p2p>
"kediniz	kedi <n> <p2p> <3s>
"kediniz	kedi <n> <p2p> <3p>
neden	neden <adv> <Dan_0> <n>
neden	neden <adv> <Dan_0> <n> <3s>
neden	neden <adv> <Dan_0> <n> <3p>
neden	neden <n>
neden	neden <n> <3s>
neden	neden <n> <3p>
neden	ne <prn> <qst> <abl>
neden	ne <prn> <qst> <abl> <3s>
neden	ne <prn> <qst> <abl> <3p>
böyle	böyle <adj> <Djn_0> <n>
böyle	böyle <adj> <Djn_0> <n> <3s>
böyle	böyle <adj> <Djn_0> <n> <3p>
böyle	böyle <adv>
böyle	böyle <adv> <Dan_0> <n>
böyle	böyle <adv> <Dan_0> <n> <3s>
böyle	böyle <adv> <Dan_0> <n> <3p>
böyle	böyle <ij>
sırıtıyor?"	sırıt <v> <t_cont> <3p>
sırıtıyor?"	sırıt <v> <cv_iyor>
"Bu	bu <prn> <dem> <3s>
"Bu	bu <prn> <dem> <3p>
"Bu	bu <det>
bir	bir <adj> <Djn_0> <n>
bir	bir <adj> <Djn_0> <n> <3s>
bir	bir <adj> <Djn_0> <n> <3p>
bir	bir <num>
bir	bir <num> <Dmn_0> <n>
bir	bir <num> <Dmn_0> <n> <3s>
bir	bir <num> <Dmn_0> <n> <3p>
bir	bir <det>
Cheshire	<unk>
kedisi,"	kedi <n> <p3s> <3s>
kedisi,"	kedi <n> <p3s> <3p>
dedi	de <v> <t_past> <3p>
Düşes,	düşes <n> <3s>
Düşes,	düşes <n> <3p>
"ve	ve <cnjadv>
işte	işte <adv> <Dan_0> <n>
işte	işte <adv> <Dan_0> <n> <3s>
işte	işte <adv> <Dan_0> <n> <3p>
işte	işte <cnjadv>
işte	iş <n> <loc>
işte	iş <n> <loc> <3s>
işte	iş <n> <loc> <3p>
bu	bu <prn> <dem> <3s>
bu	bu <prn> <dem> <3p>
bu	bu <det>
yüzden.	yüzde <n> <p2s> <3s>
yüzden.	yüzde <n> <p2s> <3p>
yüzden.	yüz <n> <abl>
yüzden.	yüz <n> <abl> <3s>
yüzden.	yüz <n> <abl> <3p>
yüzden.	yüz <v> <cv_dan>
yüzden.	yüz <num> <Dmn_0> <n> <abl>
yüzden.	yüz <num> <Dmn_0> <n> <abl> <3s>
yüzden.	yüz <num> <Dmn_0> <n> <abl> <3p>
</S> </S>+ESTag
<S> <S>+BSTag
Domuz!	domuz <n> <3s>
Domuz!	domuz <n> <3p>
Domuz!	do <n> <p1s> <1p>
Domuz!	do <n> <p1p>
Domuz!	do <n> <p1p> <3s>
Domuz!	do <n> <p1p> <3p>
</S> </S>+ESTag
<S> <S>+BSTag
Son	son <adj> <Djn_0> <n>
Son	son <adj> <Djn_0> <n> <3s>
Son	son <adj> <Djn_0> <n> <3p>
Son	son <n>
Son	son <n> <3s>
Son	son <n> <3p>
kelimeyi	kelime <n> <acc> <3s>
kelimeyi	kelime <n> <acc> <3p>
o	o <prn> <pers> <3s>
o	o <prn> <pers> <3p>
o	o <ij>
o	o <det>
kadar	<unk>
ani	ani <n> <3s>
ani	ani <n> <3p>
bir	bir <adj> <Djn_0> <n>
bir	bir <adj> <Djn_0> <n> <3s>
bir	bir <adj> <Djn_0> <n> <3p>
bir	bir <num>
bir	bir <num> <Dmn_0> <n>
bir	bir <num> <Dmn_0> <n> <3s>
bir	bir <num> <Dmn_0> <n> <3p>
bir	bir <det>
şiddetle	şiddet <n> <D_lA> <v> <t_imp> <3p>
şiddetle	şiddet <n> <ins>
şiddetle	şiddet <n> <ins> <3s>
şiddetle	şiddet <n> <ins> <3p>
söyledi	söyle <v> <t_past> <3p>
ki	ki <cnjadv>
Alice	ali <n> <D_CA> <adj> <Djn_0> <n>
Alice	ali <n> <D_CA> <adj> <Djn_0> <n> <3s>
Alice	ali <n> <D_CA> <adj> <Djn_0> <n> <3p>
Alice	ali <n> <D_CA> <adv>
Alice	ali <n> <D_CA> <adv> <Dan_0> <n>
Alice	ali <n> <D_CA> <adv> <Dan_0> <n> <3s>
Alice	ali <n> <D_CA> <adv> <Dan_0> <n> <3p>
Alice	ali <n> <D_CA> <n>
Alice	ali <n> <D_CA> <n> <3s>
Alice	ali <n> <D_CA> <n> <3p>
zıpladı;	zıpla <v> <t_past> <3p>
zıpladı;	zıp <n> <D_lA> <v> <t_past> <3s>
zıpladı;	zıp <n> <D_lA> <v> <t_past> <3p>
ama	ama <n> <3s>
ama	ama <n> <3p>
ama	ama <cnjcoo>
ama	ama <cnjadv>
bir	bir <adj> <Djn_0> <n>
bir	bir <adj> <Djn_0> <n> <3s>
bir	bir <adj> <Djn_0> <n> <3p>
bir	bir <num>
bir	bir <num> <Dmn_0> <n>
bir	bir <num> <Dmn_0> <n> <3s>
bir	bir <num> <Dmn_0> <n> <3p>
bir	bir <det>
an	an <n> <3s>
an	an <n> <3p>
an	an <v> <t_imp> <2s>
an	an <v> <t_imp> <3p>
sonra	sonra <adv> <Dan_0> <n>
sonra	sonra <adv> <Dan_0> <n> <3s>
sonra	sonra <adv> <Dan_0> <n> <3p>
sonra	sonra <n>
sonra	sonra <n> <3s>
sonra	sonra <n> <3p>
sonra	sonra <postp>
sonra	sonra <cnjadv>
bunun	bun <n> <p2s> <3s>
bunun	bun <n> <p2s> <3p>
bunun	bun <n> <gen>
bunun	bun <n> <gen> <3s>
bunun	bun <n> <gen> <3p>
bunun	bu <prn> <dem> <p2s>
bunun	bu <prn> <dem> <p2s> <3s>
bunun	bu <prn> <dem> <p2s> <3p>
bunun	bu <prn> <dem> <gen>
bunun	bu <prn> <dem> <gen> <3s>
bunun	bu <prn> <dem> <gen> <3p>
kendisine	kendi <n> <p3s> <dat> <3s>
kendisine	kendi <n> <p3s> <dat> <3p>
kendisine	kendi <prn> <p3s> <dat>
kendisine	kendi <prn> <p3s> <dat> <3s>
kendisine	kendi <prn> <p3s> <dat> <3p>
değil,	değil <not> <3p>
değil,	değ <v> <pass> <t_imp> <2s>
değil,	değ <v> <pass> <t_imp> <3p>
bebeğe	bebek <n> <dat> <3s>
bebeğe	bebek <n> <dat> <3p>
söylendiğini	söylen <v> <vn_dik> <p2s> <acc> <3s>
söylendiğini	söylen <v> <vn_dik> <p2s> <acc> <3p>
söylendiğini	söylen <v> <vn_dik> <p3s> <acc>
söylendiğini	söylen <v> <vn_dik> <p3s> <acc> <3s>
söylendiğini	söylen <v> <vn_dik> <p3s> <acc> <3p>
söylendiğini	söylen <v> <part_dik> <p2s> <acc>
söylendiğini	söylen <v> <part_dik> <p2s> <acc> <3s>
söylendiğini	söylen <v> <part_dik> <p2s> <acc> <3p>
söylendiğini	söylen <v> <part_dik> <p3s> <acc>
söylendiğini	söylen <v> <part_dik> <p3s> <acc> <3s>
söylendiğini	söylen <v> <part_dik> <p3s> <acc> <3p>
söylendiğini	söylen <v> <cv_dik> <p3s> <acc>
söylendiğini	söyle <v> <pass> <vn_dik> <p2s> <acc>
söylendiğini	söyle <v> <pass> <vn_dik> <p2s> <acc> <3s>
söylendiğini	söyle <v> <pass> <vn_dik> <p2s> <acc> <3p>
söylendiğini	söyle <v> <pass> <vn_dik> <p3s> <acc>
söylendiğini	söyle <v> <pass> <vn_dik> <p3s> <acc> <3s>
söylendiğini	söyle <v> <pass> <vn_dik> <p3s> <acc> <3p>
söylendiğini	söyle <v> <pass> <part_dik> <p2s> <acc>
söylendiğini	söyle <v> <pass> <part_dik> <p2s> <acc> <3s>
söylendiğini	söyle <v> <pass> <part_dik> <p2s> <acc> <3p>
söylendiğini	söyle <v> <pass> <part_dik> <p3s> <acc>
söylendiğini	söyle <v> <pass> <part_dik> <p3s> <acc> <3s>
söylendiğini	söyle <v> <pass> <part_dik> <p3s> <acc> <3p>
söylendiğini	söyle <v> <pass> <cv_dik> <p3s> <acc>
gördü,	gör <v> <t_past> <3p>
bu	bu <prn> <dem> <3s>
bu	bu <prn> <dem> <3p>
bu	bu <det>
yüzden	yüzde <n> <p2s> <3s>
yüzden	yüzde <n> <p2s> <3p>
yüzden	yüz <n> <abl>
yüzden	yüz <n> <abl> <3s>
yüzden	yüz <n> <abl> <3p>
yüzden	yüz <v> <cv_dan>
yüzden	yüz <num> <Dmn_0> <n> <abl>
yüzden	yüz <num> <Dmn_0> <n> <abl> <3s>
yüzden	yüz <num> <Dmn_0> <n> <abl> <3p>
cesaretini	cesaret <n> <p2s> <acc> <3s>
cesaretini	cesaret <n> <p2s> <acc> <3p>
cesaretini	cesaret <n> <p3s> <acc>
cesaretini	cesaret <n> <p3s> <acc> <3s>
cesaretini	cesaret <n> <p3s> <acc> <3p>
toplayıp	top <n> <D_lA> <v> <cv_ip>
tekrar	tekrar <adv> <Dan_0> <n>
tekrar	tekrar <adv> <Dan_0> <n> <3s>
tekrar	tekrar <adv> <Dan_0> <n> <3p>
tekrar	tekrar <n>
tekrar	tekrar <n> <3s>
tekrar	tekrar <n> <3p>
devam	devam <n> <3s>
devam	devam <n> <3p>
devam	deva <n> <p1s>
devam	deva <n> <p1s> <3s>
devam	deva <n> <p1s> <3p>
etti:	et <n> <cpl_di> <3p>
etti:	et <n> <3p> <cpl_di>
etti:	et <v> <t_past> <3s>
etti:	et <v> <t_past> <3p>
"Cheshire	<unk>
kedilerinin	kedi <n> <pl> <p2s> <gen> <3s>
kedilerinin	kedi <n> <pl> <p2s> <gen> <3p>
kedilerinin	kedi <n> <pl> <p3s> <gen>
kedilerinin	kedi <n> <pl> <p3s> <gen> <3s>
kedilerinin	kedi <n> <pl> <p3s> <gen> <3p>
kedilerinin	kedi <n> <p3p> <gen>
kedilerinin	kedi <n> <p3p> <gen> <3s>
kedilerinin	kedi <n> <p3p> <gen> <3p>
hep	hep <adv> <Dan_0> <n>
hep	hep <adv> <Dan_0> <n> <3s>
hep	hep <adv> <Dan_0> <n> <3p>
sırıttığını	sırıt <v> <part_dik> <p2s> <acc> <3s>
sırıttığını	sırıt <v> <part_dik> <p2s> <acc> <3p>
sırıttığını	sırıt <v> <part_dik> <p3s> <acc>
sırıttığını	sırıt <v> <part_dik> <p3s> <acc> <3s>
