<S> <S>+BSTag
Ve	ve <cnjadv>
koridorun	koridor <n> <p2s> <3s>
koridorun	koridor <n> <p2s> <3p>
koridorun	koridor <n> <gen>
koridorun	koridor <n> <gen> <3s>
koridorun	koridor <n> <gen> <3p>
çatısına	çatı <n> <p3s> <dat> <3s>
çatısına	çatı <n> <p3s> <dat> <3p>
çarptı;	çarp <v> <t_past> <3p>
aslında	aslında <adv> <Dan_0> <n>
aslında	aslında <adv> <Dan_0> <n> <3s>
aslında	aslında <adv> <Dan_0> <n> <3p>
aslında	asıl <n> <p2s> <loc>
aslında	asıl <n> <p2s> <loc> <3s>
aslında	asıl <n> <p2s> <loc> <3p>
aslında	asıl <n> <p3s> <loc>
aslında	asıl <n> <p3s> <loc> <3s>
aslında	asıl <n> <p3s> <loc> <3p>
aslında	as <n> <D_lI> <adj> <Djn_0> <n> <p2s> <loc>
aslında	as <n> <D_lI> <adj> <Djn_0> <n> <p2s> <loc> <3s>
aslında	as <n> <D_lI> <adj> <Djn_0> <n> <p2s> <loc> <3p>
aslında	as <n> <D_lI> <n> <p2s> <loc>
aslında	as <n> <D_lI> <n> <p2s> <loc> <3s>
aslında	as <n> <D_lI> <n> <p2s> <loc> <3p>
artık	artık <adv> <Dan_0> <n>
artık	artık <adv> <Dan_0> <n> <3s>
artık	artık <adv> <Dan_0> <n> <3p>
artık	artık <n>
artık	artık <n> <3s>
artık	artık <n> <3p>
boyu	boy <n> <p3s> <3s>
boyu	boy <n> <p3s> <3p>
boyu	boy <n> <acc>
boyu	boy <n> <acc> <3s>
boyu	boy <n> <acc> <3p>
üç	üç <n> <3s>
üç	üç <n> <3p>
üç	üç <num>
üç	üç <num> <Dmn_0> <n>
üç	üç <num> <Dmn_0> <n> <3s>
üç	üç <num> <Dmn_0> <n> <3p>
metreden	metre <n> <abl> <3s>
metreden	metre <n> <abl> <3p>
fazlaydı,	fazla <adj> <Djn_0> <n> <cpl_di> <3p>
fazlaydı,	fazla <adj> <Djn_0> <n> <3p> <cpl_di>
fazlaydı,	fazla <adv> <Dan_0> <n> <cpl_di> <3s>
fazlaydı,	fazla <adv> <Dan_0> <n> <cpl_di> <3p>
fazlaydı,	fazla <adv> <Dan_0> <n> <3p> <cpl_di>
fazlaydı,	faz <n> <ins> <cpl_di> <3s>
fazlaydı,	faz <n> <ins> <cpl_di> <3p>
fazlaydı,	faz <n> <ins> <3p> <cpl_di>
hemen	hemen <adv> <Dan_0> <n>
hemen	hemen <adv> <Dan_0> <n> <3s>
hemen	hemen <adv> <Dan_0> <n> <3p>
hemen	hemen <n>
hemen	hemen <n> <3s>
hemen	hemen <n> <3p>
küçük	küçük <adj> <Djn_0> <n>
küçük	küçük <adj> <Djn_0> <n> <3s>
küçük	küçük <adj> <Djn_0> <n> <3p>
küçük	küçük <n>
küçük	küçük <n> <3s>
küçük	küçük <n> <3p>
altın	altın <n> <3s>
altın	altın <n> <3p>
altın	altı <n> <p2s>
altın	altı <n> <p2s> <3s>
altın	altı <n> <p2s> <3p>
altın	altı <num> <Dmn_0> <n> <p2s>
altın	altı <num> <Dmn_0> <n> <p2s> <3s>
altın	altı <num> <Dmn_0> <n> <p2s> <3p>
altın	alt <adj> <Djn_0> <n> <p2s>
altın	alt <adj> <Djn_0> <n> <p2s> <3s>
altın	alt <adj> <Djn_0> <n> <p2s> <3p>
altın	alt <adj> <Djn_0> <n> <gen>
altın	alt <adj> <Djn_0> <n> <gen> <3s>
altın	alt <adj> <Djn_0> <n> <gen> <3p>
altın	alt <n> <p2s>
altın	alt <n> <p2s> <3s>
altın	alt <n> <p2s> <3p>
altın	alt <n> <gen>
altın	alt <n> <gen> <3s>
altın	alt <n> <gen> <3p>
anahtarı	anahtar <n> <p3s> <3s>
anahtarı	anahtar <n> <p3s> <3p>
anahtarı	anahtar <n> <acc>
anahtarı	anahtar <n> <acc> <3s>
anahtarı	anahtar <n> <acc> <3p>
alıp	<unk>
bahçe	bahçe <n> <3s>
bahçe	bahçe <n> <3p>
kapısına	kapı <n> <p3s> <dat> <3s>
kapısına	kapı <n> <p3s> <dat> <3p>
doğru	doğru <adj> <Djn_0> <n>
doğru	doğru <adj> <Djn_0> <n> <3s>
doğru	doğru <adj> <Djn_0> <n> <3p>
doğru	doğru <postp>
koştu.	koş <v> <t_past> <3p>
</S> </S>+ESTag
<S> <S>+BSTag
Zavallı	zavallı <n> <3s>
Zavallı	zavallı <n> <3p>
Alice!	ali <n> <D_CA> <adj> <Djn_0> <n>
Alice!	ali <n> <D_CA> <adj> <Djn_0> <n> <3s>
Alice!	ali <n> <D_CA> <adj> <Djn_0> <n> <3p>
Alice!	ali <n> <D_CA> <adv>
Alice!	ali <n> <D_CA> <adv> <Dan_0> <n>
Alice!	ali <n> <D_CA> <adv> <Dan_0> <n> <3s>
Alice!	ali <n> <D_CA> <adv> <Dan_0> <n> <3p>
Alice!	ali <n> <D_CA> <n>
Alice!	ali <n> <D_CA> <n> <3s>
Alice!	ali <n> <D_CA> <n> <3p>
</S> </S>+ESTag
<S> <S>+BSTag
Tek	<unk>
yapabildiği,	yap <v> <abil> <vn_dik> <p3s> <3s>
yapabildiği,	yap <v> <abil> <vn_dik> <p3s> <3p>
yapabildiği,	yap <v> <abil> <vn_dik> <acc>
yapabildiği,	yap <v> <abil> <vn_dik> <acc> <3s>
yapabildiği,	yap <v> <abil> <vn_dik> <acc> <3p>
yapabildiği,	yap <v> <abil> <part_dik> <p3s>
yapabildiği,	yap <v> <abil> <part_dik> <p3s> <3s>
yapabildiği,	yap <v> <abil> <part_dik> <p3s> <3p>
yapabildiği,	yap <v> <abil> <part_dik> <acc>
yapabildiği,	yap <v> <abil> <part_dik> <acc> <3s>
yapabildiği,	yap <v> <abil> <part_dik> <acc> <3p>
yapabildiği,	yap <v> <abil> <cv_dik> <p3s>
yan	yan <n> <3s>
yan	yan <n> <3p>
yan	yan <v> <t_imp> <2s>
yan	yan <v> <t_imp> <3p>
yatıp	<unk>
tek	<unk>
gözüyle	göz <n> <p3s> <ins> <3s>
gözüyle	göz <n> <p3s> <ins> <3p>
bahçeye	bahçe <n> <dat> <3s>
bahçeye	bahçe <n> <dat> <3p>
bakmaktı;	bak <v> <vn_mak> <cpl_di> <3p>
bakmaktı;	bak <v> <vn_mak> <3p> <cpl_di>
ama	ama <n> <3s>
ama	ama <n> <3p>
ama	ama <cnjcoo>
ama	ama <cnjadv>
içeri	içeri <adv> <Dan_0> <n>
içeri	içeri <adv> <Dan_0> <n> <3s>
içeri	içeri <adv> <Dan_0> <n> <3p>
içeri	içeri <n>
içeri	içeri <n> <3s>
içeri	içeri <n> <3p>
içeri	içeri <n> <p3s>
içeri	içeri <n> <p3s> <3s>
içeri	içeri <n> <p3s> <3p>
içeri	içeri <n> <acc>
içeri	içeri <n> <acc> <3s>
içeri	içeri <n> <acc> <3p>
girmek	gir <v> <vn_mak> <3s>
girmek	gir <v> <vn_mak> <3p>
girmek	gir <v> <vinf>
girmek	gir <v> <cv_mak>
her	<unk>
zamankinden	<unk>
daha	daha <adv> <Dan_0> <n>
daha	daha <adv> <Dan_0> <n> <3s>
daha	daha <adv> <Dan_0> <n> <3p>
daha	daha <n>
daha	daha <n> <3s>
daha	daha <n> <3p>
umutsuzdu;	umut <n> <Dnn_siz> <adj> <Djn_0> <n> <cpl_di> <3p>
umutsuzdu;	umut <n> <Dnn_siz> <adj> <Djn_0> <n> <3p> <cpl_di>
umutsuzdu;	umut <n> <Dnn_siz> <adv> <Dan_0> <n> <cpl_di> <3s>
umutsuzdu;	umut <n> <Dnn_siz> <adv> <Dan_0> <n> <cpl_di> <3p>
umutsuzdu;	umut <n> <Dnn_siz> <adv> <Dan_0> <n> <3p> <cpl_di>
oturup	<unk>
yeniden	yeniden <adv> <Dan_0> <n>
yeniden	yeniden <adv> <Dan_0> <n> <3s>
yeniden	yeniden <adv> <Dan_0> <n> <3p>
yeniden	yeni <adj> <Djn_0> <n> <abl>
yeniden	yeni <adj> <Djn_0> <n> <abl> <3s>
yeniden	yeni <adj> <Djn_0> <n> <abl> <3p>
ağlamaya	ağla <v> <D_mA> <n> <dat> <3s>
ağlamaya	ağla <v> <D_mA> <n> <dat> <3p>
ağlamaya	ağla <v> <neg> <t_opt> <3s>
ağlamaya	ağla <v> <neg> <t_opt> <3p>
ağlamaya	ağla <v> <vn_ma> <dat>
ağlamaya	ağla <v> <vn_ma> <dat> <3s>
ağlamaya	ağla <v> <vn_ma> <dat> <3p>
ağlamaya	ağla <v> <vn_mak> <dat>
ağlamaya	ağla <v> <vn_mak> <dat> <3s>
ağlamaya	ağla <v> <vn_mak> <dat> <3p>
ağlamaya	ağla <v> <vinf> <dat>
ağlamaya	ağ <n> <D_lA> <v> <D_mA> <n> <dat>
ağlamaya	ağ <n> <D_lA> <v> <D_mA> <n> <dat> <3s>
ağlamaya	ağ <n> <D_lA> <v> <D_mA> <n> <dat> <3p>
ağlamaya	ağ <n> <D_lA> <v> <neg> <t_opt> <3s>
ağlamaya	ağ <n> <D_lA> <v> <neg> <t_opt> <3p>
ağlamaya	ağ <n> <D_lA> <v> <vn_ma> <dat>
ağlamaya	ağ <n> <D_lA> <v> <vn_ma> <dat> <3s>
ağlamaya	ağ <n> <D_lA> <v> <vn_ma> <dat> <3p>
ağlamaya	ağ <n> <D_lA> <v> <vn_mak> <dat>
ağlamaya	ağ <n> <D_lA> <v> <vn_mak> <dat> <3s>
ağlamaya	ağ <n> <D_lA> <v> <vn_mak> <dat> <3p>
ağlamaya	ağ <n> <D_lA> <v> <vinf> <dat>
başladı.	baş <n> <D_lA> <v> <t_past> <3p>
</S> </S>+ESTag
<S> <S>+BSTag
Alis:	<unk>
“Kendinden	<unk>
utanmalısın,”	<unk>
dedi,	de <v> <t_past> <3p>
“senin	<unk>
gibi	gibi <cnjsub>
büyük	büyük <adj> <Djn_0> <n>
büyük	büyük <adj> <Djn_0> <n> <3s>
büyük	büyük <adj> <Djn_0> <n> <3p>
bir	bir <adj> <Djn_0> <n>
bir	bir <adj> <Djn_0> <n> <3s>
bir	bir <adj> <Djn_0> <n> <3p>
bir	bir <num>
bir	bir <num> <Dmn_0> <n>
bir	bir <num> <Dmn_0> <n> <3s>
bir	bir <num> <Dmn_0> <n> <3p>
bir	bir <det>
kız	kız <adj> <Djn_0> <n>
kız	kız <adj> <Djn_0> <n> <3s>
kız	kız <adj> <Djn_0> <n> <3p>
kız	kız <n>
kız	kız <n> <3s>
kız	kız <n> <3p>
kız	kız <v> <t_imp> <2s>
kız	kız <v> <t_imp> <3p>
(bunu	bun <n> <p3s> <3s>
(bunu	bun <n> <p3s> <3p>
(bunu	bun <n> <acc>
(bunu	bun <n> <acc> <3s>
(bunu	bun <n> <acc> <3p>
(bunu	bu <prn> <dem> <p3s>
(bunu	bu <prn> <dem> <p3s> <3s>
(bunu	bu <prn> <dem> <p3s> <3p>
(bunu	bu <prn> <dem> <acc>
(bunu	bu <prn> <dem> <acc> <3s>
(bunu	bu <prn> <dem> <acc> <3p>
da	<unk>
söyleyebilirdi),	söyle <v> <abil> <t_aor> <cpl_di> <3p>
söyleyebilirdi),	söyle <v> <abil> <t_aor> <3p> <cpl_di>
bu	bu <prn> <dem> <3s>
bu	bu <prn> <dem> <3p>
bu	bu <det>
şekilde	şekil <n> <loc> <3s>
şekilde	şekil <n> <loc> <3p>
ağlamaya	ağla <v> <D_mA> <n> <dat> <3s>
ağlamaya	ağla <v> <D_mA> <n> <dat> <3p>
ağlamaya	ağla <v> <neg> <t_opt> <3s>
ağlamaya	ağla <v> <neg> <t_opt> <3p>
ağlamaya	ağla <v> <vn_ma> <dat>
ağlamaya	ağla <v> <vn_ma> <dat> <3s>
ağlamaya	ağla <v> <vn_ma> <dat> <3p>
ağlamaya	ağla <v> <vn_mak> <dat>
ağlamaya	ağla <v> <vn_mak> <dat> <3s>
ağlamaya	ağla <v> <vn_mak> <dat> <3p>
ağlamaya	ağla <v> <vinf> <dat>
ağlamaya	ağ <n> <D_lA> <v> <D_mA> <n> <dat>
ağlamaya	ağ <n> <D_lA> <v> <D_mA> <n> <dat> <3s>
ağlamaya	ağ <n> <D_lA> <v> <D_mA> <n> <dat> <3p>
ağlamaya	ağ <n> <D_lA> <v> <neg> <t_opt> <3s>
ağlamaya	ağ <n> <D_lA> <v> <neg> <t_opt> <3p>
ağlamaya	ağ <n> <D_lA> <v> <vn_ma> <dat>
ağlamaya	ağ <n> <D_lA> <v> <vn_ma> <dat> <3s>
ağlamaya	ağ <n> <D_lA> <v> <vn_ma> <dat> <3p>
ağlamaya	ağ <n> <D_lA> <v> <vn_mak> <dat>
ağlamaya	ağ <n> <D_lA> <v> <vn_mak> <dat> <3s>
ağlamaya	ağ <n> <D_lA> <v> <vn_mak> <dat> <3p>
ağlamaya	ağ <n> <D_lA> <v> <vinf> <dat>
devam	devam <n> <3s>
devam	devam <n> <3p>
devam	deva <n> <p1s>
devam	deva <n> <p1s> <3s>
devam	deva <n> <p1s> <3p>
etmelisin.	et <v> <D_mA> <n> <D_lI> <n> <2s>
etmelisin.	et <v> <t_obl> <2s>
</S> </S>+ESTag
<S> <S>+BSTag
Kes	kes <n> <3s>
Kes	kes <n> <3p>
Kes	kes <v> <t_imp> <2s>
Kes	kes <v> <t_imp> <3p>
şunu,	şu <prn> <dem> <p3s> <3s>
şunu,	şu <prn> <dem> <p3s> <3p>
şunu,	şu <prn> <dem> <acc>
şunu,	şu <prn> <dem> <acc> <3s>
şunu,	şu <prn> <dem> <acc> <3p>
diyorum	<unk>
sana!"	san <n> <dat> <3s>
sana!"	san <n> <dat> <3p>
sana!"	san <v> <t_opt> <3s>
sana!"	san <v> <t_opt> <3p>
sana!"	sen <prn> <pers> <dat>
sana!"	sen <prn> <pers> <dat> <3s>
sana!"	sen <prn> <pers> <dat> <3p>
Ama	ama <n> <3s>
Ama	ama <n> <3p>
Ama	ama <cnjcoo>
Ama	ama <cnjadv>
yine	yine <adv> <Dan_0> <n>
yine	yine <adv> <Dan_0> <n> <3s>
yine	yine <adv> <Dan_0> <n> <3p>
de,	de <v> <t_imp> <2s>
de,	de <v> <t_imp> <3p>
litrelerce	<unk>
gözyaşı	gözyaş <n> <p3s>
gözyaşı	gözyaş <n> <p3s> <3s>
gözyaşı	gözyaş <n> <p3s> <3p>
gözyaşı	gözyaş <n> <acc>
gözyaşı	gözyaş <n> <acc> <3s>
gözyaşı	gözyaş <n> <acc> <3p>
dökerek	<unk>
devam	devam <n> <3s>
devam	devam <n> <3p>
devam	deva <n> <p1s>
devam	deva <n> <p1s> <3s>
devam	deva <n> <p1s> <3p>
etti,	et <n> <cpl_di> <3p>
etti,	et <n> <3p> <cpl_di>
etti,	et <v> <t_past> <3s>
etti,	et <v> <t_past> <3p>
öyle	öyle <adj> <Djn_0> <n>
öyle	öyle <adj> <Djn_0> <n> <3s>
öyle	öyle <adj> <Djn_0> <n> <3p>
öyle	öyle <adv>
öyle	öyle <adv> <Dan_0> <n>
öyle	öyle <adv> <Dan_0> <n> <3s>
öyle	öyle <adv> <Dan_0> <n> <3p>
öyle	öyle <ij>
ki,	ki <cnjadv>
çevresine	çevre <n> <p3s> <dat> <3s>
çevresine	çevre <n> <p3s> <dat> <3p>
yaklaşık	yaklaşık <n> <3s>
yaklaşık	yaklaşık <n> <3p>
beş	beş <n> <3s>
beş	beş <n> <3p>
beş	beş <num>
beş	beş <num> <Dmn_0> <n>
beş	beş <num> <Dmn_0> <n> <3s>
beş	beş <num> <Dmn_0> <n> <3p>
santim	santim <n> <3s>
santim	santim <n> <3p>
derinliğinde	derin <adj> <D_lIK> <n> <p2s> <loc> <3s>
derinliğinde	derin <adj> <D_lIK> <n> <p2s> <loc> <3p>
derinliğinde	derin <adj> <D_lIK> <n> <p3s> <loc>
derinliğinde	derin <adj> <D_lIK> <n> <p3s> <loc> <3s>
derinliğinde	derin <adj> <D_lIK> <n> <p3s> <loc> <3p>
derinliğinde	derin <adj> <Djn_0> <n> <D_lIK> <n> <p2s> <loc>
derinliğinde	derin <adj> <Djn_0> <n> <D_lIK> <n> <p2s> <loc> <3s>
derinliğinde	derin <adj> <Djn_0> <n> <D_lIK> <n> <p2s> <loc> <3p>
derinliğinde	derin <adj> <Djn_0> <n> <D_lIK> <n> <p3s> <loc>
derinliğinde	derin <adj> <Djn_0> <n> <D_lIK> <n> <p3s> <loc> <3s>
derinliğinde	derin <adj> <Djn_0> <n> <D_lIK> <n> <p3s> <loc> <3p>
bir	bir <adj> <Djn_0> <n>
bir	bir <adj> <Djn_0> <n> <3s>
bir	bir <adj> <Djn_0> <n> <3p>
bir	bir <num>
bir	bir <num> <Dmn_0> <n>
bir	bir <num> <Dmn_0> <n> <3s>
bir	bir <num> <Dmn_0> <n> <3p>
bir	bir <det>
havuz	havuz <n> <3s>
havuz	havuz <n> <3p>
açıldı,	aç <v> <pass> <t_past> <3p>
salonun	salon <n> <p2s> <3s>
salonun	salon <n> <p2s> <3p>
salonun	salon <n> <gen>
salonun	salon <n> <gen> <3s>
salonun	salon <n> <gen> <3p>
yarısına	yarı <adj> <Djn_0> <n> <p3s> <dat> <3s>
yarısına	yarı <adj> <Djn_0> <n> <p3s> <dat> <3p>
yarısına	yarı <n> <p3s> <dat>
yarısına	yarı <n> <p3s> <dat> <3s>
yarısına	yarı <n> <p3s> <dat> <3p>
ulaştı.	ulaş <v> <t_past> <3p>
</S> </S>+ESTag
<S> <S>+BSTag
Bir	bir <adj> <Djn_0> <n>
Bir	bir <adj> <Djn_0> <n> <3s>
Bir	bir <adj> <Djn_0> <n> <3p>
Bir	bir <num>
Bir	bir <num> <Dmn_0> <n>
Bir	bir <num> <Dmn_0> <n> <3s>
Bir	bir <num> <Dmn_0> <n> <3p>
Bir	bir <det>
süre	süre <n> <3s>
süre	süre <n> <3p>
süre	sür <v> <t_opt> <3s>
süre	sür <v> <t_opt> <3p>
sonra	sonra <adv> <Dan_0> <n>
sonra	sonra <adv> <Dan_0> <n> <3s>
sonra	sonra <adv> <Dan_0> <n> <3p>
sonra	sonra <n>
sonra	sonra <n> <3s>
sonra	sonra <n> <3p>
sonra	sonra <postp>
sonra	sonra <cnjadv>
uzaktan	uzak <adj> <Djn_0> <n> <abl> <3s>
uzaktan	uzak <adj> <Djn_0> <n> <abl> <3p>
bir	bir <adj> <Djn_0> <n>
bir	bir <adj> <Djn_0> <n> <3s>
bir	bir <adj> <Djn_0> <n> <3p>
bir	bir <num>
bir	bir <num> <Dmn_0> <n>
bir	bir <num> <Dmn_0> <n> <3s>
bir	bir <num> <Dmn_0> <n> <3p>
bir	bir <det>
ayak	ayak <n> <3s>
ayak	ayak <n> <3p>
çırpıntısı	çırpıntı <n> <p3s> <3s>
çırpıntısı	çırpıntı <n> <p3s> <3p>
duydu,	duy <n> <cpl_di> <3p>
duydu,	duy <n> <3p> <cpl_di>
duydu,	duy <v> <t_past> <3s>
duydu,	duy <v> <t_past> <3p>
ne	ne <prn> <qst> <3s>
ne	ne <prn> <qst> <3p>
ne	ne <cnjcoo>
geldiğini	gel <v> <vn_dik> <p2s> <acc> <3s>
geldiğini	gel <v> <vn_dik> <p2s> <acc> <3p>
geldiğini	gel <v> <vn_dik> <p3s> <acc>
geldiğini	gel <v> <vn_dik> <p3s> <acc> <3s>
geldiğini	gel <v> <vn_dik> <p3s> <acc> <3p>
geldiğini	gel <v> <part_dik> <p2s> <acc>
geldiğini	gel <v> <part_dik> <p2s> <acc> <3s>
geldiğini	gel <v> <part_dik> <p2s> <acc> <3p>
geldiğini	gel <v> <part_dik> <p3s> <acc>
geldiğini	gel <v> <part_dik> <p3s> <acc> <3s>
geldiğini	gel <v> <part_dik> <p3s> <acc> <3p>
geldiğini	gel <v> <cv_dik> <p3s> <acc>
görmek	gör <v> <vn_mak> <3s>
görmek	gör <v> <vn_mak> <3p>
görmek	gör <v> <vinf>
görmek	gör <v> <cv_mak>
için	için <cnjcoo>
için	iç <adj> <Djn_0> <n> <p2s>
için	iç <adj> <Djn_0> <n> <p2s> <3s>
için	iç <adj> <Djn_0> <n> <p2s> <3p>
için	iç <adj> <Djn_0> <n> <gen>
için	iç <adj> <Djn_0> <n> <gen> <3s>
için	iç <adj> <Djn_0> <n> <gen> <3p>
için	iç <n> <p2s>
için	iç <n> <p2s> <3s>
için	iç <n> <p2s> <3p>
için	iç <n> <gen>
için	iç <n> <gen> <3s>
için	iç <n> <gen> <3p>
için	iç <v> <t_imp> <2p>
gözlerini	göz <n> <pl> <p2s> <acc> <3s>
gözlerini	göz <n> <pl> <p2s> <acc> <3p>
gözlerini	göz <n> <pl> <p3s> <acc>
gözlerini	göz <n> <pl> <p3s> <acc> <3s>
gözlerini	göz <n> <pl> <p3s> <acc> <3p>
gözlerini	göz <n> <p3p> <acc>
gözlerini	göz <n> <p3p> <acc> <3s>
gözlerini	göz <n> <p3p> <acc> <3p>
acele	acele <adj> <Djn_0> <n>
acele	acele <adj> <Djn_0> <n> <3s>
acele	acele <adj> <Djn_0> <n> <3p>
acele	acele <adv>
acele	acele <adv> <Dan_0> <n>
acele	acele <adv> <Dan_0> <n> <3s>
acele	acele <adv> <Dan_0> <n> <3p>
acele	acele <adj> <Djn_0> <n>
acele	acele <adj> <Djn_0> <n> <3s>
acele	acele <adj> <Djn_0> <n> <3p>
acele	acele <adv>
acele	acele <adv> <Dan_0> <n>
acele	acele <adv> <Dan_0> <n> <3s>
acele	acele <adv> <Dan_0> <n> <3p>
kuruladı.	kurula <v> <t_past> <3p>
kuruladı.	kuru <adj> <D_lA> <v> <t_past> <3s>
kuruladı.	kuru <adj> <D_lA> <v> <t_past> <3p>
kuruladı.	kuru <adj> <Djn_0> <n> <D_lA> <v> <t_past> <3s>
kuruladı.	kuru <adj> <Djn_0> <n> <D_lA> <v> <t_past> <3p>
</S> </S>+ESTag
<S> <S>+BSTag
Beyaz	beyaz <n> <3s>
Beyaz	beyaz <n> <3p>
Tavşan	tavşan <n> <3s>
Tavşan	tavşan <n> <3p>
geri	geri <adv> <Dan_0> <n>
geri	geri <adv> <Dan_0> <n> <3s>
geri	geri <adv> <Dan_0> <n> <3p>
geri	geri <n>
geri	geri <n> <3s>
geri	geri <n> <3p>
dönüyordu.	dön <v> <t_cont> <cpl_di> <3p>
dönüyordu.	dön <v> <t_cont> <3p> <cpl_di>
</S> </S>+ESTag
<S> <S>+BSTag
Bir	bir <adj> <Djn_0> <n>
Bir	bir <adj> <Djn_0> <n> <3s>
Bir	bir <adj> <Djn_0> <n> <3p>
Bir	bir <num>
Bir	bir <num> <Dmn_0> <n>
Bir	bir <num> <Dmn_0> <n> <3s>
Bir	bir <num> <Dmn_0> <n> <3p>
Bir	bir <det>
elinde	el <n> <p2s> <loc> <3s>
elinde	el <n> <p2s> <loc> <3p>
elinde	el <n> <p3s> <loc>
elinde	el <n> <p3s> <loc> <3s>
elinde	el <n> <p3s> <loc> <3p>
bir	bir <adj> <Djn_0> <n>
bir	bir <adj> <Djn_0> <n> <3s>
bir	bir <adj> <Djn_0> <n> <3p>
bir	bir <num>
bir	bir <num> <Dmn_0> <n>
bir	bir <num> <Dmn_0> <n> <3s>
bir	bir <num> <Dmn_0> <n> <3p>
bir	bir <det>
çift	çift <n> <3s>
çift	çift <n> <3p>
beyaz	beyaz <n> <3s>
beyaz	beyaz <n> <3p>
eldiven,	eldiven <n> <3s>
eldiven,	eldiven <n> <3p>
öbür	öbür <adj> <Djn_0> <n>
öbür	öbür <adj> <Djn_0> <n> <3s>
öbür	öbür <adj> <Djn_0> <n> <3p>
öbür	öbür <det>
elinde	el <n> <p2s> <loc> <3s>
elinde	el <n> <p2s> <loc> <3p>
elinde	el <n> <p3s> <loc>
elinde	el <n> <p3s> <loc> <3s>
elinde	el <n> <p3s> <loc> <3p>
kocaman	kocaman <adj> <Djn_0> <n>
kocaman	kocaman <adj> <Djn_0> <n> <3s>
kocaman	kocaman <adj> <Djn_0> <n> <3p>
kocaman	koca <v> <D_mA> <n> <p2s>
kocaman	koca <v> <D_mA> <n> <p2s> <3s>
kocaman	koca <v> <D_mA> <n> <p2s> <3p>
kocaman	koca <v> <vn_ma> <p2s>
kocaman	koca <v> <vn_ma> <p2s> <3s>
kocaman	koca <v> <vn_ma> <p2s> <3p>
bir	bir <adj> <Djn_0> <n>
