<S> <S>+BSTag
"Kafasını	kafa <n> <p3s> <acc> <3s>
"Kafasını	kafa <n> <p3s> <acc> <3p>
""Senin	sen <prn> <pers> <p2s> <3s>
""Senin	sen <prn> <pers> <p2s> <3p>
""Senin	sen <prn> <pers> <gen>
""Senin	sen <prn> <pers> <gen> <3s>
""Senin	sen <prn> <pers> <gen> <3p>
için	için <cnjcoo>
için	iç <adj> <Djn_0> <n> <p2s>
için	iç <adj> <Djn_0> <n> <p2s> <3s>
için	iç <adj> <Djn_0> <n> <p2s> <3p>
için	iç <adj> <Djn_0> <n> <gen>
için	iç <adj> <Djn_0> <n> <gen> <3s>
için	iç <adj> <Djn_0> <n> <gen> <3p>
için	iç <n> <p2s>
için	iç <n> <p2s> <3s>
için	iç <n> <p2s> <3p>
için	iç <n> <gen>
için	iç <n> <gen> <3s>
için	iç <n> <gen> <3p>
için	iç <v> <t_imp> <2p>
kim	kim <prn> <qst> <3s>
kim	kim <prn> <qst> <3p>
umursar	umursa <v> <t_aor> <3p>
(Seni	sen <prn> <pers> <p3s> <3s>
(Seni	sen <prn> <pers> <p3s> <3p>
(Seni	sen <prn> <pers> <acc>
(Seni	sen <prn> <pers> <acc> <3s>
(Seni	sen <prn> <pers> <acc> <3p>
kim	kim <prn> <qst> <3s>
kim	kim <prn> <qst> <3p>
takar)?"	tak <v> <t_aor> <3p>
dedi	de <v> <t_past> <3p>
Alice,	ali <n> <D_CA> <adj> <Djn_0> <n>
Alice,	ali <n> <D_CA> <adj> <Djn_0> <n> <3s>
Alice,	ali <n> <D_CA> <adj> <Djn_0> <n> <3p>
Alice,	ali <n> <D_CA> <adv>
Alice,	ali <n> <D_CA> <adv> <Dan_0> <n>
Alice,	ali <n> <D_CA> <adv> <Dan_0> <n> <3s>
Alice,	ali <n> <D_CA> <adv> <Dan_0> <n> <3p>
Alice,	ali <n> <D_CA> <n>
Alice,	ali <n> <D_CA> <n> <3s>
Alice,	ali <n> <D_CA> <n> <3p>
(bu	bu <prn> <dem> <3s>
(bu	bu <prn> <dem> <3p>
(bu	bu <det>
zamana	zaman <n> <dat> <3s>
zamana	zaman <n> <dat> <3p>
kadar	<unk>
tam	tam <adj> <Djn_0> <n>
tam	tam <adj> <Djn_0> <n> <3s>
tam	tam <adj> <Djn_0> <n> <3p>
boyutuna	boyut <n> <p2s> <dat> <3s>
boyutuna	boyut <n> <p2s> <dat> <3p>
boyutuna	boyut <n> <p3s> <dat>
boyutuna	boyut <n> <p3s> <dat> <3s>
boyutuna	boyut <n> <p3s> <dat> <3p>
büyümüştü.)	büyü <v> <t_narr> <cpl_di> <3p>
büyümüştü.)	büyü <v> <t_narr> <3p> <cpl_di>
"Siz	siz <prn> <pers> <3s>
"Siz	siz <prn> <pers> <3p>
sadece	sadece <adv> <Dan_0> <n>
sadece	sadece <adv> <Dan_0> <n> <3s>
sadece	sadece <adv> <Dan_0> <n> <3p>
sadece	sadece <n>
sadece	sadece <n> <3s>
sadece	sadece <n> <3p>
sadece	sade <n> <D_CA> <adj>
sadece	sade <n> <D_CA> <adj> <Djn_0> <n>
sadece	sade <n> <D_CA> <adj> <Djn_0> <n> <3s>
sadece	sade <n> <D_CA> <adj> <Djn_0> <n> <3p>
sadece	sade <n> <D_CA> <adv>
sadece	sade <n> <D_CA> <adv> <Dan_0> <n>
sadece	sade <n> <D_CA> <adv> <Dan_0> <n> <3s>
sadece	sade <n> <D_CA> <adv> <Dan_0> <n> <3p>
sadece	sade <n> <D_CA> <n>
sadece	sade <n> <D_CA> <n> <3s>
sadece	sade <n> <D_CA> <n> <3p>
bir	bir <adj> <Djn_0> <n>
bir	bir <adj> <Djn_0> <n> <3s>
bir	bir <adj> <Djn_0> <n> <3p>
bir	bir <num>
bir	bir <num> <Dmn_0> <n>
bir	bir <num> <Dmn_0> <n> <3s>
bir	bir <num> <Dmn_0> <n> <3p>
bir	bir <det>
deste	deste <n> <3s>
deste	deste <n> <3p>
deste	dest <n> <dat>
deste	dest <n> <dat> <3s>
deste	dest <n> <dat> <3p>
karttan	kart <adj> <Djn_0> <n> <abl> <3s>
karttan	kart <adj> <Djn_0> <n> <abl> <3p>
karttan	kart <n> <abl>
karttan	kart <n> <abl> <3s>
karttan	kart <n> <abl> <3p>
başka	başka <adj> <Djn_0> <n>
başka	başka <adj> <Djn_0> <n> <3s>
başka	başka <adj> <Djn_0> <n> <3p>
başka	başka <postp>
bir	bir <adj> <Djn_0> <n>
bir	bir <adj> <Djn_0> <n> <3s>
bir	bir <adj> <Djn_0> <n> <3p>
bir	bir <num>
bir	bir <num> <Dmn_0> <n>
bir	bir <num> <Dmn_0> <n> <3s>
bir	bir <num> <Dmn_0> <n> <3p>
bir	bir <det>
şey	şey <n> <3s>
şey	şey <n> <3p>
değilsiniz!""	<unk>
"Bunda	bun <n> <loc> <3s>
"Bunda	bun <n> <loc> <3p>
"Bunda	bu <prn> <dem> <loc>
"Bunda	bu <prn> <dem> <loc> <3s>
"Bunda	bu <prn> <dem> <loc> <3p>
bütün	bütün <adj> <Djn_0> <n>
bütün	bütün <adj> <Djn_0> <n> <3s>
bütün	bütün <adj> <Djn_0> <n> <3p>
bütün	bütün <det>
deste	deste <n> <3s>
deste	deste <n> <3p>
deste	dest <n> <dat>
deste	dest <n> <dat> <3s>
deste	dest <n> <dat> <3p>
havaya	hava <n> <dat> <3s>
havaya	hava <n> <dat> <3p>
doğru	doğru <adj> <Djn_0> <n>
doğru	doğru <adj> <Djn_0> <n> <3s>
doğru	doğru <adj> <Djn_0> <n> <3p>
doğru	doğru <postp>
yukarı	yukarı <adv> <Dan_0> <n>
yukarı	yukarı <adv> <Dan_0> <n> <3s>
yukarı	yukarı <adv> <Dan_0> <n> <3p>
yukarı	yukarı <adv> <Dan_0> <n> <p3s>
yukarı	yukarı <adv> <Dan_0> <n> <p3s> <3s>
yukarı	yukarı <adv> <Dan_0> <n> <p3s> <3p>
yukarı	yukarı <adv> <Dan_0> <n> <acc>
yukarı	yukarı <adv> <Dan_0> <n> <acc> <3s>
yukarı	yukarı <adv> <Dan_0> <n> <acc> <3p>
yukarı	yukarı <postp>
yükseldi,	yüksel <v> <t_past> <3p>
yükseldi,	yük <n> <D_sAl> <adj> <Djn_0> <n> <cpl_di> <3s>
yükseldi,	yük <n> <D_sAl> <adj> <Djn_0> <n> <cpl_di> <3p>
yükseldi,	yük <n> <D_sAl> <adj> <Djn_0> <n> <3p> <cpl_di>
ve	ve <cnjadv>
uçarak	<unk>
onun	onun <n> <3s>
onun	onun <n> <3p>
onun	on <n> <p2s>
onun	on <n> <p2s> <3s>
onun	on <n> <p2s> <3p>
onun	on <n> <gen>
onun	on <n> <gen> <3s>
onun	on <n> <gen> <3p>
onun	on <v> <t_imp> <2p>
onun	on <num> <Dmn_0> <n> <p2s>
onun	on <num> <Dmn_0> <n> <p2s> <3s>
onun	on <num> <Dmn_0> <n> <p2s> <3p>
onun	on <num> <Dmn_0> <n> <gen>
onun	on <num> <Dmn_0> <n> <gen> <3s>
onun	on <num> <Dmn_0> <n> <gen> <3p>
onun	o <prn> <pers> <p2s>
onun	o <prn> <pers> <p2s> <3s>
onun	o <prn> <pers> <p2s> <3p>
onun	o <prn> <pers> <gen>
onun	o <prn> <pers> <gen> <3s>
onun	o <prn> <pers> <gen> <3p>
üzerine	üzeri <n> <p2s> <dat>
üzerine	üzeri <n> <p2s> <dat> <3s>
üzerine	üzeri <n> <p2s> <dat> <3p>
üzerine	üzer <n> <p2s> <dat>
üzerine	üzer <n> <p2s> <dat> <3s>
üzerine	üzer <n> <p2s> <dat> <3p>
üzerine	üzer <n> <p3s> <dat>
üzerine	üzer <n> <p3s> <dat> <3s>
üzerine	üzer <n> <p3s> <dat> <3p>
aşağı	aşağı <adv> <Dan_0> <n>
aşağı	aşağı <adv> <Dan_0> <n> <3s>
aşağı	aşağı <adv> <Dan_0> <n> <3p>
aşağı	aşağı <n>
aşağı	aşağı <n> <3s>
aşağı	aşağı <n> <3p>
aşağı	aşağı <postp>
geldi:	gel <v> <t_past> <3p>
o	o <prn> <pers> <3s>
o	o <prn> <pers> <3p>
o	o <ij>
o	o <det>
küçük	küçük <adj> <Djn_0> <n>
küçük	küçük <adj> <Djn_0> <n> <3s>
küçük	küçük <adj> <Djn_0> <n> <3p>
küçük	küçük <n>
küçük	küçük <n> <3s>
küçük	küçük <n> <3p>
bir	bir <adj> <Djn_0> <n>
bir	bir <adj> <Djn_0> <n> <3s>
bir	bir <adj> <Djn_0> <n> <3p>
bir	bir <num>
bir	bir <num> <Dmn_0> <n>
bir	bir <num> <Dmn_0> <n> <3s>
bir	bir <num> <Dmn_0> <n> <3p>
bir	bir <det>
çığlık	çığlık <n> <3s>
çığlık	çığlık <n> <3p>
çığlık	çığ <n> <D_lIK> <n>
çığlık	çığ <n> <D_lIK> <n> <3s>
çığlık	çığ <n> <D_lIK> <n> <3p>
verdi,	verdi <n> <3s>
verdi,	verdi <n> <3p>
verdi,	ver <v> <t_past> <3s>
verdi,	ver <v> <t_past> <3p>
yarısı	yarı <adj> <Djn_0> <n> <p3s> <3s>
yarısı	yarı <adj> <Djn_0> <n> <p3s> <3p>
yarısı	yarı <n> <p3s>
yarısı	yarı <n> <p3s> <3s>
yarısı	yarı <n> <p3s> <3p>
korkudan	korku <n> <abl> <3s>
korkudan	korku <n> <abl> <3p>
ve	ve <cnjadv>
yarısı	yarı <adj> <Djn_0> <n> <p3s> <3s>
yarısı	yarı <adj> <Djn_0> <n> <p3s> <3p>
yarısı	yarı <n> <p3s>
yarısı	yarı <n> <p3s> <3s>
yarısı	yarı <n> <p3s> <3p>
öfkeden,	öfke <n> <abl> <3s>
öfkeden,	öfke <n> <abl> <3p>
ve	ve <cnjadv>
onları	onlar <prn> <pers> <p3s> <3s>
onları	onlar <prn> <pers> <p3s> <3p>
onları	onlar <prn> <pers> <acc>
onları	onlar <prn> <pers> <acc> <3s>
onları	onlar <prn> <pers> <acc> <3p>
onları	on <n> <pl> <p3s>
onları	on <n> <pl> <p3s> <3s>
onları	on <n> <pl> <p3s> <3p>
onları	on <n> <pl> <acc>
onları	on <n> <pl> <acc> <3s>
onları	on <n> <pl> <acc> <3p>
onları	on <n> <p3p>
onları	on <n> <p3p> <3s>
onları	on <n> <p3p> <3p>
onları	on <num> <Dmn_0> <n> <pl> <p3s>
onları	on <num> <Dmn_0> <n> <pl> <p3s> <3s>
onları	on <num> <Dmn_0> <n> <pl> <p3s> <3p>
onları	on <num> <Dmn_0> <n> <pl> <acc>
onları	on <num> <Dmn_0> <n> <pl> <acc> <3s>
onları	on <num> <Dmn_0> <n> <pl> <acc> <3p>
onları	on <num> <Dmn_0> <n> <p3p>
onları	on <num> <Dmn_0> <n> <p3p> <3s>
onları	on <num> <Dmn_0> <n> <p3p> <3p>
onları	o <prn> <pers> <pl> <p3s>
onları	o <prn> <pers> <pl> <p3s> <3s>
onları	o <prn> <pers> <pl> <p3s> <3p>
onları	o <prn> <pers> <pl> <acc>
onları	o <prn> <pers> <pl> <acc> <3s>
onları	o <prn> <pers> <pl> <acc> <3p>
onları	o <prn> <pers> <p3p>
onları	o <prn> <pers> <p3p> <3s>
onları	o <prn> <pers> <p3p> <3p>
döverek	<unk>
uzaklaştırmaya	uzak <adj> <D_lAs> <v> <caus> <neg> <t_opt> <3p>
uzaklaştırmaya	uzak <adj> <D_lAs> <v> <caus> <vn_ma> <dat>
uzaklaştırmaya	uzak <adj> <D_lAs> <v> <caus> <vn_ma> <dat> <3s>
uzaklaştırmaya	uzak <adj> <D_lAs> <v> <caus> <vn_ma> <dat> <3p>
uzaklaştırmaya	uzak <adj> <D_lAs> <v> <caus> <vn_mak> <dat>
uzaklaştırmaya	uzak <adj> <D_lAs> <v> <caus> <vn_mak> <dat> <3s>
uzaklaştırmaya	uzak <adj> <D_lAs> <v> <caus> <vn_mak> <dat> <3p>
uzaklaştırmaya	uzak <adj> <D_lAs> <v> <caus> <vinf> <dat>
uzaklaştırmaya	uzak <adj> <Djn_0> <n> <D_lAs> <v> <caus> <neg> <t_opt> <3s>
uzaklaştırmaya	uzak <adj> <Djn_0> <n> <D_lAs> <v> <caus> <neg> <t_opt> <3p>
uzaklaştırmaya	uzak <adj> <Djn_0> <n> <D_lAs> <v> <caus> <vn_ma> <dat>
uzaklaştırmaya	uzak <adj> <Djn_0> <n> <D_lAs> <v> <caus> <vn_ma> <dat> <3s>
uzaklaştırmaya	uzak <adj> <Djn_0> <n> <D_lAs> <v> <caus> <vn_ma> <dat> <3p>
uzaklaştırmaya	uzak <adj> <Djn_0> <n> <D_lAs> <v> <caus> <vn_mak> <dat>
uzaklaştırmaya	uzak <adj> <Djn_0> <n> <D_lAs> <v> <caus> <vn_mak> <dat> <3s>
uzaklaştırmaya	uzak <adj> <Djn_0> <n> <D_lAs> <v> <caus> <vn_mak> <dat> <3p>
uzaklaştırmaya	uzak <adj> <Djn_0> <n> <D_lAs> <v> <caus> <vinf> <dat>
çalıştı,	çalış <v> <t_past> <3p>
çalıştı,	çal <v> <D_yIS> <n> <cpl_di> <3s>
çalıştı,	çal <v> <D_yIS> <n> <cpl_di> <3p>
çalıştı,	çal <v> <D_yIS> <n> <3p> <cpl_di>
çalıştı,	çal <v> <vn_yis> <cpl_di> <3s>
çalıştı,	çal <v> <vn_yis> <cpl_di> <3p>
çalıştı,	çal <v> <vn_yis> <3p> <cpl_di>
ve	ve <cnjadv>
kendini	kendi <n> <p2s> <acc> <3s>
kendini	kendi <n> <p2s> <acc> <3p>
kendini	kendi <prn> <p2s> <acc>
kendini	kendi <prn> <p2s> <acc> <3s>
kendini	kendi <prn> <p2s> <acc> <3p>
bankta	bank <n> <loc> <3s>
bankta	bank <n> <loc> <3p>
yatarken	yat <v> <t_aor> <3p> <cpl_ken>
buldu,	bul <v> <t_past> <3p>
başı,	baş <n> <p3s> <3s>
başı,	baş <n> <p3s> <3p>
başı,	baş <n> <acc>
başı,	baş <n> <acc> <3s>
başı,	baş <n> <acc> <3p>
ağaçlardan	ağaç <n> <pl> <abl> <3s>
ağaçlardan	ağaç <n> <pl> <abl> <3p>
onun	onun <n> <3s>
onun	onun <n> <3p>
onun	on <n> <p2s>
onun	on <n> <p2s> <3s>
onun	on <n> <p2s> <3p>
onun	on <n> <gen>
onun	on <n> <gen> <3s>
onun	on <n> <gen> <3p>
onun	on <v> <t_imp> <2p>
onun	on <num> <Dmn_0> <n> <p2s>
onun	on <num> <Dmn_0> <n> <p2s> <3s>
onun	on <num> <Dmn_0> <n> <p2s> <3p>
onun	on <num> <Dmn_0> <n> <gen>
onun	on <num> <Dmn_0> <n> <gen> <3s>
onun	on <num> <Dmn_0> <n> <gen> <3p>
onun	o <prn> <pers> <p2s>
onun	o <prn> <pers> <p2s> <3s>
onun	o <prn> <pers> <p2s> <3p>
onun	o <prn> <pers> <gen>
onun	o <prn> <pers> <gen> <3s>
onun	o <prn> <pers> <gen> <3p>
yüzünün	yüz <n> <p2s> <gen> <3s>
yüzünün	yüz <n> <p2s> <gen> <3p>
yüzünün	yüz <n> <p3s> <gen>
yüzünün	yüz <n> <p3s> <gen> <3s>
yüzünün	yüz <n> <p3s> <gen> <3p>
yüzünün	yüz <num> <Dmn_0> <n> <p2s> <gen>
yüzünün	yüz <num> <Dmn_0> <n> <p2s> <gen> <3s>
yüzünün	yüz <num> <Dmn_0> <n> <p2s> <gen> <3p>
yüzünün	yüz <num> <Dmn_0> <n> <p3s> <gen>
yüzünün	yüz <num> <Dmn_0> <n> <p3s> <gen> <3s>
yüzünün	yüz <num> <Dmn_0> <n> <p3s> <gen> <3p>
üzerine	üzeri <n> <p2s> <dat>
üzerine	üzeri <n> <p2s> <dat> <3s>
üzerine	üzeri <n> <p2s> <dat> <3p>
üzerine	üzer <n> <p2s> <dat>
üzerine	üzer <n> <p2s> <dat> <3s>
üzerine	üzer <n> <p2s> <dat> <3p>
üzerine	üzer <n> <p3s> <dat>
üzerine	üzer <n> <p3s> <dat> <3s>
üzerine	üzer <n> <p3s> <dat> <3p>
aşağı	aşağı <adv> <Dan_0> <n>
aşağı	aşağı <adv> <Dan_0> <n> <3s>
aşağı	aşağı <adv> <Dan_0> <n> <3p>
aşağı	aşağı <n>
aşağı	aşağı <n> <3s>
aşağı	aşağı <n> <3p>
aşağı	aşağı <postp>
pır	<unk>
pır	<unk>
eden	ede <n> <p2s> <3s>
eden	ede <n> <p2s> <3p>
eden	et <v> <part_yan>
eden	et <v> <part_yan> <3s>
eden	et <v> <part_yan> <3p>
bazı	bazı <adj> <Djn_0> <n>
bazı	bazı <adj> <Djn_0> <n> <3s>
bazı	bazı <adj> <Djn_0> <n> <3p>
bazı	bazı <det>
bazı	baz <n> <p3s>
bazı	baz <n> <p3s> <3s>
bazı	baz <n> <p3s> <3p>
bazı	baz <n> <acc>
bazı	baz <n> <acc> <3s>
bazı	baz <n> <acc> <3p>
ölü	ölü <adj> <Djn_0> <n>
ölü	ölü <adj> <Djn_0> <n> <3s>
ölü	ölü <adj> <Djn_0> <n> <3p>
ölü	ölü <n>
ölü	ölü <n> <3s>
ölü	ölü <n> <3p>
ölü	öl <n> <p3s>
ölü	öl <n> <p3s> <3s>
ölü	öl <n> <p3s> <3p>
ölü	öl <n> <acc>
ölü	öl <n> <acc> <3s>
ölü	öl <n> <acc> <3p>
yaprakları	yaprak <n> <pl> <p3s> <3s>
yaprakları	yaprak <n> <pl> <p3s> <3p>
yaprakları	yaprak <n> <pl> <acc>
yaprakları	yaprak <n> <pl> <acc> <3s>
yaprakları	yaprak <n> <pl> <acc> <3p>
yaprakları	yaprak <n> <p3p>
yaprakları	yaprak <n> <p3p> <3s>
yaprakları	yaprak <n> <p3p> <3p>
nazikçe	nazik <adj> <D_CA> <adj> <Djn_0> <n>
nazikçe	nazik <adj> <D_CA> <adj> <Djn_0> <n> <3s>
nazikçe	nazik <adj> <D_CA> <adj> <Djn_0> <n> <3p>
nazikçe	nazik <adj> <Djn_0> <n> <D_CA> <adj>
nazikçe	nazik <adj> <Djn_0> <n> <D_CA> <adj> <Djn_0> <n>
nazikçe	nazik <adj> <Djn_0> <n> <D_CA> <adj> <Djn_0> <n> <3s>
nazikçe	nazik <adj> <Djn_0> <n> <D_CA> <adj> <Djn_0> <n> <3p>
nazikçe	nazik <adj> <Djn_0> <n> <D_CA> <adv>
nazikçe	nazik <adj> <Djn_0> <n> <D_CA> <adv> <Dan_0> <n>
nazikçe	nazik <adj> <Djn_0> <n> <D_CA> <adv> <Dan_0> <n> <3s>
nazikçe	nazik <adj> <Djn_0> <n> <D_CA> <adv> <Dan_0> <n> <3p>
nazikçe	nazik <adj> <Djn_0> <n> <D_CA> <n>
nazikçe	nazik <adj> <Djn_0> <n> <D_CA> <n> <3s>
nazikçe	nazik <adj> <Djn_0> <n> <D_CA> <n> <3p>
fırçalayarak	fırça <n> <D_lA> <v> <cv_erek>
(süpürerek)	<unk>
uzaklaştıran	uzak <adj> <D_lAs> <v> <caus> <part_yan> <3s>
uzaklaştıran	uzak <adj> <D_lAs> <v> <caus> <part_yan> <3p>
uzaklaştıran	uzak <adj> <Djn_0> <n> <D_lAs> <v> <caus> <part_yan>
uzaklaştıran	uzak <adj> <Djn_0> <n> <D_lAs> <v> <caus> <part_yan> <3s>
uzaklaştıran	uzak <adj> <Djn_0> <n> <D_lAs> <v> <caus> <part_yan> <3p>
kız	kız <adj> <Djn_0> <n>
kız	kız <adj> <Djn_0> <n> <3s>
kız	kız <adj> <Djn_0> <n> <3p>
kız	kız <n>
kız	kız <n> <3s>
kız	kız <n> <3p>
kız	kız <v> <t_imp> <2s>
kız	kız <v> <t_imp> <3p>
kardeşinin	kardeş <n> <p2s> <gen> <3s>
kardeşinin	kardeş <n> <p2s> <gen> <3p>
kardeşinin	kardeş <n> <p3s> <gen>
kardeşinin	kardeş <n> <p3s> <gen> <3s>
kardeşinin	kardeş <n> <p3s> <gen> <3p>
kucağında."	kucak <adj> <Djn_0> <n> <p2s> <loc> <3s>
kucağında."	kucak <adj> <Djn_0> <n> <p2s> <loc> <3p>
kucağında."	kucak <adj> <Djn_0> <n> <p3s> <loc>
kucağında."	kucak <adj> <Djn_0> <n> <p3s> <loc> <3s>
kucağında."	kucak <adj> <Djn_0> <n> <p3s> <loc> <3p>
kucağında."	kucak <n> <p2s> <loc>
kucağında."	kucak <n> <p2s> <loc> <3s>
kucağında."	kucak <n> <p2s> <loc> <3p>
kucağında."	kucak <n> <p3s> <loc>
kucağında."	kucak <n> <p3s> <loc> <3s>
kucağında."	kucak <n> <p3s> <loc> <3p>
""Uyan,	uyan <v> <t_imp> <3p>
""Uyan,	uy <v> <part_yan>
""Uyan,	uy <v> <part_yan> <3s>
""Uyan,	uy <v> <part_yan> <3p>
Alice	ali <n> <D_CA> <adj> <Djn_0> <n>
Alice	ali <n> <D_CA> <adj> <Djn_0> <n> <3s>
Alice	ali <n> <D_CA> <adj> <Djn_0> <n> <3p>
Alice	ali <n> <D_CA> <adv>
Alice	ali <n> <D_CA> <adv> <Dan_0> <n>
Alice	ali <n> <D_CA> <adv> <Dan_0> <n> <3s>
Alice	ali <n> <D_CA> <adv> <Dan_0> <n> <3p>
Alice	ali <n> <D_CA> <n>
Alice	ali <n> <D_CA> <n> <3s>
Alice	ali <n> <D_CA> <n> <3p>
canım!"	can <n> <p1s>
canım!"	can <n> <p1s> <3s>
canım!"	can <n> <p1s> <3p>
dedi	de <v> <t_past> <3p>
kız	kız <adj> <Djn_0> <n>
kız	kız <adj> <Djn_0> <n> <3s>
kız	kız <adj> <Djn_0> <n> <3p>
kız	kız <n>
kız	kız <n> <3s>
kız	kız <n> <3p>
kız	kız <v> <t_imp> <2s>
kız	kız <v> <t_imp> <3p>
kardeşi;	kardeş <n> <p3s> <3s>
kardeşi;	kardeş <n> <p3s> <3p>
kardeşi;	kardeş <n> <acc>
kardeşi;	kardeş <n> <acc> <3s>
kardeşi;	kardeş <n> <acc> <3p>
"Neden	neden <adv> <Dan_0> <n>
"Neden	neden <adv> <Dan_0> <n> <3s>
"Neden	neden <adv> <Dan_0> <n> <3p>
"Neden	neden <n>
"Neden	neden <n> <3s>
"Neden	neden <n> <3p>
"Neden	ne <prn> <qst> <abl>
"Neden	ne <prn> <qst> <abl> <3s>
"Neden	ne <prn> <qst> <abl> <3p>
(Aman),	aman <n> <3s>
(Aman),	aman <n> <3p>
(Aman),	aman <ij>
(Aman),	ama <n> <p2s>
(Aman),	ama <n> <p2s> <3s>
(Aman),	ama <n> <p2s> <3p>
ne	ne <prn> <qst> <3s>
ne	ne <prn> <qst> <3p>
ne	ne <cnjcoo>
kadar	<unk>
uzun	uzun <adj> <Djn_0> <n>
uzun	uzun <adj> <Djn_0> <n> <3s>
uzun	uzun <adj> <Djn_0> <n> <3p>
uzun	uz <n> <p2s>
uzun	uz <n> <p2s> <3s>
uzun	uz <n> <p2s> <3p>
uzun	uz <n> <gen>
uzun	uz <n> <gen> <3s>
uzun	uz <n> <gen> <3p>
bir	bir <adj> <Djn_0> <n>
bir	bir <adj> <Djn_0> <n> <3s>
bir	bir <adj> <Djn_0> <n> <3p>
bir	bir <num>
bir	bir <num> <Dmn_0> <n>
bir	bir <num> <Dmn_0> <n> <3s>
bir	bir <num> <Dmn_0> <n> <3p>
bir	bir <det>
uykuya	uyku <n> <dat> <3s>
uykuya	uyku <n> <dat> <3p>
sahip	sahip <n> <3s>
sahip	sahip <n> <3p>
oldun!""	<unk>
""Oh,	<unk>
o	o <prn> <pers> <3s>
o	o <prn> <pers> <3p>
o	o <ij>
o	o <det>
kadar	<unk>
tuhaf	tuhaf <adj> <Djn_0> <n>
tuhaf	tuhaf <adj> <Djn_0> <n> <3s>
tuhaf	tuhaf <adj> <Djn_0> <n> <3p>
tuhaf	tuhaf <n>
tuhaf	tuhaf <n> <3s>
tuhaf	tuhaf <n> <3p>
bir	bir <adj> <Djn_0> <n>
bir	bir <adj> <Djn_0> <n> <3s>
bir	bir <adj> <Djn_0> <n> <3p>
bir	bir <num>
bir	bir <num> <Dmn_0> <n>
bir	bir <num> <Dmn_0> <n> <3s>
bir	bir <num> <Dmn_0> <n> <3p>
bir	bir <det>
rüyaya	rüya <n> <dat> <3s>
rüyaya	rüya <n> <dat> <3p>
sahip	sahip <n> <3s>
sahip	sahip <n> <3p>
oldum	<unk>
ki!"	ki <cnjadv>
dedi	de <v> <t_past> <3p>
Alice,	ali <n> <D_CA> <adj> <Djn_0> <n>
Alice,	ali <n> <D_CA> <adj> <Djn_0> <n> <3s>
Alice,	ali <n> <D_CA> <adj> <Djn_0> <n> <3p>
Alice,	ali <n> <D_CA> <adv>
Alice,	ali <n> <D_CA> <adv> <Dan_0> <n>
Alice,	ali <n> <D_CA> <adv> <Dan_0> <n> <3s>
Alice,	ali <n> <D_CA> <adv> <Dan_0> <n> <3p>
Alice,	ali <n> <D_CA> <n>
Alice,	ali <n> <D_CA> <n> <3s>
Alice,	ali <n> <D_CA> <n> <3p>
ve	ve <cnjadv>
kız	kız <adj> <Djn_0> <n>
kız	kız <adj> <Djn_0> <n> <3s>
kız	kız <adj> <Djn_0> <n> <3p>
kız	kız <n>
kız	kız <n> <3s>
kız	kız <n> <3p>
kız	kız <v> <t_imp> <2s>
kız	kız <v> <t_imp> <3p>
kardeşine,	kardeş <n> <p2s> <dat> <3s>
kardeşine,	kardeş <n> <p2s> <dat> <3p>
kardeşine,	kardeş <n> <p3s> <dat>
kardeşine,	kardeş <n> <p3s> <dat> <3s>
kardeşine,	kardeş <n> <p3s> <dat> <3p>
onları	onlar <prn> <pers> <p3s> <3s>
onları	onlar <prn> <pers> <p3s> <3p>
onları	onlar <prn> <pers> <acc>
