<S> <S>+BSTag
"Söyleyecek	söyle <v> <t_fut> <3p>
"Söyleyecek	söyle <v> <vn_acak>
"Bu	bu <det>
kesinlikle	kesin <adj> <D_lIK> <n> <D_lA> <v> <t_imp> <3p>
kesinlikle	kesin <adj> <D_lIK> <n> <ins>
kesinlikle	kesin <adj> <D_lIK> <n> <ins> <3s>
kesinlikle	kesin <adj> <D_lIK> <n> <ins> <3p>
kesinlikle	kesin <adj> <Djn_0> <n> <D_lIK> <n> <D_lA> <v> <t_imp> <2s>
kesinlikle	kesin <adj> <Djn_0> <n> <D_lIK> <n> <D_lA> <v> <t_imp> <3p>
kesinlikle	kesin <adj> <Djn_0> <n> <D_lIK> <n> <ins>
kesinlikle	kesin <adj> <Djn_0> <n> <D_lIK> <n> <ins> <3s>
kesinlikle	kesin <adj> <Djn_0> <n> <D_lIK> <n> <ins> <3p>
umut	umut <n> <3s>
umut	umut <n> <3p>
verici	verici <n> <3s>
verici	verici <n> <3p>
verici	veri <n> <D_CI> <adj>
verici	veri <n> <D_CI> <adj> <Djn_0> <n>
verici	veri <n> <D_CI> <adj> <Djn_0> <n> <3s>
verici	veri <n> <D_CI> <adj> <Djn_0> <n> <3p>
verici	veri <n> <D_CI> <n>
verici	veri <n> <D_CI> <n> <3s>
verici	veri <n> <D_CI> <n> <3p>
verici	ver <v> <Dvn_yIcI> <adj>
verici	ver <v> <Dvn_yIcI> <adj> <Djn_0> <n>
verici	ver <v> <Dvn_yIcI> <adj> <Djn_0> <n> <3s>
verici	ver <v> <Dvn_yIcI> <adj> <Djn_0> <n> <3p>
geliyordu:	gel <v> <t_cont> <cpl_di> <3p>
geliyordu:	gel <v> <t_cont> <3p> <cpl_di>
Alice	ali <n> <D_CA> <adj> <Djn_0> <n>
Alice	ali <n> <D_CA> <adj> <Djn_0> <n> <3s>
Alice	ali <n> <D_CA> <adj> <Djn_0> <n> <3p>
Alice	ali <n> <D_CA> <adv>
Alice	ali <n> <D_CA> <adv> <Dan_0> <n>
Alice	ali <n> <D_CA> <adv> <Dan_0> <n> <3s>
Alice	ali <n> <D_CA> <adv> <Dan_0> <n> <3p>
Alice	ali <n> <D_CA> <n>
Alice	ali <n> <D_CA> <n> <3s>
Alice	ali <n> <D_CA> <n> <3p>
döndü	dön <v> <t_past> <3p>
ve	ve <cnjadv>
tekrar	tekrar <adv> <Dan_0> <n>
tekrar	tekrar <adv> <Dan_0> <n> <3s>
tekrar	tekrar <adv> <Dan_0> <n> <3p>
tekrar	tekrar <n>
tekrar	tekrar <n> <3s>
tekrar	tekrar <n> <3p>
geri	geri <adv> <Dan_0> <n>
geri	geri <adv> <Dan_0> <n> <3s>
geri	geri <adv> <Dan_0> <n> <3p>
geri	geri <n>
geri	geri <n> <3s>
geri	geri <n> <3p>
geldi."	gel <v> <t_past> <3p>
""Öfkeni	öfke <n> <p2s> <acc> <3s>
""Öfkeni	öfke <n> <p2s> <acc> <3p>
koru	koru <n> <3s>
koru	koru <n> <3p>
koru	koru <v> <t_imp> <2s>
koru	koru <v> <t_imp> <3p>
koru	kor <n> <p3s>
koru	kor <n> <p3s> <3s>
koru	kor <n> <p3s> <3p>
koru	kor <n> <acc>
koru	kor <n> <acc> <3s>
koru	kor <n> <acc> <3p>
(sakin	sakin <adj> <Djn_0> <n>
(sakin	sakin <adj> <Djn_0> <n> <3s>
(sakin	sakin <adj> <Djn_0> <n> <3p>
(sakin	saki <n> <p2s>
(sakin	saki <n> <p2s> <3s>
(sakin	saki <n> <p2s> <3p>
ol),"	ol <v> <t_imp> <3p>
dedi	de <v> <t_past> <3p>
Tırtıl."	tırtıl <n> <3s>
Tırtıl."	tırtıl <n> <3p>
""Hepsi	hepsi <prn> <3s>
""Hepsi	hepsi <prn> <3p>
bu	bu <prn> <dem> <3s>
bu	bu <prn> <dem> <3p>
bu	bu <det>
mu?"	<unk>
dedi	de <v> <t_past> <3p>
Alice,	ali <n> <D_CA> <adj> <Djn_0> <n>
Alice,	ali <n> <D_CA> <adj> <Djn_0> <n> <3s>
Alice,	ali <n> <D_CA> <adj> <Djn_0> <n> <3p>
Alice,	ali <n> <D_CA> <adv>
Alice,	ali <n> <D_CA> <adv> <Dan_0> <n>
Alice,	ali <n> <D_CA> <adv> <Dan_0> <n> <3s>
Alice,	ali <n> <D_CA> <adv> <Dan_0> <n> <3p>
Alice,	ali <n> <D_CA> <n>
Alice,	ali <n> <D_CA> <n> <3s>
Alice,	ali <n> <D_CA> <n> <3p>
öfkesini	öfke <n> <p3s> <acc> <3s>
öfkesini	öfke <n> <p3s> <acc> <3p>
yapabildiği	yap <v> <abil> <vn_dik> <p3s> <3s>
yapabildiği	yap <v> <abil> <vn_dik> <p3s> <3p>
yapabildiği	yap <v> <abil> <vn_dik> <acc>
yapabildiği	yap <v> <abil> <vn_dik> <acc> <3s>
yapabildiği	yap <v> <abil> <vn_dik> <acc> <3p>
yapabildiği	yap <v> <abil> <part_dik> <p3s>
yapabildiği	yap <v> <abil> <part_dik> <p3s> <3s>
yapabildiği	yap <v> <abil> <part_dik> <p3s> <3p>
yapabildiği	yap <v> <abil> <part_dik> <acc>
yapabildiği	yap <v> <abil> <part_dik> <acc> <3s>
yapabildiği	yap <v> <abil> <part_dik> <acc> <3p>
yapabildiği	yap <v> <abil> <cv_dik> <p3s>
kadar	<unk>
iyi	iyi <adj> <Djn_0> <n>
iyi	iyi <adj> <Djn_0> <n> <3s>
iyi	iyi <adj> <Djn_0> <n> <3p>
iyi	iyi <adv>
iyi	iyi <adv> <Dan_0> <n>
iyi	iyi <adv> <Dan_0> <n> <3s>
iyi	iyi <adv> <Dan_0> <n> <3p>
yutarak."	<unk>
""Hayır,"	hayır <adv> <Dan_0> <n>
""Hayır,"	hayır <adv> <Dan_0> <n> <3s>
""Hayır,"	hayır <adv> <Dan_0> <n> <3p>
""Hayır,"	hayır <n>
""Hayır,"	hayır <n> <3s>
""Hayır,"	hayır <n> <3p>
dedi	de <v> <t_past> <3p>
Tırtıl."	tırtıl <n> <3s>
Tırtıl."	tırtıl <n> <3p>
"Alice,	ali <n> <D_CA> <adj> <Djn_0> <n>
"Alice,	ali <n> <D_CA> <adj> <Djn_0> <n> <3s>
"Alice,	ali <n> <D_CA> <adj> <Djn_0> <n> <3p>
"Alice,	ali <n> <D_CA> <adv>
"Alice,	ali <n> <D_CA> <adv> <Dan_0> <n>
"Alice,	ali <n> <D_CA> <adv> <Dan_0> <n> <3s>
"Alice,	ali <n> <D_CA> <adv> <Dan_0> <n> <3p>
"Alice,	ali <n> <D_CA> <n>
"Alice,	ali <n> <D_CA> <n> <3s>
"Alice,	ali <n> <D_CA> <n> <3p>
yapacak	yap <v> <t_fut> <3p>
yapacak	yap <v> <vn_acak>
yapacak	yap <v> <vn_acak> <3s>
yapacak	yap <v> <vn_acak> <3p>
yapacak	yap <v> <part_acak>
yapacak	yap <v> <part_acak> <3s>
yapacak	yap <v> <part_acak> <3p>
yapacak	yap <v> <cv_acak>
yapacak	yap <v> <cv_ecek>
başka	başka <adj> <Djn_0> <n>
başka	başka <adj> <Djn_0> <n> <3s>
başka	başka <adj> <Djn_0> <n> <3p>
başka	başka <postp>
hiçbir	hiçbir <adj> <Djn_0> <n>
hiçbir	hiçbir <adj> <Djn_0> <n> <3s>
hiçbir	hiçbir <adj> <Djn_0> <n> <3p>
hiçbir	hiçbir <det>
şeyi	şey <n> <p3s> <3s>
şeyi	şey <n> <p3s> <3p>
şeyi	şey <n> <acc>
şeyi	şey <n> <acc> <3s>
şeyi	şey <n> <acc> <3p>
olmadığı	ol <v> <neg> <vn_dik> <p3s> <3s>
olmadığı	ol <v> <neg> <vn_dik> <p3s> <3p>
olmadığı	ol <v> <neg> <vn_dik> <acc>
olmadığı	ol <v> <neg> <vn_dik> <acc> <3s>
olmadığı	ol <v> <neg> <vn_dik> <acc> <3p>
olmadığı	ol <v> <neg> <part_dik> <p3s>
olmadığı	ol <v> <neg> <part_dik> <p3s> <3s>
olmadığı	ol <v> <neg> <part_dik> <p3s> <3p>
olmadığı	ol <v> <neg> <part_dik> <acc>
olmadığı	ol <v> <neg> <part_dik> <acc> <3s>
olmadığı	ol <v> <neg> <part_dik> <acc> <3p>
olmadığı	ol <v> <neg> <cv_dik> <p3s>
için	için <cnjcoo>
için	iç <adj> <Djn_0> <n> <p2s>
için	iç <adj> <Djn_0> <n> <p2s> <3s>
için	iç <adj> <Djn_0> <n> <p2s> <3p>
için	iç <adj> <Djn_0> <n> <gen>
için	iç <adj> <Djn_0> <n> <gen> <3s>
için	iç <adj> <Djn_0> <n> <gen> <3p>
için	iç <n> <p2s>
için	iç <n> <p2s> <3s>
için	iç <n> <p2s> <3p>
için	iç <n> <gen>
için	iç <n> <gen> <3s>
için	iç <n> <gen> <3p>
için	iç <v> <t_imp> <2p>
bekleyebileceğini	bekle <v> <abil> <vn_acak> <p2s> <acc> <3s>
bekleyebileceğini	bekle <v> <abil> <vn_acak> <p2s> <acc> <3p>
bekleyebileceğini	bekle <v> <abil> <vn_acak> <p3s> <acc>
bekleyebileceğini	bekle <v> <abil> <vn_acak> <p3s> <acc> <3s>
bekleyebileceğini	bekle <v> <abil> <vn_acak> <p3s> <acc> <3p>
bekleyebileceğini	bekle <v> <abil> <part_acak> <p2s> <acc>
bekleyebileceğini	bekle <v> <abil> <part_acak> <p2s> <acc> <3s>
bekleyebileceğini	bekle <v> <abil> <part_acak> <p2s> <acc> <3p>
bekleyebileceğini	bekle <v> <abil> <part_acak> <p3s> <acc>
bekleyebileceğini	bekle <v> <abil> <part_acak> <p3s> <acc> <3s>
bekleyebileceğini	bekle <v> <abil> <part_acak> <p3s> <acc> <3p>
bekleyebileceğini	bek <n> <D_lA> <v> <abil> <vn_acak> <p2s> <acc>
bekleyebileceğini	bek <n> <D_lA> <v> <abil> <vn_acak> <p2s> <acc> <3s>
bekleyebileceğini	bek <n> <D_lA> <v> <abil> <vn_acak> <p2s> <acc> <3p>
bekleyebileceğini	bek <n> <D_lA> <v> <abil> <vn_acak> <p3s> <acc>
bekleyebileceğini	bek <n> <D_lA> <v> <abil> <vn_acak> <p3s> <acc> <3s>
bekleyebileceğini	bek <n> <D_lA> <v> <abil> <vn_acak> <p3s> <acc> <3p>
bekleyebileceğini	bek <n> <D_lA> <v> <abil> <part_acak> <p2s> <acc>
bekleyebileceğini	bek <n> <D_lA> <v> <abil> <part_acak> <p2s> <acc> <3s>
bekleyebileceğini	bek <n> <D_lA> <v> <abil> <part_acak> <p2s> <acc> <3p>
bekleyebileceğini	bek <n> <D_lA> <v> <abil> <part_acak> <p3s> <acc>
bekleyebileceğini	bek <n> <D_lA> <v> <abil> <part_acak> <p3s> <acc> <3s>
bekleyebileceğini	bek <n> <D_lA> <v> <abil> <part_acak> <p3s> <acc> <3p>
düşündü,	düşün <n> <cpl_di> <3p>
düşündü,	düşün <n> <3p> <cpl_di>
düşündü,	düşün <v> <t_past> <3s>
düşündü,	düşün <v> <t_past> <3p>
düşündü,	düş <n> <p2s> <cpl_di> <3s>
düşündü,	düş <n> <p2s> <cpl_di> <3p>
düşündü,	düş <n> <p2s> <3p> <cpl_di>
düşündü,	düş <n> <gen> <cpl_di> <3s>
düşündü,	düş <n> <gen> <cpl_di> <3p>
düşündü,	düş <n> <gen> <3p> <cpl_di>
ve	ve <cnjadv>
belki	belki <adv> <Dan_0> <n>
belki	belki <adv> <Dan_0> <n> <3s>
belki	belki <adv> <Dan_0> <n> <3p>
belki	belki <cnjadv>
sonuçta	sonuç <n> <loc> <3s>
sonuçta	sonuç <n> <loc> <3p>
ona	ona <v> <t_imp> <3p>
ona	on <n> <dat>
ona	on <n> <dat> <3s>
ona	on <n> <dat> <3p>
ona	on <v> <t_opt> <3s>
ona	on <v> <t_opt> <3p>
ona	on <num> <Dmn_0> <n> <dat>
ona	on <num> <Dmn_0> <n> <dat> <3s>
ona	on <num> <Dmn_0> <n> <dat> <3p>
ona	o <prn> <pers> <dat>
ona	o <prn> <pers> <dat> <3s>
ona	o <prn> <pers> <dat> <3p>
duymaya	duy <v> <D_mA> <n> <dat> <3s>
duymaya	duy <v> <D_mA> <n> <dat> <3p>
duymaya	duy <v> <neg> <t_opt> <3s>
duymaya	duy <v> <neg> <t_opt> <3p>
duymaya	duy <v> <vn_ma> <dat>
duymaya	duy <v> <vn_ma> <dat> <3s>
duymaya	duy <v> <vn_ma> <dat> <3p>
duymaya	duy <v> <vn_mak> <dat>
duymaya	duy <v> <vn_mak> <dat> <3s>
duymaya	duy <v> <vn_mak> <dat> <3p>
duymaya	duy <v> <vinf> <dat>
değer	değer <n> <3s>
değer	değer <n> <3p>
değer	değ <v> <t_aor> <3s>
değer	değ <v> <t_aor> <3p>
bir	bir <adj> <Djn_0> <n>
bir	bir <adj> <Djn_0> <n> <3s>
bir	bir <adj> <Djn_0> <n> <3p>
bir	bir <num>
bir	bir <num> <Dmn_0> <n>
bir	bir <num> <Dmn_0> <n> <3s>
bir	bir <num> <Dmn_0> <n> <3p>
bir	bir <det>
şey	şey <n> <3s>
şey	şey <n> <3p>
söyleyebilirdi."	söyle <v> <abil> <t_aor> <cpl_di> <3p>
söyleyebilirdi."	söyle <v> <abil> <t_aor> <3p> <cpl_di>
"Birkaç	birkaç <adj> <Djn_0> <n>
"Birkaç	birkaç <adj> <Djn_0> <n> <3s>
"Birkaç	birkaç <adj> <Djn_0> <n> <3p>
"Birkaç	birkaç <det>
dakika	dakika <n> <3s>
dakika	dakika <n> <3p>
boyunca	boyun <n> <D_CA> <adj>
boyunca	boyun <n> <D_CA> <adj> <Djn_0> <n>
boyunca	boyun <n> <D_CA> <adj> <Djn_0> <n> <3s>
boyunca	boyun <n> <D_CA> <adj> <Djn_0> <n> <3p>
boyunca	boyun <n> <D_CA> <adv>
boyunca	boyun <n> <D_CA> <adv> <Dan_0> <n>
boyunca	boyun <n> <D_CA> <adv> <Dan_0> <n> <3s>
boyunca	boyun <n> <D_CA> <adv> <Dan_0> <n> <3p>
boyunca	boyun <n> <D_CA> <n>
boyunca	boyun <n> <D_CA> <n> <3s>
boyunca	boyun <n> <D_CA> <n> <3p>
boyunca	boyun <n> <ca>
boyunca	boy <n> <p2s> <ca>
boyunca	boy <n> <p3s> <ca>
konuşmadan	konuşma <adj> <Djn_0> <n> <abl> <3s>
konuşmadan	konuşma <adj> <Djn_0> <n> <abl> <3p>
konuşmadan	konuş <v> <D_mA> <n> <abl>
konuşmadan	konuş <v> <D_mA> <n> <abl> <3s>
konuşmadan	konuş <v> <D_mA> <n> <abl> <3p>
konuşmadan	konuş <v> <neg> <cv_dan>
konuşmadan	konuş <v> <vn_ma> <abl>
konuşmadan	konuş <v> <vn_ma> <abl> <3s>
konuşmadan	konuş <v> <vn_ma> <abl> <3p>
puf	puf <n> <3s>
puf	puf <n> <3p>
puf	puf <n> <3s>
puf	puf <n> <3p>
içti,	iç <adj> <Djn_0> <n> <cpl_di> <3p>
içti,	iç <adj> <Djn_0> <n> <3p> <cpl_di>
içti,	iç <n> <cpl_di> <3s>
içti,	iç <n> <cpl_di> <3p>
içti,	iç <n> <3p> <cpl_di>
içti,	iç <v> <t_past> <3s>
içti,	iç <v> <t_past> <3p>
ama	ama <n> <3s>
ama	ama <n> <3p>
ama	ama <cnjcoo>
ama	ama <cnjadv>
en	en <adv> <Dan_0> <n>
en	en <adv> <Dan_0> <n> <3s>
en	en <adv> <Dan_0> <n> <3p>
en	en <n>
en	en <n> <3s>
en	en <n> <3p>
sonunda	sonunda <adv> <Dan_0> <n>
sonunda	sonunda <adv> <Dan_0> <n> <3s>
sonunda	sonunda <adv> <Dan_0> <n> <3p>
sonunda	son <adj> <Djn_0> <n> <p2s> <loc>
sonunda	son <adj> <Djn_0> <n> <p2s> <loc> <3s>
sonunda	son <adj> <Djn_0> <n> <p2s> <loc> <3p>
sonunda	son <adj> <Djn_0> <n> <p3s> <loc>
sonunda	son <adj> <Djn_0> <n> <p3s> <loc> <3s>
sonunda	son <adj> <Djn_0> <n> <p3s> <loc> <3p>
sonunda	son <n> <p2s> <loc>
sonunda	son <n> <p2s> <loc> <3s>
sonunda	son <n> <p2s> <loc> <3p>
sonunda	son <n> <p3s> <loc>
sonunda	son <n> <p3s> <loc> <3s>
sonunda	son <n> <p3s> <loc> <3p>
kollarını	kol <n> <pl> <p2s> <acc> <3s>
kollarını	kol <n> <pl> <p2s> <acc> <3p>
kollarını	kol <n> <pl> <p3s> <acc>
kollarını	kol <n> <pl> <p3s> <acc> <3s>
kollarını	kol <n> <pl> <p3s> <acc> <3p>
kollarını	kol <n> <p3p> <acc>
kollarını	kol <n> <p3p> <acc> <3s>
kollarını	kol <n> <p3p> <acc> <3p>
açtı,	aç <n> <cpl_di> <3p>
açtı,	aç <n> <3p> <cpl_di>
açtı,	aç <v> <t_past> <3s>
açtı,	aç <v> <t_past> <3p>
nargileyi	nargile <n> <acc> <3s>
nargileyi	nargile <n> <acc> <3p>
ağzından	ağız <n> <p2s> <abl> <3s>
ağzından	ağız <n> <p2s> <abl> <3p>
ağzından	ağız <n> <p3s> <abl>
ağzından	ağız <n> <p3s> <abl> <3s>
ağzından	ağız <n> <p3s> <abl> <3p>
tekrar	tekrar <adv> <Dan_0> <n>
tekrar	tekrar <adv> <Dan_0> <n> <3s>
tekrar	tekrar <adv> <Dan_0> <n> <3p>
tekrar	tekrar <n>
tekrar	tekrar <n> <3s>
tekrar	tekrar <n> <3p>
çıkardı,	çıkar <n> <cpl_di> <3p>
çıkardı,	çıkar <n> <3p> <cpl_di>
çıkardı,	çıkar <v> <t_past> <3s>
çıkardı,	çıkar <v> <t_past> <3p>
çıkardı,	çık <v> <t_aor> <cpl_di> <3s>
çıkardı,	çık <v> <t_aor> <cpl_di> <3p>
çıkardı,	çık <v> <t_aor> <3p> <cpl_di>
ve	ve <cnjadv>
dedi	de <v> <t_past> <3p>
ki,	ki <cnjadv>
"Demek	de <v> <vn_mak>
"Demek	de <v> <vn_mak> <3s>
"Demek	de <v> <vn_mak> <3p>
"Demek	de <v> <vinf>
"Demek	de <v> <cv_mak>
değiştiğini	değiş <v> <part_dik> <p2s> <acc> <3s>
değiştiğini	değiş <v> <part_dik> <p2s> <acc> <3p>
değiştiğini	değiş <v> <part_dik> <p3s> <acc>
değiştiğini	değiş <v> <part_dik> <p3s> <acc> <3s>
değiştiğini	değiş <v> <part_dik> <p3s> <acc> <3p>
değiştiğini	değiş <v> <cv_dik> <p3s> <acc>
düşünüyorsun,	<unk>
öyle	öyle <adj> <Djn_0> <n>
öyle	öyle <adj> <Djn_0> <n> <3s>
öyle	öyle <adj> <Djn_0> <n> <3p>
öyle	öyle <adv>
öyle	öyle <adv> <Dan_0> <n>
öyle	öyle <adv> <Dan_0> <n> <3s>
öyle	öyle <adv> <Dan_0> <n> <3p>
öyle	öyle <ij>
mi?""	<unk>
""Korkarım	<unk>
öyleyim,	öyle <adv> <Dan_0> <n> <1s>
efendim,"	efendi <n> <p1s> <3s>
efendim,"	efendi <n> <p1s> <3p>
efendim,"	efe <n> <p2s> <cpl_di> <1s>
dedi	de <v> <t_past> <3p>
Alice;	ali <n> <D_CA> <adj> <Djn_0> <n>
Alice;	ali <n> <D_CA> <adj> <Djn_0> <n> <3s>
Alice;	ali <n> <D_CA> <adj> <Djn_0> <n> <3p>
Alice;	ali <n> <D_CA> <adv>
Alice;	ali <n> <D_CA> <adv> <Dan_0> <n>
Alice;	ali <n> <D_CA> <adv> <Dan_0> <n> <3s>
Alice;	ali <n> <D_CA> <adv> <Dan_0> <n> <3p>
Alice;	ali <n> <D_CA> <n>
Alice;	ali <n> <D_CA> <n> <3s>
Alice;	ali <n> <D_CA> <n> <3p>
"şeyleri	şey <n> <pl> <p3s> <3s>
"şeyleri	şey <n> <pl> <p3s> <3p>
"şeyleri	şey <n> <pl> <acc>
"şeyleri	şey <n> <pl> <acc> <3s>
"şeyleri	şey <n> <pl> <acc> <3p>
"şeyleri	şey <n> <p3p>
"şeyleri	şey <n> <p3p> <3s>
"şeyleri	şey <n> <p3p> <3p>
eskiden	eskiden <adv> <Dan_0> <n>
eskiden	eskiden <adv> <Dan_0> <n> <3s>
eskiden	eskiden <adv> <Dan_0> <n> <3p>
eskiden	eski <adj> <Djn_0> <n> <abl>
eskiden	eski <adj> <Djn_0> <n> <abl> <3s>
eskiden	eski <adj> <Djn_0> <n> <abl> <3p>
eskiden	eski <v> <cv_dan>
olduğu	ol <v> <vn_dik> <p3s> <3s>
olduğu	ol <v> <vn_dik> <p3s> <3p>
olduğu	ol <v> <vn_dik> <acc>
olduğu	ol <v> <vn_dik> <acc> <3s>
olduğu	ol <v> <vn_dik> <acc> <3p>
olduğu	ol <v> <part_dik> <p3s>
olduğu	ol <v> <part_dik> <p3s> <3s>
olduğu	ol <v> <part_dik> <p3s> <3p>
olduğu	ol <v> <part_dik> <acc>
olduğu	ol <v> <part_dik> <acc> <3s>
olduğu	ol <v> <part_dik> <acc> <3p>
olduğu	ol <v> <cv_dik> <p3s>
gibi	gibi <cnjsub>
hatırlayamıyorum-ve	<unk>
on	on <n> <3s>
on	on <n> <3p>
on	on <v> <t_imp> <2s>
on	on <v> <t_imp> <3p>
on	on <num>
on	on <num> <Dmn_0> <n>
on	on <num> <Dmn_0> <n> <3s>
on	on <num> <Dmn_0> <n> <3p>
dakika	dakika <n> <3s>
dakika	dakika <n> <3p>
boyunca	boyun <n> <D_CA> <adj>
boyunca	boyun <n> <D_CA> <adj> <Djn_0> <n>
boyunca	boyun <n> <D_CA> <adj> <Djn_0> <n> <3s>
boyunca	boyun <n> <D_CA> <adj> <Djn_0> <n> <3p>
boyunca	boyun <n> <D_CA> <adv>
boyunca	boyun <n> <D_CA> <adv> <Dan_0> <n>
boyunca	boyun <n> <D_CA> <adv> <Dan_0> <n> <3s>
boyunca	boyun <n> <D_CA> <adv> <Dan_0> <n> <3p>
boyunca	boyun <n> <D_CA> <n>
boyunca	boyun <n> <D_CA> <n> <3s>
boyunca	boyun <n> <D_CA> <n> <3p>
boyunca	boyun <n> <ca>
boyunca	boy <n> <p2s> <ca>
boyunca	boy <n> <p3s> <ca>
birlikte	birlikte <adv> <Dan_0> <n>
birlikte	birlikte <adv> <Dan_0> <n> <3s>
birlikte	birlikte <adv> <Dan_0> <n> <3p>
birlikte	birlikte <n>
birlikte	birlikte <n> <3s>
birlikte	birlikte <n> <3p>
birlikte	birlikte <postp>
birlikte	birlik <n> <loc>
birlikte	birlik <n> <loc> <3s>
birlikte	birlik <n> <loc> <3p>
birlikte	bir <adj> <D_lIK> <n> <loc>
birlikte	bir <adj> <D_lIK> <n> <loc> <3s>
birlikte	bir <adj> <D_lIK> <n> <loc> <3p>
birlikte	bir <adj> <Djn_0> <n> <D_lIK> <n> <loc>
birlikte	bir <adj> <Djn_0> <n> <D_lIK> <n> <loc> <3s>
birlikte	bir <adj> <Djn_0> <n> <D_lIK> <n> <loc> <3p>
birlikte	bir <num> <Dmn_0> <n> <D_lIK> <n> <loc>
birlikte	bir <num> <Dmn_0> <n> <D_lIK> <n> <loc> <3s>
birlikte	bir <num> <Dmn_0> <n> <D_lIK> <n> <loc> <3p>
aynı	aynı <adj> <Djn_0> <n>
aynı	aynı <adj> <Djn_0> <n> <3s>
aynı	aynı <adj> <Djn_0> <n> <3p>
aynı	aynı <det>
aynı	ayn <n> <p3s>
aynı	ayn <n> <p3s> <3s>
aynı	ayn <n> <p3s> <3p>
aynı	ayn <n> <acc>
aynı	ayn <n> <acc> <3s>
aynı	ayn <n> <acc> <3p>
boyutu	boyut <n> <p3s> <3s>
boyutu	boyut <n> <p3s> <3p>
boyutu	boyut <n> <acc>
boyutu	boyut <n> <acc> <3s>
boyutu	boyut <n> <acc> <3p>
korumuyorum!""	<unk>
"Hangi	hangi <n> <3s>
"Hangi	hangi <n> <3p>
"Hangi	hangi <prn> <qst>
"Hangi	hangi <prn> <qst> <3s>
"Hangi	hangi <prn> <qst> <3p>
şeyleri	şey <n> <pl> <p3s> <3s>
şeyleri	şey <n> <pl> <p3s> <3p>
şeyleri	şey <n> <pl> <acc>
şeyleri	şey <n> <pl> <acc> <3s>
şeyleri	şey <n> <pl> <acc> <3p>
şeyleri	şey <n> <p3p>
şeyleri	şey <n> <p3p> <3s>
şeyleri	şey <n> <p3p> <3p>
hatırlayamıyorsun?"	hatır <n> <D_lA> <v> <abil> <neg> <t_cont> <2s>
dedi	de <v> <t_past> <3p>
Tırtıl.	tırtıl <n> <3s>
Tırtıl.	tırtıl <n> <3p>
</S> </S>+ESTag
<S> <S>+BSTag
""Pekâlâ,	<unk>
"Nasıl	nasıl <adv> <Dan_0> <n>
"Nasıl	nasıl <adv> <Dan_0> <n> <3s>
"Nasıl	nasıl <adv> <Dan_0> <n> <3p>
yapar	yap <v> <t_aor> <3p>
küçük	küçük <adj> <Djn_0> <n>
küçük	küçük <adj> <Djn_0> <n> <3s>
küçük	küçük <adj> <Djn_0> <n> <3p>
küçük	küçük <n>
küçük	küçük <n> <3s>
küçük	küçük <n> <3p>
meşgul	meşgul <n> <3s>
meşgul	meşgul <n> <3p>
arı,"	arı <n> <3s>
arı,"	arı <n> <3p>
arı,"	ar <n> <p3s>
arı,"	ar <n> <p3s> <3s>
arı,"	ar <n> <p3s> <3p>
arı,"	ar <n> <acc>
arı,"	ar <n> <acc> <3s>
arı,"	ar <n> <acc> <3p>
demeyi	de <v> <D_mA> <n> <acc> <3s>
demeyi	de <v> <D_mA> <n> <acc> <3p>
demeyi	de <v> <vn_ma> <acc>
demeyi	de <v> <vn_ma> <acc> <3s>
demeyi	de <v> <vn_ma> <acc> <3p>
demeyi	de <v> <vn_mak> <acc>
demeyi	de <v> <vn_mak> <acc> <3s>
demeyi	de <v> <vn_mak> <acc> <3p>
demeyi	de <v> <vinf> <p3s>
demeyi	de <v> <vinf> <acc>
denedim,	<unk>
ama	ama <n> <3s>
ama	ama <n> <3p>
ama	ama <cnjcoo>
ama	ama <cnjadv>
hepsi	hepsi <prn> <3s>
hepsi	hepsi <prn> <3p>
farklı	fark <n> <D_lI> <adj> <Djn_0> <n>
farklı	fark <n> <D_lI> <adj> <Djn_0> <n> <3s>
farklı	fark <n> <D_lI> <adj> <Djn_0> <n> <3p>
farklı	fark <n> <D_lI> <n>
