<S> <S>+BSTag
"Her	<unk>
zamanki	<unk>
gibi	gibi <cnjsub>
ıslak,"	ıslak <adj> <Djn_0> <n>
ciddiyetle,	ciddiyet <n> <ins> <3p>
ayağa	ayak <n> <dat> <3s>
ayağa	ayak <n> <dat> <3p>
kalkarak,	<unk>
"daha	daha <adv> <Dan_0> <n>
"daha	daha <adv> <Dan_0> <n> <3s>
"daha	daha <adv> <Dan_0> <n> <3p>
"daha	daha <n>
"daha	daha <n> <3s>
"daha	daha <n> <3p>
enerjik	enerjik <n> <3s>
enerjik	enerjik <n> <3p>
çözümlerin	çözüm <n> <pl> <p2s> <3s>
çözümlerin	çözüm <n> <pl> <p2s> <3p>
çözümlerin	çözüm <n> <pl> <gen>
çözümlerin	çözüm <n> <pl> <gen> <3s>
çözümlerin	çözüm <n> <pl> <gen> <3p>
derhal	derhal <adv> <Dan_0> <n>
derhal	derhal <adv> <Dan_0> <n> <3s>
derhal	derhal <adv> <Dan_0> <n> <3p>
benimsenmesi	benimse <v> <pass> <vn_ma> <p3s> <3s>
benimsenmesi	benimse <v> <pass> <vn_ma> <p3s> <3p>
benimsenmesi	benimse <v> <pass> <cv_ma> <p3s>
için	için <cnjcoo>
için	iç <adj> <Djn_0> <n> <p2s>
için	iç <adj> <Djn_0> <n> <p2s> <3s>
için	iç <adj> <Djn_0> <n> <p2s> <3p>
için	iç <adj> <Djn_0> <n> <gen>
için	iç <adj> <Djn_0> <n> <gen> <3s>
için	iç <adj> <Djn_0> <n> <gen> <3p>
için	iç <n> <p2s>
için	iç <n> <p2s> <3s>
için	iç <n> <p2s> <3p>
için	iç <n> <gen>
için	iç <n> <gen> <3s>
için	iç <n> <gen> <3p>
için	iç <v> <t_imp> <2p>
toplantının	toplantı <n> <p2s> <gen> <3s>
toplantının	toplantı <n> <p2s> <gen> <3p>
toplantının	toplantı <n> <gen>
toplantının	toplantı <n> <gen> <3s>
toplantının	toplantı <n> <gen> <3p>
ertelenmesini	ertelenme <n> <p3s> <acc> <3s>
ertelenmesini	ertelenme <n> <p3s> <acc> <3p>
ertelenmesini	ertele <v> <pass> <vn_ma> <p3s> <acc>
ertelenmesini	ertele <v> <pass> <vn_ma> <p3s> <acc> <3s>
ertelenmesini	ertele <v> <pass> <vn_ma> <p3s> <acc> <3p>
ertelenmesini	erte <n> <D_lAn> <v> <D_mA> <n> <p3s> <acc>
ertelenmesini	erte <n> <D_lAn> <v> <D_mA> <n> <p3s> <acc> <3s>
ertelenmesini	erte <n> <D_lAn> <v> <D_mA> <n> <p3s> <acc> <3p>
ertelenmesini	erte <n> <D_lAn> <v> <vn_ma> <p3s> <acc>
ertelenmesini	erte <n> <D_lAn> <v> <vn_ma> <p3s> <acc> <3s>
ertelenmesini	erte <n> <D_lAn> <v> <vn_ma> <p3s> <acc> <3p>
öneriyorum"	<unk>
"İngilizce	<unk>
konuş!"	konuş <v> <t_imp> <3p>
konuş!"	kon <v> <D_yIS> <n>
konuş!"	kon <v> <D_yIS> <n> <3s>
konuş!"	kon <v> <D_yIS> <n> <3p>
konuş!"	kon <v> <vn_yis>
konuş!"	kon <v> <vn_yis> <3s>
konuş!"	kon <v> <vn_yis> <3p>
dedi	de <v> <t_past> <3p>
Eaglet.	<unk>
</S> </S>+ESTag
<S> <S>+BSTag
"O	o <prn> <pers> <3s>
"O	o <prn> <pers> <3p>
"O	o <ij>
"O	o <det>
uzun	uzun <adj> <Djn_0> <n>
uzun	uzun <adj> <Djn_0> <n> <3s>
uzun	uzun <adj> <Djn_0> <n> <3p>
uzun	uz <n> <p2s>
uzun	uz <n> <p2s> <3s>
uzun	uz <n> <p2s> <3p>
uzun	uz <n> <gen>
uzun	uz <n> <gen> <3s>
uzun	uz <n> <gen> <3p>
sözlerin	söz <n> <pl> <p2s> <3s>
sözlerin	söz <n> <pl> <p2s> <3p>
sözlerin	söz <n> <pl> <gen>
sözlerin	söz <n> <pl> <gen> <3s>
sözlerin	söz <n> <pl> <gen> <3p>
yarısının	yarı <adj> <Djn_0> <n> <p3s> <gen> <3s>
yarısının	yarı <adj> <Djn_0> <n> <p3s> <gen> <3p>
yarısının	yarı <n> <p3s> <gen>
yarısının	yarı <n> <p3s> <gen> <3s>
yarısının	yarı <n> <p3s> <gen> <3p>
anlamını	anlam <n> <p2s> <acc> <3s>
anlamını	anlam <n> <p2s> <acc> <3p>
anlamını	anlam <n> <p3s> <acc>
anlamını	anlam <n> <p3s> <acc> <3s>
anlamını	anlam <n> <p3s> <acc> <3p>
bilmiyorum	<unk>
ve	ve <cnjadv>
dahası,	daha <adv> <Dan_0> <n> <p3s>
dahası,	daha <adv> <Dan_0> <n> <p3s> <3s>
dahası,	daha <adv> <Dan_0> <n> <p3s> <3p>
dahası,	daha <n> <p3s>
dahası,	daha <n> <p3s> <3s>
dahası,	daha <n> <p3s> <3p>
senin	sen <prn> <pers> <p2s> <3s>
senin	sen <prn> <pers> <p2s> <3p>
senin	sen <prn> <pers> <gen>
senin	sen <prn> <pers> <gen> <3s>
senin	sen <prn> <pers> <gen> <3p>
de	de <v> <t_imp> <2s>
de	de <v> <t_imp> <3p>
anladığına	anla <v> <vn_dik> <p2s> <dat> <3s>
anladığına	anla <v> <vn_dik> <p2s> <dat> <3p>
anladığına	anla <v> <vn_dik> <p3s> <dat>
anladığına	anla <v> <vn_dik> <p3s> <dat> <3s>
anladığına	anla <v> <vn_dik> <p3s> <dat> <3p>
anladığına	anla <v> <part_dik> <p2s> <dat>
anladığına	anla <v> <part_dik> <p2s> <dat> <3s>
anladığına	anla <v> <part_dik> <p2s> <dat> <3p>
anladığına	anla <v> <part_dik> <p3s> <dat>
anladığına	anla <v> <part_dik> <p3s> <dat> <3s>
anladığına	anla <v> <part_dik> <p3s> <dat> <3p>
anladığına	anla <v> <cv_dik> <p3s> <dat>
anladığına	an <n> <D_lA> <v> <vn_dik> <p2s> <dat>
anladığına	an <n> <D_lA> <v> <vn_dik> <p2s> <dat> <3s>
anladığına	an <n> <D_lA> <v> <vn_dik> <p2s> <dat> <3p>
anladığına	an <n> <D_lA> <v> <vn_dik> <p3s> <dat>
anladığına	an <n> <D_lA> <v> <vn_dik> <p3s> <dat> <3s>
anladığına	an <n> <D_lA> <v> <vn_dik> <p3s> <dat> <3p>
anladığına	an <n> <D_lA> <v> <part_dik> <p2s> <dat>
anladığına	an <n> <D_lA> <v> <part_dik> <p2s> <dat> <3s>
anladığına	an <n> <D_lA> <v> <part_dik> <p2s> <dat> <3p>
anladığına	an <n> <D_lA> <v> <part_dik> <p3s> <dat>
anladığına	an <n> <D_lA> <v> <part_dik> <p3s> <dat> <3s>
anladığına	an <n> <D_lA> <v> <part_dik> <p3s> <dat> <3p>
anladığına	an <n> <D_lA> <v> <cv_dik> <p3s> <dat>
inanmıyorum!"	<unk>
Ve	ve <cnjadv>
Eaglet	<unk>
gülümsemesini	gülümse <v> <D_mA> <n> <p3s> <acc> <3s>
gülümsemesini	gülümse <v> <D_mA> <n> <p3s> <acc> <3p>
gülümsemesini	gülümse <v> <vn_ma> <p3s> <acc>
gülümsemesini	gülümse <v> <vn_ma> <p3s> <acc> <3s>
gülümsemesini	gülümse <v> <vn_ma> <p3s> <acc> <3p>
gizlemek	gizle <v> <vn_mak> <3s>
gizlemek	gizle <v> <vn_mak> <3p>
gizlemek	gizle <v> <vinf>
gizlemek	gizle <v> <cv_mak>
gizlemek	giz <n> <D_lA> <v> <vn_mak>
gizlemek	giz <n> <D_lA> <v> <vn_mak> <3s>
gizlemek	giz <n> <D_lA> <v> <vn_mak> <3p>
gizlemek	giz <n> <D_lA> <v> <vinf>
gizlemek	giz <n> <D_lA> <v> <cv_mak>
için	için <cnjcoo>
için	iç <adj> <Djn_0> <n> <p2s>
için	iç <adj> <Djn_0> <n> <p2s> <3s>
için	iç <adj> <Djn_0> <n> <p2s> <3p>
için	iç <adj> <Djn_0> <n> <gen>
için	iç <adj> <Djn_0> <n> <gen> <3s>
için	iç <adj> <Djn_0> <n> <gen> <3p>
için	iç <n> <p2s>
için	iç <n> <p2s> <3s>
için	iç <n> <p2s> <3p>
için	iç <n> <gen>
için	iç <n> <gen> <3s>
için	iç <n> <gen> <3p>
için	iç <v> <t_imp> <2p>
başını	baş <n> <p2s> <acc> <3s>
başını	baş <n> <p2s> <acc> <3p>
başını	baş <n> <p3s> <acc>
başını	baş <n> <p3s> <acc> <3s>
başını	baş <n> <p3s> <acc> <3p>
eğdi:	eğ <v> <t_past> <3p>
diğer	diğer <adj> <Djn_0> <n>
diğer	diğer <adj> <Djn_0> <n> <3s>
diğer	diğer <adj> <Djn_0> <n> <3p>
diğer	diğer <det>
kuşlardan	kuş <n> <pl> <abl> <3s>
kuşlardan	kuş <n> <pl> <abl> <3p>
bazıları	bazı <adj> <Djn_0> <n> <pl> <p3s> <3s>
bazıları	bazı <adj> <Djn_0> <n> <pl> <p3s> <3p>
bazıları	bazı <adj> <Djn_0> <n> <pl> <acc>
bazıları	bazı <adj> <Djn_0> <n> <pl> <acc> <3s>
bazıları	bazı <adj> <Djn_0> <n> <pl> <acc> <3p>
bazıları	bazı <adj> <Djn_0> <n> <p3p>
bazıları	bazı <adj> <Djn_0> <n> <p3p> <3s>
bazıları	bazı <adj> <Djn_0> <n> <p3p> <3p>
duyulur	duy <v> <pass> <t_aor> <3p>
bir	bir <adj> <Djn_0> <n>
bir	bir <adj> <Djn_0> <n> <3s>
bir	bir <adj> <Djn_0> <n> <3p>
bir	bir <num>
bir	bir <num> <Dmn_0> <n>
bir	bir <num> <Dmn_0> <n> <3s>
bir	bir <num> <Dmn_0> <n> <3p>
bir	bir <det>
şekilde	şekil <n> <loc> <3s>
şekilde	şekil <n> <loc> <3p>
titredi.	titre <v> <t_past> <3p>
</S> </S>+ESTag
<S> <S>+BSTag
"Söyleyeceğim	söyle <v> <vn_acak> <1s>
"Söyleyeceğim	söyle <v> <vn_acak> <p1s>
"Söyleyeceğim	söyle <v> <vn_acak> <p1s> <3s>
"Söyleyeceğim	söyle <v> <vn_acak> <p1s> <3p>
"Söyleyeceğim	söyle <v> <part_acak> <1s>
"Söyleyeceğim	söyle <v> <part_acak> <p1s>
"Söyleyeceğim	söyle <v> <part_acak> <p1s> <3s>
"Söyleyeceğim	söyle <v> <part_acak> <p1s> <3p>
şey,"	şey <n> <3s>
şey,"	şey <n> <3p>
dedi	de <v> <t_past> <3p>
Dodo	<unk>
kırgın	kırgın <adj> <Djn_0> <n>
kırgın	kırgın <adj> <Djn_0> <n> <3s>
kırgın	kırgın <adj> <Djn_0> <n> <3p>
kırgın	kırgın <n>
kırgın	kırgın <n> <3s>
kırgın	kırgın <n> <3p>
bir	bir <adj> <Djn_0> <n>
bir	bir <adj> <Djn_0> <n> <3s>
bir	bir <adj> <Djn_0> <n> <3p>
bir	bir <num>
bir	bir <num> <Dmn_0> <n>
bir	bir <num> <Dmn_0> <n> <3s>
bir	bir <num> <Dmn_0> <n> <3p>
bir	bir <det>
tonla,	ton <n> <D_lA> <v> <t_imp> <3p>
tonla,	ton <n> <ins>
tonla,	ton <n> <ins> <3s>
tonla,	ton <n> <ins> <3p>
"bizi	biz <prn> <pers> <p3s> <3s>
"bizi	biz <prn> <pers> <p3s> <3p>
"bizi	biz <prn> <pers> <acc>
"bizi	biz <prn> <pers> <acc> <3s>
"bizi	biz <prn> <pers> <acc> <3p>
kurutmanın	kuru <v> <caus> <vn_ma> <p2s> <gen> <3s>
kurutmanın	kuru <v> <caus> <vn_ma> <p2s> <gen> <3p>
kurutmanın	kuru <v> <caus> <vn_ma> <gen>
kurutmanın	kuru <v> <caus> <vn_ma> <gen> <3s>
kurutmanın	kuru <v> <caus> <vn_ma> <gen> <3p>
en	en <adv> <Dan_0> <n>
en	en <adv> <Dan_0> <n> <3s>
en	en <adv> <Dan_0> <n> <3p>
en	en <n>
en	en <n> <3s>
en	en <n> <3p>
iyi	iyi <adj> <Djn_0> <n>
iyi	iyi <adj> <Djn_0> <n> <3s>
iyi	iyi <adj> <Djn_0> <n> <3p>
iyi	iyi <adv>
iyi	iyi <adv> <Dan_0> <n>
iyi	iyi <adv> <Dan_0> <n> <3s>
iyi	iyi <adv> <Dan_0> <n> <3p>
yolu	yol <n> <p3s> <3s>
yolu	yol <n> <p3s> <3p>
yolu	yol <n> <acc>
yolu	yol <n> <acc> <3s>
yolu	yol <n> <acc> <3p>
bir	bir <adj> <Djn_0> <n>
bir	bir <adj> <Djn_0> <n> <3s>
bir	bir <adj> <Djn_0> <n> <3p>
bir	bir <num>
bir	bir <num> <Dmn_0> <n>
bir	bir <num> <Dmn_0> <n> <3s>
bir	bir <num> <Dmn_0> <n> <3p>
bir	bir <det>
Caucus	<unk>
yarışı	yarış <n> <p3s> <3s>
yarışı	yarış <n> <p3s> <3p>
yarışı	yarış <n> <acc>
yarışı	yarış <n> <acc> <3s>
yarışı	yarış <n> <acc> <3p>
yarışı	yar <v> <D_yIS> <n> <p3s>
yarışı	yar <v> <D_yIS> <n> <p3s> <3s>
yarışı	yar <v> <D_yIS> <n> <p3s> <3p>
yarışı	yar <v> <D_yIS> <n> <acc>
yarışı	yar <v> <D_yIS> <n> <acc> <3s>
yarışı	yar <v> <D_yIS> <n> <acc> <3p>
yarışı	yar <v> <vn_yis> <p3s>
yarışı	yar <v> <vn_yis> <p3s> <3s>
yarışı	yar <v> <vn_yis> <p3s> <3p>
yarışı	yar <v> <vn_yis> <acc>
yarışı	yar <v> <vn_yis> <acc> <3s>
yarışı	yar <v> <vn_yis> <acc> <3p>
olurdu."	olur <n> <cpl_di> <3p>
olurdu."	olur <n> <3p> <cpl_di>
olurdu."	ol <v> <t_aor> <cpl_di> <3s>
olurdu."	ol <v> <t_aor> <cpl_di> <3p>
olurdu."	ol <v> <t_aor> <3p> <cpl_di>
"Caucus	<unk>
yarışı	yarış <n> <p3s> <3s>
yarışı	yarış <n> <p3s> <3p>
yarışı	yarış <n> <acc>
yarışı	yarış <n> <acc> <3s>
yarışı	yarış <n> <acc> <3p>
yarışı	yar <v> <D_yIS> <n> <p3s>
yarışı	yar <v> <D_yIS> <n> <p3s> <3s>
yarışı	yar <v> <D_yIS> <n> <p3s> <3p>
yarışı	yar <v> <D_yIS> <n> <acc>
yarışı	yar <v> <D_yIS> <n> <acc> <3s>
yarışı	yar <v> <D_yIS> <n> <acc> <3p>
yarışı	yar <v> <vn_yis> <p3s>
yarışı	yar <v> <vn_yis> <p3s> <3s>
yarışı	yar <v> <vn_yis> <p3s> <3p>
yarışı	yar <v> <vn_yis> <acc>
yarışı	yar <v> <vn_yis> <acc> <3s>
yarışı	yar <v> <vn_yis> <acc> <3p>
nedir?"	ne <prn> <qst> <3p> <dir>
nedir?"	ne <prn> <qst> <dir> <3p>
dedi	de <v> <t_past> <3p>
Alice;	ali <n> <D_CA> <adj> <Djn_0> <n>
Alice;	ali <n> <D_CA> <adj> <Djn_0> <n> <3s>
Alice;	ali <n> <D_CA> <adj> <Djn_0> <n> <3p>
Alice;	ali <n> <D_CA> <adv>
Alice;	ali <n> <D_CA> <adv> <Dan_0> <n>
Alice;	ali <n> <D_CA> <adv> <Dan_0> <n> <3s>
Alice;	ali <n> <D_CA> <adv> <Dan_0> <n> <3p>
Alice;	ali <n> <D_CA> <n>
Alice;	ali <n> <D_CA> <n> <3s>
Alice;	ali <n> <D_CA> <n> <3p>
pek	pek <adj> <Djn_0> <n>
pek	pek <adj> <Djn_0> <n> <3s>
pek	pek <adj> <Djn_0> <n> <3p>
pek	pek <adv>
pek	pek <adv> <Dan_0> <n>
pek	pek <adv> <Dan_0> <n> <3s>
pek	pek <adv> <Dan_0> <n> <3p>
fazla	fazla <adj> <Djn_0> <n>
fazla	fazla <adj> <Djn_0> <n> <3s>
fazla	fazla <adj> <Djn_0> <n> <3p>
fazla	fazla <adv>
fazla	fazla <adv> <Dan_0> <n>
fazla	fazla <adv> <Dan_0> <n> <3s>
fazla	fazla <adv> <Dan_0> <n> <3p>
fazla	fazla <det>
fazla	faz <n> <D_lA> <v> <t_imp> <2s>
fazla	faz <n> <D_lA> <v> <t_imp> <3p>
fazla	faz <n> <ins>
fazla	faz <n> <ins> <3s>
fazla	faz <n> <ins> <3p>
bilmek	bil <v> <vn_mak> <3s>
bilmek	bil <v> <vn_mak> <3p>
bilmek	bil <v> <vinf>
bilmek	bil <v> <cv_mak>
istemediğinden	iste <v> <neg> <vn_dik> <p2s> <abl> <3s>
istemediğinden	iste <v> <neg> <vn_dik> <p2s> <abl> <3p>
istemediğinden	iste <v> <neg> <vn_dik> <p3s> <abl>
istemediğinden	iste <v> <neg> <vn_dik> <p3s> <abl> <3s>
istemediğinden	iste <v> <neg> <vn_dik> <p3s> <abl> <3p>
istemediğinden	iste <v> <neg> <part_dik> <p2s> <abl>
istemediğinden	iste <v> <neg> <part_dik> <p2s> <abl> <3s>
istemediğinden	iste <v> <neg> <part_dik> <p2s> <abl> <3p>
istemediğinden	iste <v> <neg> <part_dik> <p3s> <abl>
istemediğinden	iste <v> <neg> <part_dik> <p3s> <abl> <3s>
istemediğinden	iste <v> <neg> <part_dik> <p3s> <abl> <3p>
istemediğinden	iste <v> <neg> <cv_dik> <p3s> <abl>
değil,	değil <not> <3p>
değil,	değ <v> <pass> <t_imp> <2s>
değil,	değ <v> <pass> <t_imp> <3p>
ama	ama <n> <3s>
ama	ama <n> <3p>
ama	ama <cnjcoo>
ama	ama <cnjadv>
Dodo	<unk>
sanki	sanki <adv> <Dan_0> <n>
sanki	sanki <adv> <Dan_0> <n> <3s>
sanki	sanki <adv> <Dan_0> <n> <3p>
birinin	biri <n> <p2s> <gen> <3s>
birinin	biri <n> <p2s> <gen> <3p>
birinin	biri <n> <gen>
birinin	biri <n> <gen> <3s>
birinin	biri <n> <gen> <3p>
birinin	bir <adj> <Djn_0> <n> <p2s> <gen>
birinin	bir <adj> <Djn_0> <n> <p2s> <gen> <3s>
birinin	bir <adj> <Djn_0> <n> <p2s> <gen> <3p>
birinin	bir <adj> <Djn_0> <n> <p3s> <gen>
birinin	bir <adj> <Djn_0> <n> <p3s> <gen> <3s>
birinin	bir <adj> <Djn_0> <n> <p3s> <gen> <3p>
birinin	bir <num> <Dmn_0> <n> <p2s> <gen>
birinin	bir <num> <Dmn_0> <n> <p2s> <gen> <3s>
birinin	bir <num> <Dmn_0> <n> <p2s> <gen> <3p>
birinin	bir <num> <Dmn_0> <n> <p3s> <gen>
birinin	bir <num> <Dmn_0> <n> <p3s> <gen> <3s>
birinin	bir <num> <Dmn_0> <n> <p3s> <gen> <3p>
konuşması	konuşma <adj> <Djn_0> <n> <p3s> <3s>
konuşması	konuşma <adj> <Djn_0> <n> <p3s> <3p>
konuşması	konuş <v> <D_mA> <n> <p3s>
konuşması	konuş <v> <D_mA> <n> <p3s> <3s>
konuşması	konuş <v> <D_mA> <n> <p3s> <3p>
konuşması	konuş <v> <vn_ma> <p3s>
konuşması	konuş <v> <vn_ma> <p3s> <3s>
konuşması	konuş <v> <vn_ma> <p3s> <3p>
konuşması	konuş <v> <cv_ma> <p3s>
gerektiğini	gerek <v> <part_dik> <p2s> <acc> <3s>
gerektiğini	gerek <v> <part_dik> <p2s> <acc> <3p>
gerektiğini	gerek <v> <part_dik> <p3s> <acc>
gerektiğini	gerek <v> <part_dik> <p3s> <acc> <3s>
gerektiğini	gerek <v> <part_dik> <p3s> <acc> <3p>
gerektiğini	gerek <v> <cv_dik> <p3s> <acc>
düşünüyormuş	düşün <v> <t_cont> <cpl_mis> <3p>
düşünüyormuş	düşün <v> <t_cont> <3p> <cpl_mis>
gibi	gibi <cnjsub>
duraklamıştı	durakla <v> <t_narr> <cpl_di> <3p>
duraklamıştı	durakla <v> <t_narr> <3p> <cpl_di>
duraklamıştı	durak <n> <D_lA> <v> <t_narr> <cpl_di> <3s>
duraklamıştı	durak <n> <D_lA> <v> <t_narr> <cpl_di> <3p>
duraklamıştı	durak <n> <D_lA> <v> <t_narr> <3p> <cpl_di>
ve	ve <cnjadv>
başka	başka <adj> <Djn_0> <n>
başka	başka <adj> <Djn_0> <n> <3s>
başka	başka <adj> <Djn_0> <n> <3p>
başka	başka <postp>
kimse	kimse <prn> <3s>
kimse	kimse <prn> <3p>
kimse	kim <prn> <qst> <cpl_sa> <3s>
kimse	kim <prn> <qst> <cpl_sa> <3p>
kimse	kim <prn> <qst> <3p> <cpl_sa>
bir	bir <adj> <Djn_0> <n>
bir	bir <adj> <Djn_0> <n> <3s>
bir	bir <adj> <Djn_0> <n> <3p>
bir	bir <num>
bir	bir <num> <Dmn_0> <n>
bir	bir <num> <Dmn_0> <n> <3s>
bir	bir <num> <Dmn_0> <n> <3p>
bir	bir <det>
şey	şey <n> <3s>
şey	şey <n> <3p>
söylemeye	söyle <v> <D_mA> <n> <dat> <3s>
söylemeye	söyle <v> <D_mA> <n> <dat> <3p>
söylemeye	söyle <v> <neg> <t_opt> <3s>
söylemeye	söyle <v> <neg> <t_opt> <3p>
söylemeye	söyle <v> <vn_ma> <dat>
söylemeye	söyle <v> <vn_ma> <dat> <3s>
söylemeye	söyle <v> <vn_ma> <dat> <3p>
söylemeye	söyle <v> <vn_mak> <dat>
söylemeye	söyle <v> <vn_mak> <dat> <3s>
söylemeye	söyle <v> <vn_mak> <dat> <3p>
söylemeye	söyle <v> <vinf> <dat>
meyilli	meyil <n> <D_lI> <adj> <Djn_0> <n>
meyilli	meyil <n> <D_lI> <adj> <Djn_0> <n> <3s>
meyilli	meyil <n> <D_lI> <adj> <Djn_0> <n> <3p>
meyilli	meyil <n> <D_lI> <n>
meyilli	meyil <n> <D_lI> <n> <3s>
meyilli	meyil <n> <D_lI> <n> <3p>
görünmüyordu.	görün <v> <neg> <t_cont> <cpl_di> <3p>
görünmüyordu.	görün <v> <neg> <t_cont> <3p> <cpl_di>
</S> </S>+ESTag
<S> <S>+BSTag
"Neden,"	neden <adv> <Dan_0> <n>
"Neden,"	neden <adv> <Dan_0> <n> <3s>
"Neden,"	neden <adv> <Dan_0> <n> <3p>
"Neden,"	neden <n>
"Neden,"	neden <n> <3s>
"Neden,"	neden <n> <3p>
"Neden,"	ne <prn> <qst> <abl>
"Neden,"	ne <prn> <qst> <abl> <3s>
"Neden,"	ne <prn> <qst> <abl> <3p>
dedi	de <v> <t_past> <3p>
Dodo,	<unk>
"bunu	bun <n> <p3s> <3s>
"bunu	bun <n> <p3s> <3p>
"bunu	bun <n> <acc>
"bunu	bun <n> <acc> <3s>
"bunu	bun <n> <acc> <3p>
"bunu	bu <prn> <dem> <p3s>
"bunu	bu <prn> <dem> <p3s> <3s>
"bunu	bu <prn> <dem> <p3s> <3p>
"bunu	bu <prn> <dem> <acc>
"bunu	bu <prn> <dem> <acc> <3s>
"bunu	bu <prn> <dem> <acc> <3p>
açıklamanın	açıklama <n> <p2s> <gen> <3s>
açıklamanın	açıklama <n> <p2s> <gen> <3p>
açıklamanın	açıklama <n> <gen>
açıklamanın	açıklama <n> <gen> <3s>
açıklamanın	açıklama <n> <gen> <3p>
açıklamanın	açık <adj> <D_lA> <v> <D_mA> <n> <p2s> <gen>
açıklamanın	açık <adj> <D_lA> <v> <D_mA> <n> <p2s> <gen> <3s>
açıklamanın	açık <adj> <D_lA> <v> <D_mA> <n> <p2s> <gen> <3p>
açıklamanın	açık <adj> <D_lA> <v> <D_mA> <n> <gen>
açıklamanın	açık <adj> <D_lA> <v> <D_mA> <n> <gen> <3s>
açıklamanın	açık <adj> <D_lA> <v> <D_mA> <n> <gen> <3p>
açıklamanın	açık <adj> <D_lA> <v> <vn_ma> <p2s> <gen>
açıklamanın	açık <adj> <D_lA> <v> <vn_ma> <p2s> <gen> <3s>
açıklamanın	açık <adj> <D_lA> <v> <vn_ma> <p2s> <gen> <3p>
açıklamanın	açık <adj> <D_lA> <v> <vn_ma> <gen>
açıklamanın	açık <adj> <D_lA> <v> <vn_ma> <gen> <3s>
açıklamanın	açık <adj> <D_lA> <v> <vn_ma> <gen> <3p>
açıklamanın	açık <adj> <Djn_0> <n> <D_lA> <v> <D_mA> <n> <p2s> <gen>
açıklamanın	açık <adj> <Djn_0> <n> <D_lA> <v> <D_mA> <n> <p2s> <gen> <3s>
açıklamanın	açık <adj> <Djn_0> <n> <D_lA> <v> <D_mA> <n> <p2s> <gen> <3p>
açıklamanın	açık <adj> <Djn_0> <n> <D_lA> <v> <D_mA> <n> <gen>
açıklamanın	açık <adj> <Djn_0> <n> <D_lA> <v> <D_mA> <n> <gen> <3s>
açıklamanın	açık <adj> <Djn_0> <n> <D_lA> <v> <D_mA> <n> <gen> <3p>
açıklamanın	açık <adj> <Djn_0> <n> <D_lA> <v> <vn_ma> <p2s> <gen>
açıklamanın	açık <adj> <Djn_0> <n> <D_lA> <v> <vn_ma> <p2s> <gen> <3s>
açıklamanın	açık <adj> <Djn_0> <n> <D_lA> <v> <vn_ma> <p2s> <gen> <3p>
açıklamanın	açık <adj> <Djn_0> <n> <D_lA> <v> <vn_ma> <gen>
açıklamanın	açık <adj> <Djn_0> <n> <D_lA> <v> <vn_ma> <gen> <3s>
açıklamanın	açık <adj> <Djn_0> <n> <D_lA> <v> <vn_ma> <gen> <3p>
