<S> <S>+BSTag
"Ah!	ah <n> <3s>
"Ah!	ah <n> <3p>
yaşamak."	yaşa <v> <vn_mak> <3p>
yaşamak."	yaşa <v> <vinf>
yaşamak."	yaşa <v> <cv_mak>
"Öğrenmeyi	öğren <v> <D_mA> <n> <acc> <3s>
"Öğrenmeyi	öğren <v> <D_mA> <n> <acc> <3p>
"Öğrenmeyi	öğren <v> <vn_ma> <acc>
"Öğrenmeyi	öğren <v> <vn_ma> <acc> <3s>
"Öğrenmeyi	öğren <v> <vn_ma> <acc> <3p>
"Öğrenmeyi	öğren <v> <vn_mak> <acc>
"Öğrenmeyi	öğren <v> <vn_mak> <acc> <3s>
"Öğrenmeyi	öğren <v> <vn_mak> <acc> <3p>
"Öğrenmeyi	öğren <v> <vinf> <p3s>
"Öğrenmeyi	öğren <v> <vinf> <acc>
göze	göze <n> <3s>
göze	göze <n> <3p>
göze	göze <v> <t_imp> <2s>
göze	göze <v> <t_imp> <3p>
göze	göz <n> <dat>
göze	göz <n> <dat> <3s>
göze	göz <n> <dat> <3p>
alamadım."	<unk>
dedi	de <v> <t_past> <3p>
Sahte	sahte <adj> <Djn_0> <n>
Sahte	sahte <adj> <Djn_0> <n> <3s>
Sahte	sahte <adj> <Djn_0> <n> <3p>
Kaplumbağa	kaplumbağa <n> <3s>
Kaplumbağa	kaplumbağa <n> <3p>
iç	iç <adj> <Djn_0> <n>
iç	iç <adj> <Djn_0> <n> <3s>
iç	iç <adj> <Djn_0> <n> <3p>
iç	iç <n>
iç	iç <n> <3s>
iç	iç <n> <3p>
iç	iç <v> <t_imp> <2s>
iç	iç <v> <t_imp> <3p>
çekerek.	<unk>
</S> </S>+ESTag
<S> <S>+BSTag
"Sadece	sadece <adv> <Dan_0> <n>
"Sadece	sadece <adv> <Dan_0> <n> <3s>
"Sadece	sadece <adv> <Dan_0> <n> <3p>
"Sadece	sadece <n>
"Sadece	sadece <n> <3s>
"Sadece	sadece <n> <3p>
"Sadece	sade <n> <D_CA> <adj>
"Sadece	sade <n> <D_CA> <adj> <Djn_0> <n>
"Sadece	sade <n> <D_CA> <adj> <Djn_0> <n> <3s>
"Sadece	sade <n> <D_CA> <adj> <Djn_0> <n> <3p>
"Sadece	sade <n> <D_CA> <adv>
"Sadece	sade <n> <D_CA> <adv> <Dan_0> <n>
"Sadece	sade <n> <D_CA> <adv> <Dan_0> <n> <3s>
"Sadece	sade <n> <D_CA> <adv> <Dan_0> <n> <3p>
"Sadece	sade <n> <D_CA> <n>
"Sadece	sade <n> <D_CA> <n> <3s>
"Sadece	sade <n> <D_CA> <n> <3p>
normal	normal <adj> <Djn_0> <n>
normal	normal <adj> <Djn_0> <n> <3s>
normal	normal <adj> <Djn_0> <n> <3p>
normal	normal <n>
normal	normal <n> <3s>
normal	normal <n> <3p>
dersi	ders <n> <p3s> <3s>
dersi	ders <n> <p3s> <3p>
dersi	ders <n> <acc>
dersi	ders <n> <acc> <3s>
dersi	ders <n> <acc> <3p>
aldım."	al <n> <cpl_di> <1s>
aldım."	al <v> <t_past> <1s>
"Neydi	ney <n> <cpl_di> <3p>
"Neydi	ney <n> <3p> <cpl_di>
"Neydi	ne <prn> <qst> <cpl_di> <3s>
"Neydi	ne <prn> <qst> <cpl_di> <3p>
"Neydi	ne <prn> <qst> <3p> <cpl_di>
o?"	o <prn> <pers> <3s>
o?"	o <prn> <pers> <3p>
o?"	o <ij>
o?"	o <det>
diye	de <v> <t_opt> <3p>
diye	diye <cnjsub>
sordu	sor <v> <t_past> <3p>
Alice.	ali <n> <D_CA> <adj> <Djn_0> <n>
Alice.	ali <n> <D_CA> <adj> <Djn_0> <n> <3s>
Alice.	ali <n> <D_CA> <adj> <Djn_0> <n> <3p>
Alice.	ali <n> <D_CA> <adv>
Alice.	ali <n> <D_CA> <adv> <Dan_0> <n>
Alice.	ali <n> <D_CA> <adv> <Dan_0> <n> <3s>
Alice.	ali <n> <D_CA> <adv> <Dan_0> <n> <3p>
Alice.	ali <n> <D_CA> <n>
Alice.	ali <n> <D_CA> <n> <3s>
Alice.	ali <n> <D_CA> <n> <3p>
</S> </S>+ESTag
<S> <S>+BSTag
"Tabii	tabii <adj> <Djn_0> <n>
"Tabii	tabii <adj> <Djn_0> <n> <3s>
"Tabii	tabii <adj> <Djn_0> <n> <3p>
"Tabii	tabii <ij>
ki	ki <cnjadv>
baştan	baştan <adv> <Dan_0> <n>
baştan	baştan <adv> <Dan_0> <n> <3s>
baştan	baştan <adv> <Dan_0> <n> <3p>
baştan	baş <n> <abl>
baştan	baş <n> <abl> <3s>
baştan	baş <n> <abl> <3p>
başlamak	baş <n> <D_lA> <v> <vn_mak> <3s>
başlamak	baş <n> <D_lA> <v> <vn_mak> <3p>
başlamak	baş <n> <D_lA> <v> <vinf>
başlamak	baş <n> <D_lA> <v> <cv_mak>
için	için <cnjcoo>
için	iç <adj> <Djn_0> <n> <p2s>
için	iç <adj> <Djn_0> <n> <p2s> <3s>
için	iç <adj> <Djn_0> <n> <p2s> <3p>
için	iç <adj> <Djn_0> <n> <gen>
için	iç <adj> <Djn_0> <n> <gen> <3s>
için	iç <adj> <Djn_0> <n> <gen> <3p>
için	iç <n> <p2s>
için	iç <n> <p2s> <3s>
için	iç <n> <p2s> <3p>
için	iç <n> <gen>
için	iç <n> <gen> <3s>
için	iç <n> <gen> <3p>
için	iç <v> <t_imp> <2p>
sallanıyor	salla <v> <pass> <t_cont> <3p>
sallanıyor	salla <v> <pass> <cv_iyor>
sallanıyor	sal <n> <D_lAn> <v> <t_cont> <3s>
sallanıyor	sal <n> <D_lAn> <v> <t_cont> <3p>
sallanıyor	sal <n> <D_lAn> <v> <cv_iyor>
ve	ve <cnjadv>
kıvranıyor,"	kıvran <v> <t_cont> <3p>
kıvranıyor,"	kıvran <v> <cv_iyor>
kıvranıyor,"	kıvra <v> <pass> <t_cont> <3s>
kıvranıyor,"	kıvra <v> <pass> <t_cont> <3p>
kıvranıyor,"	kıvra <v> <pass> <cv_iyor>
diye	de <v> <t_opt> <3p>
diye	diye <cnjsub>
yanıtladı	yanıtla <v> <t_past> <3p>
yanıtladı	yanıt <n> <D_lA> <v> <t_past> <3s>
yanıtladı	yanıt <n> <D_lA> <v> <t_past> <3p>
Sahte	sahte <adj> <Djn_0> <n>
Sahte	sahte <adj> <Djn_0> <n> <3s>
Sahte	sahte <adj> <Djn_0> <n> <3p>
Kaplumbağa;	kaplumbağa <n> <3s>
Kaplumbağa;	kaplumbağa <n> <3p>
"ve	ve <cnjadv>
sonra	sonra <adv> <Dan_0> <n>
sonra	sonra <adv> <Dan_0> <n> <3s>
sonra	sonra <adv> <Dan_0> <n> <3p>
sonra	sonra <n>
sonra	sonra <n> <3s>
sonra	sonra <n> <3p>
sonra	sonra <postp>
sonra	sonra <cnjadv>
Aritmetiğin	aritmetik <n> <p2s> <3s>
Aritmetiğin	aritmetik <n> <p2s> <3p>
Aritmetiğin	aritmetik <n> <gen>
Aritmetiğin	aritmetik <n> <gen> <3s>
Aritmetiğin	aritmetik <n> <gen> <3p>
farklı	fark <n> <D_lI> <adj> <Djn_0> <n>
farklı	fark <n> <D_lI> <adj> <Djn_0> <n> <3s>
farklı	fark <n> <D_lI> <adj> <Djn_0> <n> <3p>
farklı	fark <n> <D_lI> <n>
farklı	fark <n> <D_lI> <n> <3s>
farklı	fark <n> <D_lI> <n> <3p>
dalları	dal <n> <pl> <p3s> <3s>
dalları	dal <n> <pl> <p3s> <3p>
dalları	dal <n> <pl> <acc>
dalları	dal <n> <pl> <acc> <3s>
dalları	dal <n> <pl> <acc> <3p>
dalları	dal <n> <p3p>
dalları	dal <n> <p3p> <3s>
dalları	dal <n> <p3p> <3p>
Ambition,	<unk>
Distraction,	<unk>
Uglification,	<unk>
and	<unk>
Derision.”	<unk>
"'Uglification'ı	<unk>
hiç	hiç <adv> <Dan_0> <n>
hiç	hiç <adv> <Dan_0> <n> <3s>
hiç	hiç <adv> <Dan_0> <n> <3p>
hiç	hiç <n>
hiç	hiç <n> <3s>
hiç	hiç <n> <3p>
duymadım,"	<unk>
diye	de <v> <t_opt> <3p>
diye	diye <cnjsub>
cesaretle	cesaret <n> <D_lA> <v> <t_imp> <3p>
cesaretle	cesaret <n> <ins>
cesaretle	cesaret <n> <ins> <3s>
cesaretle	cesaret <n> <ins> <3p>
söyledi	söyle <v> <t_past> <3p>
Alice.	ali <n> <D_CA> <adj> <Djn_0> <n>
Alice.	ali <n> <D_CA> <adj> <Djn_0> <n> <3s>
Alice.	ali <n> <D_CA> <adj> <Djn_0> <n> <3p>
Alice.	ali <n> <D_CA> <adv>
Alice.	ali <n> <D_CA> <adv> <Dan_0> <n>
Alice.	ali <n> <D_CA> <adv> <Dan_0> <n> <3s>
Alice.	ali <n> <D_CA> <adv> <Dan_0> <n> <3p>
Alice.	ali <n> <D_CA> <n>
Alice.	ali <n> <D_CA> <n> <3s>
Alice.	ali <n> <D_CA> <n> <3p>
</S> </S>+ESTag
<S> <S>+BSTag
"Ne	ne <prn> <qst> <3s>
"Ne	ne <prn> <qst> <3p>
"Ne	ne <cnjcoo>
oldu?	ol <v> <t_past> <3p>
</S> </S>+ESTag
<S> <S>+BSTag
"Ne!"	ne <prn> <qst> <3s>
"Ne!"	ne <prn> <qst> <3p>
"Ne!"	ne <cnjcoo>
Gryphon	<unk>
şaşkınlıkla	şaşkın <n> <D_lIK> <n> <D_lA> <v> <t_imp> <3p>
şaşkınlıkla	şaşkın <n> <D_lIK> <n> <ins>
şaşkınlıkla	şaşkın <n> <D_lIK> <n> <ins> <3s>
şaşkınlıkla	şaşkın <n> <D_lIK> <n> <ins> <3p>
iki	iki <num> <Dmn_0> <n>
iki	iki <num> <Dmn_0> <n> <3s>
iki	iki <num> <Dmn_0> <n> <3p>
patisini	patis <n> <p2s> <acc> <3s>
patisini	patis <n> <p2s> <acc> <3p>
patisini	patis <n> <p3s> <acc>
patisini	patis <n> <p3s> <acc> <3s>
patisini	patis <n> <p3s> <acc> <3p>
patisini	pati <n> <p3s> <acc>
patisini	pati <n> <p3s> <acc> <3s>
patisini	pati <n> <p3s> <acc> <3p>
de	de <v> <t_imp> <2s>
de	de <v> <t_imp> <3p>
kaldırdı.	kaldır <v> <t_past> <3p>
kaldırdı.	kal <v> <caus> <t_past> <3s>
kaldırdı.	kal <v> <caus> <t_past> <3p>
</S> </S>+ESTag
<S> <S>+BSTag
Çirkinleştirme	çirkin <adj> <D_lAs> <v> <caus> <neg> <t_imp> <3p>
Çirkinleştirme	çirkin <adj> <D_lAs> <v> <caus> <vn_ma>
Çirkinleştirme	çirkin <adj> <D_lAs> <v> <caus> <vn_ma> <3s>
Çirkinleştirme	çirkin <adj> <D_lAs> <v> <caus> <vn_ma> <3p>
Çirkinleştirme	çirkin <adj> <D_lAs> <v> <caus> <cv_ma>
Çirkinleştirme	çirkin <adj> <Djn_0> <n> <D_lAs> <v> <caus> <neg> <t_imp> <2s>
Çirkinleştirme	çirkin <adj> <Djn_0> <n> <D_lAs> <v> <caus> <neg> <t_imp> <3p>
Çirkinleştirme	çirkin <adj> <Djn_0> <n> <D_lAs> <v> <caus> <vn_ma>
Çirkinleştirme	çirkin <adj> <Djn_0> <n> <D_lAs> <v> <caus> <vn_ma> <3s>
Çirkinleştirme	çirkin <adj> <Djn_0> <n> <D_lAs> <v> <caus> <vn_ma> <3p>
Çirkinleştirme	çirkin <adj> <Djn_0> <n> <D_lAs> <v> <caus> <cv_ma>
diye	de <v> <t_opt> <3p>
diye	diye <cnjsub>
bir	bir <adj> <Djn_0> <n>
bir	bir <adj> <Djn_0> <n> <3s>
bir	bir <adj> <Djn_0> <n> <3p>
bir	bir <num>
bir	bir <num> <Dmn_0> <n>
bir	bir <num> <Dmn_0> <n> <3s>
bir	bir <num> <Dmn_0> <n> <3p>
bir	bir <det>
şey	şey <n> <3s>
şey	şey <n> <3p>
hiç	hiç <adv> <Dan_0> <n>
hiç	hiç <adv> <Dan_0> <n> <3s>
hiç	hiç <adv> <Dan_0> <n> <3p>
hiç	hiç <n>
hiç	hiç <n> <3s>
hiç	hiç <n> <3p>
duymadım!"	<unk>
diye	de <v> <t_opt> <3p>
diye	diye <cnjsub>
haykırdı.	haykır <v> <t_past> <3p>
</S> </S>+ESTag
<S> <S>+BSTag
"Güzelleştirmenin	güzel <adj> <D_lAs> <v> <caus> <vn_ma> <p2s> <gen> <3s>
"Güzelleştirmenin	güzel <adj> <D_lAs> <v> <caus> <vn_ma> <p2s> <gen> <3p>
"Güzelleştirmenin	güzel <adj> <D_lAs> <v> <caus> <vn_ma> <gen>
"Güzelleştirmenin	güzel <adj> <D_lAs> <v> <caus> <vn_ma> <gen> <3s>
"Güzelleştirmenin	güzel <adj> <D_lAs> <v> <caus> <vn_ma> <gen> <3p>
"Güzelleştirmenin	güzel <adj> <Djn_0> <n> <D_lAs> <v> <caus> <vn_ma> <p2s> <gen>
"Güzelleştirmenin	güzel <adj> <Djn_0> <n> <D_lAs> <v> <caus> <vn_ma> <p2s> <gen> <3s>
"Güzelleştirmenin	güzel <adj> <Djn_0> <n> <D_lAs> <v> <caus> <vn_ma> <p2s> <gen> <3p>
"Güzelleştirmenin	güzel <adj> <Djn_0> <n> <D_lAs> <v> <caus> <vn_ma> <gen>
"Güzelleştirmenin	güzel <adj> <Djn_0> <n> <D_lAs> <v> <caus> <vn_ma> <gen> <3s>
"Güzelleştirmenin	güzel <adj> <Djn_0> <n> <D_lAs> <v> <caus> <vn_ma> <gen> <3p>
ne	ne <prn> <qst> <3s>
ne	ne <prn> <qst> <3p>
ne	ne <cnjcoo>
olduğunu	ol <v> <vn_dik> <p2s> <acc> <3s>
olduğunu	ol <v> <vn_dik> <p2s> <acc> <3p>
olduğunu	ol <v> <vn_dik> <p3s> <acc>
olduğunu	ol <v> <vn_dik> <p3s> <acc> <3s>
olduğunu	ol <v> <vn_dik> <p3s> <acc> <3p>
olduğunu	ol <v> <part_dik> <p2s> <acc>
olduğunu	ol <v> <part_dik> <p2s> <acc> <3s>
olduğunu	ol <v> <part_dik> <p2s> <acc> <3p>
olduğunu	ol <v> <part_dik> <p3s> <acc>
olduğunu	ol <v> <part_dik> <p3s> <acc> <3s>
olduğunu	ol <v> <part_dik> <p3s> <acc> <3p>
olduğunu	ol <v> <cv_dik> <p3s> <acc>
biliyorsun	bil <v> <t_cont> <2s>
sanırım?"	<unk>
"Evet,"	evet <adv> <Dan_0> <n>
"Evet,"	evet <adv> <Dan_0> <n> <3s>
"Evet,"	evet <adv> <Dan_0> <n> <3p>
"Evet,"	evet <n>
"Evet,"	evet <n> <3s>
"Evet,"	evet <n> <3p>
dedi	de <v> <t_past> <3p>
Alice	ali <n> <D_CA> <adj> <Djn_0> <n>
Alice	ali <n> <D_CA> <adj> <Djn_0> <n> <3s>
Alice	ali <n> <D_CA> <adj> <Djn_0> <n> <3p>
Alice	ali <n> <D_CA> <adv>
Alice	ali <n> <D_CA> <adv> <Dan_0> <n>
Alice	ali <n> <D_CA> <adv> <Dan_0> <n> <3s>
Alice	ali <n> <D_CA> <adv> <Dan_0> <n> <3p>
Alice	ali <n> <D_CA> <n>
Alice	ali <n> <D_CA> <n> <3s>
Alice	ali <n> <D_CA> <n> <3p>
kuşkuyla:	kuşku <n> <ins> <3s>
kuşkuyla:	kuşku <n> <ins> <3p>
"Her	<unk>
şeyi	şey <n> <p3s> <3s>
şeyi	şey <n> <p3s> <3p>
şeyi	şey <n> <acc>
şeyi	şey <n> <acc> <3s>
şeyi	şey <n> <acc> <3p>
daha	daha <adv> <Dan_0> <n>
daha	daha <adv> <Dan_0> <n> <3s>
daha	daha <adv> <Dan_0> <n> <3p>
daha	daha <n>
daha	daha <n> <3s>
daha	daha <n> <3p>
güzel	güzel <adj> <Djn_0> <n>
güzel	güzel <adj> <Djn_0> <n> <3s>
güzel	güzel <adj> <Djn_0> <n> <3p>
yapmak	yap <v> <vn_mak> <3s>
yapmak	yap <v> <vn_mak> <3p>
yapmak	yap <v> <vinf>
yapmak	yap <v> <cv_mak>
anlamına	anlam <n> <p2s> <dat> <3s>
anlamına	anlam <n> <p2s> <dat> <3p>
anlamına	anlam <n> <p3s> <dat>
anlamına	anlam <n> <p3s> <dat> <3s>
anlamına	anlam <n> <p3s> <dat> <3p>
geliyor."	gel <v> <t_cont> <3p>
geliyor."	gel <v> <cv_iyor>
"Peki,	peki <cnjadv>
"Peki,	pek <adj> <Djn_0> <n> <p3s>
"Peki,	pek <adj> <Djn_0> <n> <p3s> <3s>
"Peki,	pek <adj> <Djn_0> <n> <p3s> <3p>
"Peki,	pek <adj> <Djn_0> <n> <acc>
"Peki,	pek <adj> <Djn_0> <n> <acc> <3s>
"Peki,	pek <adj> <Djn_0> <n> <acc> <3p>
"Peki,	pek <adv> <Dan_0> <n> <p3s>
"Peki,	pek <adv> <Dan_0> <n> <p3s> <3s>
"Peki,	pek <adv> <Dan_0> <n> <p3s> <3p>
"Peki,	pek <adv> <Dan_0> <n> <acc>
"Peki,	pek <adv> <Dan_0> <n> <acc> <3s>
"Peki,	pek <adv> <Dan_0> <n> <acc> <3p>
o	o <prn> <pers> <3s>
o	o <prn> <pers> <3p>
o	o <ij>
o	o <det>
zaman,"	zaman <n> <3s>
zaman,"	zaman <n> <3p>
diye	de <v> <t_opt> <3p>
diye	diye <cnjsub>
devam	devam <n> <3s>
devam	devam <n> <3p>
devam	deva <n> <p1s>
devam	deva <n> <p1s> <3s>
devam	deva <n> <p1s> <3p>
etti	et <n> <cpl_di> <3p>
etti	et <n> <3p> <cpl_di>
etti	et <v> <t_past> <3s>
etti	et <v> <t_past> <3p>
Gryphon,	<unk>
"eğer	eğer <n> <3s>
"eğer	eğer <n> <3p>
"eğer	eğer <cnjsub>
"eğer	eğ <v> <t_aor> <3s>
