<S> <S>+BSTag
"Gündüz	gündüz <n> <3s>
"Gündüz	gündüz <n> <3p>
aşçı	aşçı <n> <3p>
aşçı	aş <n> <D_CI> <adj>
aşçı	aş <n> <D_CI> <adj> <Djn_0> <n>
aşçı	aş <n> <D_CI> <adj> <Djn_0> <n> <3s>
aşçı	aş <n> <D_CI> <adj> <Djn_0> <n> <3p>
aşçı	aş <n> <D_CI> <n>
aşçı	aş <n> <D_CI> <n> <3s>
aşçı	aş <n> <D_CI> <n> <3p>
aşçı	aş <v> <D_CI> <n>
aşçı	aş <v> <D_CI> <n> <3s>
aşçı	aş <v> <D_CI> <n> <3p>
çorbayı	çorba <n> <acc> <3s>
çorbayı	çorba <n> <acc> <3p>
karıştırmakla	karış <v> <caus> <vn_mak> <ins> <3s>
karıştırmakla	karış <v> <caus> <vn_mak> <ins> <3p>
karıştırmakla	karış <v> <caus> <vinf> <ins>
karıştırmakla	karış <v> <caus> <cv_mak> <ins>
meşguldü	meşgul <n> <cpl_di> <3p>
meşguldü	meşgul <n> <3p> <cpl_di>
ve	ve <cnjadv>
dinlemiyor	dinle <v> <neg> <t_cont> <3p>
dinlemiyor	dinle <v> <neg> <cv_iyor>
dinlemiyor	din <n> <D_lA> <v> <neg> <t_cont> <3s>
dinlemiyor	din <n> <D_lA> <v> <neg> <t_cont> <3p>
dinlemiyor	din <n> <D_lA> <v> <neg> <cv_iyor>
gibiydi,	<unk>
bu	bu <prn> <dem> <3s>
bu	bu <prn> <dem> <3p>
bu	bu <det>
yüzden	yüzde <n> <p2s> <3s>
yüzden	yüzde <n> <p2s> <3p>
yüzden	yüz <n> <abl>
yüzden	yüz <n> <abl> <3s>
yüzden	yüz <n> <abl> <3p>
yüzden	yüz <v> <cv_dan>
yüzden	yüz <num> <Dmn_0> <n> <abl>
yüzden	yüz <num> <Dmn_0> <n> <abl> <3s>
yüzden	yüz <num> <Dmn_0> <n> <abl> <3p>
tekrar	tekrar <adv> <Dan_0> <n>
tekrar	tekrar <adv> <Dan_0> <n> <3s>
tekrar	tekrar <adv> <Dan_0> <n> <3p>
tekrar	tekrar <n>
tekrar	tekrar <n> <3s>
tekrar	tekrar <n> <3p>
devam	devam <n> <3s>
devam	devam <n> <3p>
devam	deva <n> <p1s>
devam	deva <n> <p1s> <3s>
devam	deva <n> <p1s> <3p>
etti:	et <n> <cpl_di> <3p>
etti:	et <n> <3p> <cpl_di>
etti:	et <v> <t_past> <3s>
etti:	et <v> <t_past> <3p>
“Sanırım	<unk>
yirmi	yirmi <n> <3s>
yirmi	yirmi <n> <3p>
yirmi	yirmi <num>
yirmi	yirmi <num> <Dmn_0> <n>
yirmi	yirmi <num> <Dmn_0> <n> <3s>
yirmi	yirmi <num> <Dmn_0> <n> <3p>
dört	dört <n> <3s>
dört	dört <n> <3p>
dört	dört <num>
dört	dört <num> <Dmn_0> <n>
dört	dört <num> <Dmn_0> <n> <3s>
dört	dört <num> <Dmn_0> <n> <3p>
saat;	saat <n> <3s>
saat;	saat <n> <3p>
yoksa	yok <adj> <Djn_0> <n> <cpl_sa> <3p>
yoksa	yok <adj> <Djn_0> <n> <3p> <cpl_sa>
yoksa	yok <adv> <Dan_0> <n> <cpl_sa> <3s>
yoksa	yok <adv> <Dan_0> <n> <cpl_sa> <3p>
yoksa	yok <adv> <Dan_0> <n> <3p> <cpl_sa>
yoksa	yok <nexist> <cpl_sa> <3s>
yoksa	yok <nexist> <cpl_sa> <3p>
yoksa	yok <nexist> <3p> <cpl_sa>
on	on <n> <3s>
on	on <n> <3p>
on	on <v> <t_imp> <2s>
on	on <v> <t_imp> <3p>
on	on <num>
on	on <num> <Dmn_0> <n>
on	on <num> <Dmn_0> <n> <3s>
on	on <num> <Dmn_0> <n> <3p>
iki	iki <num> <Dmn_0> <n>
iki	iki <num> <Dmn_0> <n> <3s>
iki	iki <num> <Dmn_0> <n> <3p>
mi?	<unk>
</S> </S>+ESTag
<S> <S>+BSTag
Ben”	<unk>
"Ah,	ah <n> <3s>
"Ah,	ah <n> <3p>
"Ah,	ah <ij>
beni	ben <prn> <pers> <p3s> <3s>
beni	ben <prn> <pers> <p3s> <3p>
beni	ben <prn> <pers> <acc>
beni	ben <prn> <pers> <acc> <3s>
beni	ben <prn> <pers> <acc> <3p>
rahatsız	rahat <adj> <Djn_0> <n> <Dnn_siz> <adj> <Djn_0> <n>
rahatsız	rahat <adj> <Djn_0> <n> <Dnn_siz> <adj> <Djn_0> <n> <3s>
rahatsız	rahat <adj> <Djn_0> <n> <Dnn_siz> <adj> <Djn_0> <n> <3p>
rahatsız	rahat <adj> <Djn_0> <n> <Dnn_siz> <adv>
rahatsız	rahat <adj> <Djn_0> <n> <Dnn_siz> <adv> <Dan_0> <n>
rahatsız	rahat <adj> <Djn_0> <n> <Dnn_siz> <adv> <Dan_0> <n> <3s>
rahatsız	rahat <adj> <Djn_0> <n> <Dnn_siz> <adv> <Dan_0> <n> <3p>
etme,"	et <v> <D_mA> <n> <3s>
etme,"	et <v> <D_mA> <n> <3p>
etme,"	et <v> <neg> <t_imp> <2s>
etme,"	et <v> <neg> <t_imp> <3p>
etme,"	et <v> <vn_ma>
etme,"	et <v> <vn_ma> <3s>
etme,"	et <v> <vn_ma> <3p>
etme,"	et <v> <cv_ma>
dedi	de <v> <t_past> <3p>
Düşes;	düşes <n> <3s>
Düşes;	düşes <n> <3p>
"figürlere	figür <n> <pl> <dat> <3s>
"figürlere	figür <n> <pl> <dat> <3p>
asla	asla <adv> <Dan_0> <n>
asla	asla <adv> <Dan_0> <n> <3s>
asla	asla <adv> <Dan_0> <n> <3p>
asla	asıl <n> <dat>
asla	asıl <n> <dat> <3s>
asla	asıl <n> <dat> <3p>
asla	as <n> <D_lA> <v> <t_imp> <2s>
asla	as <n> <D_lA> <v> <t_imp> <3p>
asla	as <n> <ins>
asla	as <n> <ins> <3s>
asla	as <n> <ins> <3p>
tahammül	tahammül <n> <3s>
tahammül	tahammül <n> <3p>
edemedim!"	<unk>
Ve	ve <cnjadv>
bununla	bun <n> <p2s> <ins> <3s>
bununla	bun <n> <p2s> <ins> <3p>
bununla	bu <prn> <dem> <p2s> <ins>
bununla	bu <prn> <dem> <p2s> <ins> <3s>
bununla	bu <prn> <dem> <p2s> <ins> <3p>
birlikte	birlikte <adv> <Dan_0> <n>
birlikte	birlikte <adv> <Dan_0> <n> <3s>
birlikte	birlikte <adv> <Dan_0> <n> <3p>
birlikte	birlikte <n>
birlikte	birlikte <n> <3s>
birlikte	birlikte <n> <3p>
birlikte	birlikte <postp>
birlikte	birlik <n> <loc>
birlikte	birlik <n> <loc> <3s>
birlikte	birlik <n> <loc> <3p>
birlikte	bir <adj> <D_lIK> <n> <loc>
birlikte	bir <adj> <D_lIK> <n> <loc> <3s>
birlikte	bir <adj> <D_lIK> <n> <loc> <3p>
birlikte	bir <adj> <Djn_0> <n> <D_lIK> <n> <loc>
birlikte	bir <adj> <Djn_0> <n> <D_lIK> <n> <loc> <3s>
birlikte	bir <adj> <Djn_0> <n> <D_lIK> <n> <loc> <3p>
birlikte	bir <num> <Dmn_0> <n> <D_lIK> <n> <loc>
birlikte	bir <num> <Dmn_0> <n> <D_lIK> <n> <loc> <3s>
birlikte	bir <num> <Dmn_0> <n> <D_lIK> <n> <loc> <3p>
çocuğunu	çocuk <n> <p2s> <acc> <3s>
çocuğunu	çocuk <n> <p2s> <acc> <3p>
çocuğunu	çocuk <n> <p3s> <acc>
çocuğunu	çocuk <n> <p3s> <acc> <3s>
çocuğunu	çocuk <n> <p3s> <acc> <3p>
tekrar	tekrar <adv> <Dan_0> <n>
tekrar	tekrar <adv> <Dan_0> <n> <3s>
tekrar	tekrar <adv> <Dan_0> <n> <3p>
tekrar	tekrar <n>
tekrar	tekrar <n> <3s>
tekrar	tekrar <n> <3p>
emzirmeye	emzir <v> <D_mA> <n> <dat> <3s>
emzirmeye	emzir <v> <D_mA> <n> <dat> <3p>
emzirmeye	emzir <v> <neg> <t_opt> <3s>
emzirmeye	emzir <v> <neg> <t_opt> <3p>
emzirmeye	emzir <v> <vn_ma> <dat>
emzirmeye	emzir <v> <vn_ma> <dat> <3s>
emzirmeye	emzir <v> <vn_ma> <dat> <3p>
emzirmeye	emzir <v> <vn_mak> <dat>
emzirmeye	emzir <v> <vn_mak> <dat> <3s>
emzirmeye	emzir <v> <vn_mak> <dat> <3p>
emzirmeye	emzir <v> <vinf> <dat>
başladı,	baş <n> <D_lA> <v> <t_past> <3p>
bunu	bun <n> <p3s> <3s>
bunu	bun <n> <p3s> <3p>
bunu	bun <n> <acc>
bunu	bun <n> <acc> <3s>
bunu	bun <n> <acc> <3p>
bunu	bu <prn> <dem> <p3s>
bunu	bu <prn> <dem> <p3s> <3s>
bunu	bu <prn> <dem> <p3s> <3p>
bunu	bu <prn> <dem> <acc>
bunu	bu <prn> <dem> <acc> <3s>
bunu	bu <prn> <dem> <acc> <3p>
yaparken	yap <v> <t_aor> <3p> <cpl_ken>
ona	ona <v> <t_imp> <3p>
ona	on <n> <dat>
ona	on <n> <dat> <3s>
ona	on <n> <dat> <3p>
ona	on <v> <t_opt> <3s>
ona	on <v> <t_opt> <3p>
ona	on <num> <Dmn_0> <n> <dat>
ona	on <num> <Dmn_0> <n> <dat> <3s>
ona	on <num> <Dmn_0> <n> <dat> <3p>
ona	o <prn> <pers> <dat>
ona	o <prn> <pers> <dat> <3s>
ona	o <prn> <pers> <dat> <3p>
bir	bir <adj> <Djn_0> <n>
bir	bir <adj> <Djn_0> <n> <3s>
bir	bir <adj> <Djn_0> <n> <3p>
bir	bir <num>
bir	bir <num> <Dmn_0> <n>
bir	bir <num> <Dmn_0> <n> <3s>
bir	bir <num> <Dmn_0> <n> <3p>
bir	bir <det>
tür	tür <n> <3s>
tür	tür <n> <3p>
ninni	ninni <n> <3s>
ninni	ninni <n> <3p>
söyledi	söyle <v> <t_past> <3p>
ve	ve <cnjadv>
her	<unk>
satırın	satır <n> <p2s> <3s>
satırın	satır <n> <p2s> <3p>
satırın	satır <n> <gen>
satırın	satır <n> <gen> <3s>
satırın	satır <n> <gen> <3p>
sonunda	sonunda <adv> <Dan_0> <n>
sonunda	sonunda <adv> <Dan_0> <n> <3s>
sonunda	sonunda <adv> <Dan_0> <n> <3p>
sonunda	son <adj> <Djn_0> <n> <p2s> <loc>
sonunda	son <adj> <Djn_0> <n> <p2s> <loc> <3s>
sonunda	son <adj> <Djn_0> <n> <p2s> <loc> <3p>
sonunda	son <adj> <Djn_0> <n> <p3s> <loc>
sonunda	son <adj> <Djn_0> <n> <p3s> <loc> <3s>
sonunda	son <adj> <Djn_0> <n> <p3s> <loc> <3p>
sonunda	son <n> <p2s> <loc>
sonunda	son <n> <p2s> <loc> <3s>
sonunda	son <n> <p2s> <loc> <3p>
sonunda	son <n> <p3s> <loc>
sonunda	son <n> <p3s> <loc> <3s>
sonunda	son <n> <p3s> <loc> <3p>
onu	on <n> <p3s> <3s>
onu	on <n> <p3s> <3p>
onu	on <n> <acc>
onu	on <n> <acc> <3s>
onu	on <n> <acc> <3p>
onu	on <num> <Dmn_0> <n> <p3s>
onu	on <num> <Dmn_0> <n> <p3s> <3s>
onu	on <num> <Dmn_0> <n> <p3s> <3p>
onu	on <num> <Dmn_0> <n> <acc>
onu	on <num> <Dmn_0> <n> <acc> <3s>
onu	on <num> <Dmn_0> <n> <acc> <3p>
onu	o <prn> <pers> <p3s>
onu	o <prn> <pers> <p3s> <3s>
onu	o <prn> <pers> <p3s> <3p>
onu	o <prn> <pers> <acc>
onu	o <prn> <pers> <acc> <3s>
onu	o <prn> <pers> <acc> <3p>
şiddetli	şiddet <n> <D_lI> <adj> <Djn_0> <n>
şiddetli	şiddet <n> <D_lI> <adj> <Djn_0> <n> <3s>
şiddetli	şiddet <n> <D_lI> <adj> <Djn_0> <n> <3p>
şiddetli	şiddet <n> <D_lI> <n>
şiddetli	şiddet <n> <D_lI> <n> <3s>
şiddetli	şiddet <n> <D_lI> <n> <3p>
bir	bir <adj> <Djn_0> <n>
bir	bir <adj> <Djn_0> <n> <3s>
bir	bir <adj> <Djn_0> <n> <3p>
bir	bir <num>
bir	bir <num> <Dmn_0> <n>
bir	bir <num> <Dmn_0> <n> <3s>
bir	bir <num> <Dmn_0> <n> <3p>
bir	bir <det>
şekilde	şekil <n> <loc> <3s>
şekilde	şekil <n> <loc> <3p>
salladı:	salla <v> <t_past> <3p>
salladı:	sal <n> <D_lA> <v> <t_past> <3s>
salladı:	sal <n> <D_lA> <v> <t_past> <3p>
“Küçük	<unk>
oğluna	oğul <n> <p2s> <dat> <3s>
oğluna	oğul <n> <p2s> <dat> <3p>
oğluna	oğul <n> <p3s> <dat>
oğluna	oğul <n> <p3s> <dat> <3s>
oğluna	oğul <n> <p3s> <dat> <3p>
kabaca	kabaca <adv> <Dan_0> <n>
kabaca	kabaca <adv> <Dan_0> <n> <3s>
kabaca	kabaca <adv> <Dan_0> <n> <3p>
kabaca	kaba <n> <D_CA> <adj>
kabaca	kaba <n> <D_CA> <adj> <Djn_0> <n>
kabaca	kaba <n> <D_CA> <adj> <Djn_0> <n> <3s>
kabaca	kaba <n> <D_CA> <adj> <Djn_0> <n> <3p>
kabaca	kaba <n> <D_CA> <adv>
kabaca	kaba <n> <D_CA> <adv> <Dan_0> <n>
kabaca	kaba <n> <D_CA> <adv> <Dan_0> <n> <3s>
kabaca	kaba <n> <D_CA> <adv> <Dan_0> <n> <3p>
kabaca	kaba <n> <D_CA> <n>
kabaca	kaba <n> <D_CA> <n> <3s>
kabaca	kaba <n> <D_CA> <n> <3p>
konuş,	konuş <v> <t_imp> <3p>
konuş,	kon <v> <D_yIS> <n>
konuş,	kon <v> <D_yIS> <n> <3s>
konuş,	kon <v> <D_yIS> <n> <3p>
konuş,	kon <v> <vn_yis>
konuş,	kon <v> <vn_yis> <3s>
konuş,	kon <v> <vn_yis> <3p>
Ve	ve <cnjadv>
hapşırdığında	hapşır <v> <vn_dik> <p2s> <loc> <3s>
hapşırdığında	hapşır <v> <vn_dik> <p2s> <loc> <3p>
hapşırdığında	hapşır <v> <vn_dik> <p3s> <loc>
hapşırdığında	hapşır <v> <vn_dik> <p3s> <loc> <3s>
hapşırdığında	hapşır <v> <vn_dik> <p3s> <loc> <3p>
hapşırdığında	hapşır <v> <part_dik> <p2s> <loc>
hapşırdığında	hapşır <v> <part_dik> <p2s> <loc> <3s>
hapşırdığında	hapşır <v> <part_dik> <p2s> <loc> <3p>
hapşırdığında	hapşır <v> <part_dik> <p3s> <loc>
hapşırdığında	hapşır <v> <part_dik> <p3s> <loc> <3s>
hapşırdığında	hapşır <v> <part_dik> <p3s> <loc> <3p>
hapşırdığında	hapşır <v> <cv_dik> <p3s> <loc>
onu	on <n> <p3s> <3s>
onu	on <n> <p3s> <3p>
onu	on <n> <acc>
onu	on <n> <acc> <3s>
onu	on <n> <acc> <3p>
onu	on <num> <Dmn_0> <n> <p3s>
onu	on <num> <Dmn_0> <n> <p3s> <3s>
onu	on <num> <Dmn_0> <n> <p3s> <3p>
onu	on <num> <Dmn_0> <n> <acc>
onu	on <num> <Dmn_0> <n> <acc> <3s>
onu	on <num> <Dmn_0> <n> <acc> <3p>
onu	o <prn> <pers> <p3s>
onu	o <prn> <pers> <p3s> <3s>
onu	o <prn> <pers> <p3s> <3p>
onu	o <prn> <pers> <acc>
onu	o <prn> <pers> <acc> <3s>
onu	o <prn> <pers> <acc> <3p>
döv:	döv <v> <t_imp> <3p>
Bunu	bun <n> <p3s> <3s>
Bunu	bun <n> <p3s> <3p>
Bunu	bun <n> <acc>
Bunu	bun <n> <acc> <3s>
Bunu	bun <n> <acc> <3p>
Bunu	bu <prn> <dem> <p3s>
Bunu	bu <prn> <dem> <p3s> <3s>
Bunu	bu <prn> <dem> <p3s> <3p>
Bunu	bu <prn> <dem> <acc>
Bunu	bu <prn> <dem> <acc> <3s>
Bunu	bu <prn> <dem> <acc> <3p>
sadece	sadece <adv> <Dan_0> <n>
sadece	sadece <adv> <Dan_0> <n> <3s>
sadece	sadece <adv> <Dan_0> <n> <3p>
sadece	sadece <n>
sadece	sadece <n> <3s>
sadece	sadece <n> <3p>
sadece	sade <n> <D_CA> <adj>
sadece	sade <n> <D_CA> <adj> <Djn_0> <n>
sadece	sade <n> <D_CA> <adj> <Djn_0> <n> <3s>
sadece	sade <n> <D_CA> <adj> <Djn_0> <n> <3p>
sadece	sade <n> <D_CA> <adv>
sadece	sade <n> <D_CA> <adv> <Dan_0> <n>
sadece	sade <n> <D_CA> <adv> <Dan_0> <n> <3s>
sadece	sade <n> <D_CA> <adv> <Dan_0> <n> <3p>
sadece	sade <n> <D_CA> <n>
sadece	sade <n> <D_CA> <n> <3s>
sadece	sade <n> <D_CA> <n> <3p>
sinirlendirmek	sinirlen <v> <caus> <vn_mak> <3s>
sinirlendirmek	sinirlen <v> <caus> <vn_mak> <3p>
sinirlendirmek	sinirlen <v> <caus> <vinf>
sinirlendirmek	sinirlen <v> <caus> <cv_mak>
sinirlendirmek	sinir <n> <D_lAn> <v> <caus> <vn_mak>
sinirlendirmek	sinir <n> <D_lAn> <v> <caus> <vn_mak> <3s>
sinirlendirmek	sinir <n> <D_lAn> <v> <caus> <vn_mak> <3p>
sinirlendirmek	sinir <n> <D_lAn> <v> <caus> <vinf>
sinirlendirmek	sinir <n> <D_lAn> <v> <caus> <cv_mak>
için	için <cnjcoo>
için	iç <adj> <Djn_0> <n> <p2s>
için	iç <adj> <Djn_0> <n> <p2s> <3s>
için	iç <adj> <Djn_0> <n> <p2s> <3p>
için	iç <adj> <Djn_0> <n> <gen>
için	iç <adj> <Djn_0> <n> <gen> <3s>
için	iç <adj> <Djn_0> <n> <gen> <3p>
için	iç <n> <p2s>
için	iç <n> <p2s> <3s>
için	iç <n> <p2s> <3p>
için	iç <n> <gen>
için	iç <n> <gen> <3s>
için	iç <n> <gen> <3p>
için	iç <v> <t_imp> <2p>
yapıyor,	yap <v> <t_cont> <3p>
yapıyor,	yap <v> <cv_iyor>
Çünkü	çünkü <cnjadv>
dalga	dalga <n> <3s>
dalga	dalga <n> <3p>
geçtiğini	geç <v> <part_dik> <p2s> <acc> <3s>
geçtiğini	geç <v> <part_dik> <p2s> <acc> <3p>
geçtiğini	geç <v> <part_dik> <p3s> <acc>
geçtiğini	geç <v> <part_dik> <p3s> <acc> <3s>
geçtiğini	geç <v> <part_dik> <p3s> <acc> <3p>
geçtiğini	geç <v> <cv_dik> <p3s> <acc>
biliyor."	bila <v> <t_cont> <3p>
biliyor."	bila <v> <cv_iyor>
biliyor."	bil <v> <t_cont> <3s>
biliyor."	bil <v> <t_cont> <3p>
biliyor."	bil <v> <cv_iyor>
KORO.	koro <n> <3s>
KORO.	koro <n> <3p>
</S> </S>+ESTag
<S> <S>+BSTag
(Aşçı	aşçı <n> <3s>
(Aşçı	aşçı <n> <3p>
(Aşçı	aş <n> <D_CI> <adj>
(Aşçı	aş <n> <D_CI> <adj> <Djn_0> <n>
(Aşçı	aş <n> <D_CI> <adj> <Djn_0> <n> <3s>
(Aşçı	aş <n> <D_CI> <adj> <Djn_0> <n> <3p>
(Aşçı	aş <n> <D_CI> <n>
(Aşçı	aş <n> <D_CI> <n> <3s>
(Aşçı	aş <n> <D_CI> <n> <3p>
(Aşçı	aş <v> <D_CI> <n>
(Aşçı	aş <v> <D_CI> <n> <3s>
(Aşçı	aş <v> <D_CI> <n> <3p>
ve	ve <cnjadv>
bebeğin	bebek <n> <p2s> <3s>
bebeğin	bebek <n> <p2s> <3p>
bebeğin	bebek <n> <gen>
bebeğin	bebek <n> <gen> <3s>
bebeğin	bebek <n> <gen> <3p>
katıldığı	katıl <v> <vn_dik> <p3s> <3s>
katıldığı	katıl <v> <vn_dik> <p3s> <3p>
katıldığı	katıl <v> <vn_dik> <acc>
katıldığı	katıl <v> <vn_dik> <acc> <3s>
katıldığı	katıl <v> <vn_dik> <acc> <3p>
katıldığı	katıl <v> <part_dik> <p3s>
katıldığı	katıl <v> <part_dik> <p3s> <3s>
katıldığı	katıl <v> <part_dik> <p3s> <3p>
katıldığı	katıl <v> <part_dik> <acc>
katıldığı	katıl <v> <part_dik> <acc> <3s>
katıldığı	katıl <v> <part_dik> <acc> <3p>
katıldığı	katıl <v> <cv_dik> <p3s>
katıldığı	kat <v> <pass> <vn_dik> <p3s>
katıldığı	kat <v> <pass> <vn_dik> <p3s> <3s>
katıldığı	kat <v> <pass> <vn_dik> <p3s> <3p>
katıldığı	kat <v> <pass> <vn_dik> <acc>
katıldığı	kat <v> <pass> <vn_dik> <acc> <3s>
katıldığı	kat <v> <pass> <vn_dik> <acc> <3p>
katıldığı	kat <v> <pass> <part_dik> <p3s>
